Data,TMAX,TMIN,TMED,ETP-Pmoith
21/3/2008,30.6,19.3,24.95,4.2
22/3/2008,29.3,19.4,24.35,5.5
23/3/2008,30.7,18.9,24.8,5.3
24/3/2008,31.7,18.6,25.15,5.5
25/3/2008,31.5,19.3,25.4,5.2
26/3/2008,30.8,18.6,24.7,5.2
27/3/2008,30,17.4,23.7,4.5
28/3/2008,31.6,17.9,24.75,6.6
29/3/2008,31.2,18.3,24.75,6.3
30/3/2008,29.5,17.4,23.45,7
31/3/2008,30.6,16,23.3,5
1/4/2008,30.6,16.8,23.7,6
2/4/2008,24.7,19.4,22.05,0.5
3/4/2008,26,19.6,22.8,1.5
4/4/2008,26.8,19.6,23.2,3.3
5/4/2008,29.8,17.6,23.7,5.6
6/4/2008,28.3,18.3,23.3,1.8
7/4/2008,29.4,19.9,24.65,3.4
8/4/2008,29.7,20,24.85,3
9/4/2008,31.6,20.1,25.85,4.9
10/4/2008,31.6,20.2,25.9,5.1
11/4/2008,32.1,18.9,25.5,5
12/4/2008,32.6,19.4,26,8.3
13/4/2008,31.6,18.5,25.05,7.8
14/4/2008,27.5,20.6,24.05,3.2
15/4/2008,26.5,19.4,22.95,3.2
16/4/2008,30.1,17.8,23.95,3.1
17/4/2008,30.7,19.2,24.95,5.1
18/4/2008,29.6,18.4,24,4.3
19/4/2008,25.2,17.8,21.5,1.4
20/4/2008,23.1,18.4,20.75,0.6
21/4/2008,24.6,17.4,21,0.7
22/4/2008,28.5,17.1,22.8,8.7
23/4/2008,29,16.4,22.7,4.4
24/4/2008,28.9,15.8,22.35,5.2
25/4/2008,28.3,15,21.65,4.6
26/4/2008,28.8,14.6,21.7,5
27/4/2008,30.4,14.5,22.45,4.6
28/4/2008,30.5,14.6,22.55,4
29/4/2008,30.5,18.6,24.55,5.9
30/4/2008,25.8,18.8,22.3,4.2
1/5/2008,23.1,16,19.55,2
2/5/2008,22,17.8,19.9,2.3
3/5/2008,19.6,13.8,16.7,2.8
4/5/2008,22.6,12.4,17.5,4.4
5/5/2008,24.3,13.7,19,3.8
6/5/2008,23.3,12.1,17.7,4.9
7/5/2008,25.7,8.9,17.3,3.4
8/5/2008,27.6,10.1,18.85,3.9
9/5/2008,26.4,14.6,20.5,4.8
10/5/2008,26.4,13.4,19.9,4.6
11/5/2008,26.8,13.5,20.15,3.4
12/5/2008,25.1,13.8,19.45,2.4
13/5/2008,24.8,14.3,19.55,2.7
14/5/2008,25.9,16.3,21.1,2.9
15/5/2008,27.5,14.7,21.1,3.1
16/5/2008,27.6,14.7,21.15,4.4
17/5/2008,26.6,16.3,21.45,2.3
18/5/2008,29.6,16.1,22.85,3.8
19/5/2008,28.6,16,22.3,2.9
20/5/2008,29.2,14.2,21.7,4.7
21/5/2008,28.9,13.5,21.2,3.9
22/5/2008,28.9,14,21.45,4.8
23/5/2008,28.5,14.9,21.7,4.7
24/5/2008,27.9,13.8,20.85,5.3
25/5/2008,27.7,13,20.35,4.4
26/5/2008,27.6,12.9,20.25,5.7
27/5/2008,27.9,12.2,20.05,3.5
28/5/2008,29.4,13.9,21.65,4.4
29/5/2008,25.6,15.7,20.65,1.9
30/5/2008,21.8,18,19.9,1.4
31/5/2008,22.8,14.4,18.6,4.6
1/6/2008,17.8,13.5,15.65,0.2
2/6/2008,25.5,14,19.75,2.9
3/6/2008,26.9,12.4,19.65,3.9
4/6/2008,23.9,15.6,19.75,1.1
5/6/2008,29.2,13.8,21.5,3
6/6/2008,28.5,16.2,22.35,3.4
7/6/2008,28.6,17.1,22.85,4.5
8/6/2008,28.8,15.3,22.05,4.4
9/6/2008,27.9,15.8,21.85,5
10/6/2008,27.6,15.8,21.7,4.4
11/6/2008,29.5,14.8,22.15,4.6
12/6/2008,29,15.8,22.4,4.4
13/6/2008,29.4,15.1,22.25,4.9
14/6/2008,28.8,14.6,21.7,6.3
15/6/2008,28.4,14.8,21.6,4.2
16/6/2008,24.3,13.2,18.75,4.7
17/6/2008,26.2,7.2,16.7,3.8
18/6/2008,27.4,10.6,19,2.8
19/6/2008,28.4,13.2,20.8,4.7
20/6/2008,29.3,14.4,21.85,5.7
21/6/2008,28.4,15.3,21.85,3.7
21/3/2009,29.4,20.7,25.05,4.1
22/3/2009,29.9,20.1,25,4
23/3/2009,30.6,20.4,25.5,4
24/3/2009,31,20,25.5,4.8
25/3/2009,31.8,18.4,25.1,5.8
26/3/2009,29.7,18.2,23.95,4.1
27/3/2009,29.8,19.8,24.8,2.1
28/3/2009,29.7,21.1,25.4,2.1
29/3/2009,29.6,18.4,24,3.2
30/3/2009,25.4,20.6,23,0.4
31/3/2009,29.8,19.8,24.8,4.4
1/4/2009,30.6,18.3,24.45,6.3
2/4/2009,30.6,17.9,24.25,4.5
3/4/2009,30.2,19,24.6,4.6
4/4/2009,28.6,19.6,24.1,2.8
5/4/2009,31.6,20.4,26,4.6
6/4/2009,30.4,21.1,25.75,4.1
7/4/2009,29.5,20.1,24.8,2.7
8/4/2009,30.3,19.4,24.85,6
9/4/2009,30.6,17.5,24.05,4.4
10/4/2009,30.5,17.9,24.2,5.3
11/4/2009,31.8,17.4,24.6,4.7
12/4/2009,29.7,20.4,25.05,4.8
13/4/2009,28.2,20.3,24.25,4.1
14/4/2009,25.1,18.7,21.9,1.5
15/4/2009,27.7,17.4,22.55,4.5
16/4/2009,28.4,15.5,21.95,4.2
17/4/2009,29.5,14.9,22.2,5.6
18/4/2009,29.8,14.4,22.1,5.1
19/4/2009,29.9,14.1,22,4.8
20/4/2009,29.9,14.9,22.4,4.9
21/4/2009,29.4,16.3,22.85,3.7
22/4/2009,29.8,15.2,22.5,5.1
23/4/2009,29.8,16.3,23.05,5
24/4/2009,29.6,16.1,22.85,5.4
25/4/2009,27.7,14.9,21.3,3.3
26/4/2009,28.5,14.8,21.65,4.9
27/4/2009,27.7,15,21.35,5.5
28/4/2009,28.8,15.3,22.05,3.7
29/4/2009,29.8,15.5,22.65,4.9
30/4/2009,29.5,17,23.25,5.5
1/5/2009,28.1,15.4,21.75,4.3
2/5/2009,25.6,14.8,20.2,4.5
3/5/2009,28.4,14.8,21.6,4.2
4/5/2009,27.5,16,21.75,4.3
5/5/2009,27,13.6,20.3,3.7
6/5/2009,28.6,15,21.8,4.4
7/5/2009,28.8,15.2,22,3
8/5/2009,30.1,16,23.05,3.7
9/5/2009,30.6,16.2,23.4,3.9
10/5/2009,31,17.2,24.1,5.9
11/5/2009,31.6,15.8,23.7,6.3
12/5/2009,30.5,16.6,23.55,4.1
13/5/2009,30,17,23.5,5.6
14/5/2009,30.3,15.7,23,5.7
15/5/2009,22.8,17.6,20.2,1.4
16/5/2009,23.6,12.1,17.85,2.6
17/5/2009,27.5,11.2,19.35,2.3
18/5/2009,28.8,14.6,21.7,1.9
19/5/2009,27.9,15.2,21.55,5.2
20/5/2009,26.9,13.8,20.35,4
21/5/2009,26.4,14.2,20.3,3.9
22/5/2009,26.6,12.7,19.65,3.5
23/5/2009,27.6,13,20.3,4.2
24/5/2009,29.4,13.9,21.65,4.3
25/5/2009,29.5,15.6,22.55,4.7
26/5/2009,30.2,17,23.6,5.1
27/5/2009,28.6,18.7,23.65,2.4
28/5/2009,31,18.2,24.6,3.9
29/5/2009,28.8,18.3,23.55,4.5
30/5/2009,28.6,16,22.3,3.8
31/5/2009,27.7,18.8,23.25,3.9
1/6/2009,20.4,10.7,15.55,3.5
2/6/2009,18.6,7,12.8,1.8
3/6/2009,19.5,5.4,12.45,3.3
4/6/2009,25.2,5.2,15.2,2.9
5/6/2009,28.4,11.2,19.8,5.9
6/6/2009,28.5,13.6,21.05,2.8
7/6/2009,24.8,14.6,19.7,3.7
8/6/2009,24.7,12,18.35,3.5
9/6/2009,25.2,14.9,20.05,2.9
10/6/2009,26,15.2,20.6,3.5
11/6/2009,20.7,16.4,18.55,2.4
12/6/2009,20.5,16.2,18.35,1
13/6/2009,22.7,11.3,17,3.1
14/6/2009,23.4,8.1,15.75,2.3
15/6/2009,27.6,9,18.3,3.1
16/6/2009,23.9,13.7,18.8,2.6
17/6/2009,23.3,16.1,19.7,2.4
18/6/2009,24.4,10.4,17.4,2.9
19/6/2009,26.3,9.4,17.85,2.9
20/6/2009,28.8,10.6,19.7,2.3
21/6/2009,28.6,11.4,20,3.7
21/3/2010,31.7,21,26.35,4.2
22/3/2010,32.2,20.6,26.4,4.8
23/3/2010,31.9,20.2,26.05,4.4
24/3/2010,32.2,20.9,26.55,6.9
25/3/2010,32,20.6,26.3,6.3
26/3/2010,31.8,20.6,26.2,4.9
27/3/2010,31,20.4,25.7,5.5
28/3/2010,31.5,20.8,26.15,6
29/3/2010,30.6,20.6,25.6,6.3
30/3/2010,30.8,21,25.9,4.3
31/3/2010,29.1,20.6,24.85,3.4
1/4/2010,29.8,20.2,25,3.7
2/4/2010,26.7,20.4,23.55,2.7
3/4/2010,27.8,21,24.4,3.7
4/4/2010,28.8,20.7,24.75,4.4
5/4/2010,26.2,21.5,23.85,3.3
6/4/2010,20.4,15.5,17.95,2.2
7/4/2010,23.6,11.7,17.65,4.9
8/4/2010,23.9,12.1,18,5.5
9/4/2010,25.6,11.9,18.75,4.9
10/4/2010,26.8,13.3,20.05,4.6
11/4/2010,27.6,14.1,20.85,4.9
12/4/2010,27.7,14.3,21,5
13/4/2010,27.7,14.4,21.05,5.4
14/4/2010,28.9,15.2,22.05,4
15/4/2010,29.7,15.5,22.6,5
16/4/2010,31.4,16.4,23.9,2.4
17/4/2010,31.8,16.4,24.1,5.4
18/4/2010,31.2,17,24.1,5.1
19/4/2010,31.9,17.4,24.65,5.5
20/4/2010,32.2,18,25.1,5.6
21/4/2010,32.2,17.5,24.85,5.5
22/4/2010,32.2,18.2,25.2,6
23/4/2010,32.6,18.8,25.7,6.3
24/4/2010,32.2,19.7,25.95,4.1
25/4/2010,32.6,20.6,26.6,6
26/4/2010,31.8,18.4,25.1,6.9
27/4/2010,32.1,18.9,25.5,5
28/4/2010,31.9,18.8,25.35,4.2
29/4/2010,30.8,17.9,24.35,5.3
30/4/2010,29.1,16.7,22.9,5.4
1/5/2010,27.2,15.7,21.45,5.1
2/5/2010,27.9,11,19.45,6.4
3/5/2010,30.1,15,22.55,4.2
4/5/2010,30.4,17.4,23.9,5
5/5/2010,30.4,17.7,24.05,4.9
6/5/2010,31.8,17.9,24.85,5.6
7/5/2010,30.5,18.9,24.7,4
8/5/2010,28.8,19.5,24.15,3.3
9/5/2010,22.6,17,19.8,2.5
10/5/2010,24.3,12.4,18.35,4.2
11/5/2010,25.5,11.1,18.3,5.1
12/5/2010,21.6,10.6,16.1,4.1
13/5/2010,24.2,7.1,15.65,3
14/5/2010,25.8,10.3,18.05,3.5
15/5/2010,29.7,12,20.85,4.7
16/5/2010,30.9,12.2,21.55,3.9
17/5/2010,29,15,22,4.6
18/5/2010,27.6,15.8,21.7,4
19/5/2010,21,13.7,17.35,1
20/5/2010,22,9.7,15.85,3
21/5/2010,23.6,9.5,16.55,3.8
22/5/2010,26,12.4,19.2,3
23/5/2010,28.4,14.1,21.25,3.5
24/5/2010,28.6,14.4,21.5,3
25/5/2010,28.5,18.4,23.45,2.4
26/5/2010,29,16.2,22.6,4.9
27/5/2010,27,14,20.5,4.5
28/5/2010,26.3,13.5,19.9,4.3
29/5/2010,28.1,14.5,21.3,4.6
30/5/2010,29.3,14.8,22.05,6
31/5/2010,23.6,15.3,19.45,2.7
1/6/2010,24.3,11.4,17.85,4.1
2/6/2010,24.8,11.7,18.25,2.1
3/6/2010,26.6,12.8,19.7,4.3
4/6/2010,27.9,13.3,20.6,4
5/6/2010,22.6,15.6,19.1,3.2
6/6/2010,22.6,8.5,15.55,3.5
7/6/2010,25.2,7.6,16.4,2.6
8/6/2010,27.7,9.7,18.7,3.3
9/6/2010,27.7,11.3,19.5,3.8
10/6/2010,27.1,14.6,20.85,2.8
11/6/2010,24.6,14.4,19.5,3.2
12/6/2010,23.9,10.1,17,5
13/6/2010,24.6,9,16.8,3.5
14/6/2010,25.8,9.8,17.8,3.7
15/6/2010,27.5,10.4,18.95,3.8
16/6/2010,27.6,11,19.3,4.1
17/6/2010,29.8,9.8,19.8,4
18/6/2010,29.4,12.1,20.75,5.7
19/6/2010,30.7,12.1,21.4,6.9
20/6/2010,30.5,12.5,21.5,5.4
21/6/2010,31.8,12.4,22.1,5.9
21/3/2011,25.1,19.6,22.35,1
22/3/2011,23.5,19.6,21.55,0.4
23/3/2011,26.8,19.7,23.25,3.1
24/3/2011,27.8,19.7,23.75,3.3
25/3/2011,31.7,18.6,25.15,5.3
26/3/2011,32.7,19.9,26.3,5.7
27/3/2011,34.1,21,27.55,8
28/3/2011,31,19.6,25.3,3
29/3/2011,31.6,21.4,26.5,4.7
30/3/2011,30.9,20.2,25.55,4.7
31/3/2011,31.8,19.1,25.45,5.2
1/4/2011,33.2,19.4,26.3,6
2/4/2011,27.6,20.6,24.1,3.3
3/4/2011,26.4,19.4,22.9,1.4
4/4/2011,28.5,19.4,23.95,4.5
5/4/2011,25.4,19.4,22.4,1.7
6/4/2011,30.4,17.9,24.15,4.6
7/4/2011,30.6,16.3,23.45,5.6
8/4/2011,30.6,17.1,23.85,4.8
9/4/2011,28.8,17.6,23.2,3.5
10/4/2011,29.2,15.3,22.25,7.3
11/4/2011,30,17.2,23.6,5.3
12/4/2011,31.5,19.1,25.3,8.2
13/4/2011,25.5,18.6,22.05,1
14/4/2011,32.2,17.4,24.8,3.4
15/4/2011,31.4,20,25.7,5.8
16/4/2011,30.8,18.3,24.55,6.1
17/4/2011,31.6,18.2,24.9,6.2
18/4/2011,30.6,18.9,24.75,4.5
19/4/2011,30.9,18.6,24.75,6
20/4/2011,30.9,18.2,24.55,5.8
21/4/2011,31.6,18,24.8,7.1
22/4/2011,31.4,17.9,24.65,5.4
23/4/2011,31.6,17.8,24.7,4.1
24/4/2011,31.8,18.1,24.95,5.6
25/4/2011,31.4,18.8,25.1,3.4
26/4/2011,25.6,18.1,21.85,6.2
27/4/2011,25.4,17,21.2,2.9
28/4/2011,24.8,16.2,20.5,2.3
