Data,TMAX,TMIN,TMED,ETP-Pmoith
23/9/2008,26.9,9,17.95,7.7
24/9/2008,28.2,11.6,19.9,7.3
25/9/2008,32.6,12.6,22.6,7.1
26/9/2008,25.6,16.3,20.95,2.7
27/9/2008,29.3,15,22.15,8.4
28/9/2008,29.6,12,20.8,8
29/9/2008,31.4,12.2,21.8,6.7
30/9/2008,29.8,15.2,22.5,5.1
1/10/2008,36,18.3,27.15,9.6
2/10/2008,22.9,18,20.45,1.9
3/10/2008,31.4,15.8,23.6,5
4/10/2008,33,19.6,26.3,7
5/10/2008,28.3,20.1,24.2,4.6
6/10/2008,21.4,18.7,20.05,1.7
7/10/2008,23.5,17.1,20.3,0.8
8/10/2008,28.7,16.5,22.6,9.1
9/10/2008,26.8,14.4,20.6,5.4
10/10/2008,30.9,14.7,22.8,6.5
11/10/2008,30.5,17.1,23.8,6
12/10/2008,32.6,18.4,25.5,8.7
13/10/2008,34.8,19.4,27.1,7.9
14/10/2008,36.3,21,28.65,7.5
15/10/2008,37.5,21,29.25,9.7
16/10/2008,37.9,22.1,30,11.1
17/10/2008,37.5,20,28.75,9.2
18/10/2008,26.7,19,22.85,1
19/10/2008,25.8,19,22.4,2.9
20/10/2008,30.2,18.4,24.3,6.1
21/10/2008,25.1,20,22.55,4.1
22/10/2008,27.8,18.8,23.3,2.7
23/10/2008,33.7,17.5,25.6,8.6
24/10/2008,35.7,19.8,27.75,8.8
25/10/2008,36.8,22.4,29.6,10
26/10/2008,37.2,21.7,29.45,11.3
27/10/2008,35.7,22.1,28.9,8.4
28/10/2008,36.4,21.9,29.15,7.8
29/10/2008,38.4,22.2,30.3,10.8
30/10/2008,30.1,20.2,25.15,5.4
31/10/2008,31.5,20.4,25.95,5.5
1/11/2008,33.6,18.5,26.05,6.6
2/11/2008,31,20.5,25.75,6
3/11/2008,32.7,20.5,26.6,7.7
4/11/2008,34.4,20.4,27.4,9.9
5/11/2008,33.4,19.4,26.4,5.5
6/11/2008,33.4,20.6,27,6
7/11/2008,25.4,19.8,22.6,1.2
8/11/2008,32.4,19.2,25.8,8.1
9/11/2008,34.4,20.5,27.45,9.2
10/11/2008,30.5,19.9,25.2,4.9
11/11/2008,29.6,20,24.8,5.1
12/11/2008,30.2,18.8,24.5,6.7
13/11/2008,30.8,17.7,24.25,5.1
