Data,TMAX,TMIN,TMED,ETP-Pmoith
1/1/2008,33.8,22.2,28,6.8
2/1/2008,29.6,21.5,25.55,3.1
3/1/2008,30.4,21.5,25.95,3.8
4/1/2008,32.4,19.4,25.9,7.7
5/1/2008,31.1,21.4,26.25,6
6/1/2008,26.8,20.6,23.7,1.9
7/1/2008,30.8,19.5,25.15,6.7
8/1/2008,31.4,18.9,25.15,7.8
9/1/2008,32.4,19,25.7,7.8
10/1/2008,33,20.2,26.6,7.6
11/1/2008,32,20.6,26.3,6.7
12/1/2008,31.8,21.6,26.7,9.2
13/1/2008,29.2,21,25.1,3.6
14/1/2008,25.5,20.6,23.05,2.8
15/1/2008,28,19.8,23.9,4.6
16/1/2008,30.4,18.6,24.5,8.2
17/1/2008,30.3,19.7,25,7.1
18/1/2008,30.6,22,26.3,5.1
19/1/2008,29.8,19.7,24.75,4.4
20/1/2008,26.3,19.9,23.1,2.9
21/1/2008,27,20.7,23.85,1.8
22/1/2008,26.4,18.2,22.3,1.5
23/1/2008,28.6,18.4,23.5,3.5
24/1/2008,28.8,20.5,24.65,3.5
25/1/2008,27.4,20.1,23.75,2.5
26/1/2008,26.8,20.6,23.7,3.3
27/1/2008,24.9,19.1,22,1.5
28/1/2008,22.6,18.7,20.65,0.9
29/1/2008,26.4,19.5,22.95,2.9
30/1/2008,28.8,18.4,23.6,1.3
31/1/2008,30.4,20.7,25.55,6.2
1/2/2008,32.3,19.5,25.9,7
2/2/2008,33.4,21.1,27.25,8.5
3/2/2008,27.6,20.3,23.95,2.4
4/2/2008,29.9,21.2,25.55,4
5/2/2008,26.4,19.1,22.75,3.8
6/2/2008,26.4,18.4,22.4,4.8
7/2/2008,29.3,20,24.65,5.6
8/2/2008,30.8,17.3,24.05,5.4
9/2/2008,31.8,20,25.9,6.5
10/2/2008,31.5,20.5,26,8
11/2/2008,32.6,20.4,26.5,6.8
12/2/2008,33,20.4,26.7,8.1
13/2/2008,28.7,19.4,24.05,3.4
14/2/2008,33,18.8,25.9,7
15/2/2008,30.2,18.8,24.5,4.7
16/2/2008,30.4,20.8,25.6,3.8
17/2/2008,32,20,26,7.9
18/2/2008,31.7,19.6,25.65,5.1
19/2/2008,30.2,18.2,24.2,3.7
20/2/2008,30.4,19.9,25.15,7
21/2/2008,27.5,19.8,23.65,4.5
22/2/2008,29.9,20.2,25.05,1.7
23/2/2008,29.8,21,25.4,5.5
24/2/2008,25.5,21.2,23.35,2.9
25/2/2008,29.4,20.5,24.95,4.2
26/2/2008,31.6,18.8,25.2,6.5
27/2/2008,31.9,19.3,25.6,8.5
28/2/2008,32.3,19.5,25.9,8.3
29/2/2008,27.8,20.7,24.25,6.15
1/3/2008,29.6,20.7,25.15,4
2/3/2008,30.8,18.7,24.75,8.1
3/3/2008,31.4,18.7,25.05,7.8
4/3/2008,31.4,18.9,25.15,7.9
5/3/2008,31.8,18.4,25.1,7.4
6/3/2008,32.2,18.2,25.2,6
7/3/2008,31.3,20.4,25.85,4.7
8/3/2008,31.1,20.2,25.65,7.4
9/3/2008,31.6,20.3,25.95,6.4
10/3/2008,31.8,20.2,26,7.1
11/3/2008,28.1,21.8,24.95,0.8
12/3/2008,25.4,20.9,23.15,2.1
13/3/2008,27.8,19.9,23.85,2.8
14/3/2008,22,18.7,20.35,1.5
15/3/2008,23.4,17.5,20.45,3.2
16/3/2008,26.2,16.8,21.5,1.4
17/3/2008,22.6,17,19.8,1.1
18/3/2008,29.5,17,23.25,3.9
19/3/2008,30.8,18.3,24.55,6.6
20/3/2008,31,17.9,24.45,5.5
22/12/2008,30.8,17.7,24.25,4.7
23/12/2008,31.6,19.2,25.4,7.3
24/12/2008,32.3,20.9,26.6,7
25/12/2008,27.7,19.8,23.75,1.4
26/12/2008,27.6,20.4,24,2.8
27/12/2008,23.2,19.2,21.2,1
28/12/2008,30.5,18.1,24.3,4
29/12/2008,32.2,22,27.1,4.7
30/12/2008,32.2,21.5,26.85,6.2
31/12/2008,30,20.8,25.4,4
1/1/2009,29.6,20,24.8,4.3
2/1/2009,29.8,20.4,25.1,2.9
3/1/2009,27.6,20.2,23.9,4.5
4/1/2009,22.8,18.8,20.8,0.3
5/1/2009,27.8,16.8,22.3,6.5
6/1/2009,30.4,16.3,23.35,6.4
7/1/2009,31.4,16.9,24.15,8.1
8/1/2009,33.4,17.6,25.5,7
9/1/2009,34.6,19.8,27.2,7.7
10/1/2009,31.5,20.4,25.95,6.7
11/1/2009,31.5,21,26.25,8.4
12/1/2009,33.8,20.6,27.2,7
13/1/2009,34.4,20.8,27.6,8.9
14/1/2009,34.3,20.3,27.3,10.9
15/1/2009,29.8,19,24.4,4.5
16/1/2009,28.7,21.1,24.9,4.7
17/1/2009,29.7,20.2,24.95,5.5
18/1/2009,29.5,20.4,24.95,2.5
19/1/2009,28.9,20,24.45,4.5
20/1/2009,30.8,22.2,26.5,4.5
21/1/2009,29.9,20.3,25.1,6.8
22/1/2009,29.4,19.8,24.6,7.6
23/1/2009,27.4,17.8,22.6,4.8
24/1/2009,29.5,19.3,24.4,4.5
25/1/2009,26.5,21.2,23.85,1.1
26/1/2009,26.6,20.3,23.45,0.8
27/1/2009,24.1,20.6,22.35,1.8
28/1/2009,27.7,20.5,24.1,6.4
29/1/2009,29.7,20.2,24.95,4.7
30/1/2009,30.4,21,25.7,4.1
31/1/2009,30.6,20.4,25.5,4.4
1/2/2009,32.8,20,26.4,6
2/2/2009,31.3,21.2,26.25,4
3/2/2009,32,19.7,25.85,5.9
4/2/2009,29,20.1,24.55,7.6
5/2/2009,32,18.7,25.35,5.8
6/2/2009,32.6,20.1,26.35,6.6
7/2/2009,32.8,21,26.9,6.6
8/2/2009,31.8,21.5,26.65,4.3
9/2/2009,31.9,21.1,26.5,5.7
10/2/2009,30.9,21.4,26.15,4.8
11/2/2009,31.5,21.8,26.65,6.6
12/2/2009,28.6,20.3,24.45,2.9
13/2/2009,23.5,19.7,21.6,0.9
14/2/2009,28.4,19.5,23.95,2.3
15/2/2009,28.9,21.1,25,4.6
16/2/2009,28.7,21.3,25,3.7
17/2/2009,31.7,20.1,25.9,6.3
18/2/2009,32.6,19.2,25.9,7.7
19/2/2009,33.3,21,27.15,6.5
20/2/2009,32.9,19.9,26.4,6.7
21/2/2009,33.6,21.1,27.35,8.3
22/2/2009,34.5,21.4,27.95,5.5
23/2/2009,31.8,21.2,26.5,7.8
24/2/2009,31.6,21.4,26.5,7.4
25/2/2009,30,20.6,25.3,4.8
26/2/2009,30.6,20.5,25.55,4.9
27/2/2009,31,20.5,25.75,2.7
28/2/2009,33.6,20.5,27.05,6.1
1/3/2009,33.5,22.6,28.05,7.5
2/3/2009,33.2,19.2,26.2,6.8
3/3/2009,34.4,20.6,27.5,5
4/3/2009,35,21.5,28.25,7.3
5/3/2009,34.6,22.4,28.5,5.6
6/3/2009,35.5,21.7,28.6,6.8
7/3/2009,34.8,20.8,27.8,9.1
8/3/2009,33.4,20.6,27,6.7
9/3/2009,32.6,20.5,26.55,6.6
10/3/2009,30.9,19.5,25.2,4.5
11/3/2009,29.9,20.1,25,3.5
12/3/2009,31.5,20.7,26.1,5.3
13/3/2009,27.3,21.5,24.4,4.2
14/3/2009,29,19,24,3.6
15/3/2009,29.5,19.7,24.6,2.9
16/3/2009,30.4,18.7,24.55,5.6
17/3/2009,28.2,19.5,23.85,3.7
18/3/2009,30.5,19.9,25.2,6.3
19/3/2009,31.3,19.8,25.55,5.2
20/3/2009,29.2,20.4,24.8,3.2
22/12/2009,32.6,19.4,26,8.4
23/12/2009,32.7,20.2,26.45,8.3
24/12/2009,32.4,20.3,26.35,9.9
25/12/2009,29.1,20.4,24.75,4
26/12/2009,31.4,21.3,26.35,5.7
27/12/2009,28,21.6,24.8,4.8
28/12/2009,28.8,21.9,25.35,4.8
29/12/2009,24.7,21.4,23.05,2.1
30/12/2009,28.8,20.2,24.5,1.9
31/12/2009,31.6,20.7,26.15,5.7
1/1/2010,30.2,20.8,25.5,3.5
2/1/2010,31.2,22.2,26.7,6.6
3/1/2010,33.6,21.1,27.35,8.2
4/1/2010,34.5,21,27.75,8
5/1/2010,34,21.7,27.85,8.9
6/1/2010,32.5,21.4,26.95,2.6
7/1/2010,32.5,21.2,26.85,6.1
8/1/2010,29.2,21.6,25.4,2.3
9/1/2010,31.6,20.7,26.15,6.9
10/1/2010,31.8,20.7,26.25,6.9
11/1/2010,30.8,21.7,26.25,4.7
12/1/2010,32.3,20.4,26.35,6.4
13/1/2010,31.3,20.3,25.8,6.1
14/1/2010,30,20.7,25.35,4.7
15/1/2010,29.7,20.5,25.1,4
16/1/2010,31.6,20.6,26.1,4.7
17/1/2010,30.5,20.4,25.45,3.1
18/1/2010,31.8,21.3,26.55,8.2
19/1/2010,31.8,21.3,26.55,4.3
20/1/2010,32.4,20.6,26.5,7.8
21/1/2010,29,20.6,24.8,4.7
22/1/2010,26.5,20.2,23.35,2.2
23/1/2010,25.6,20.9,23.25,2.8
24/1/2010,30.1,19.5,24.8,5
25/1/2010,28.3,19.6,23.95,4.3
26/1/2010,31,20,25.5,7.3
27/1/2010,27.5,19.8,23.65,5.7
28/1/2010,29.4,21.6,25.5,3
29/1/2010,23.7,20.5,22.1,0.2
30/1/2010,27.6,20.4,24,2.8
31/1/2010,31.5,20.9,26.2,4.5
1/2/2010,33.8,18.9,26.35,7.3
2/2/2010,34.8,19.8,27.3,7.3
