Data,TMAX,TMIN,ETP-Pmoith
22/6/2000,26.1,12.3,2.08100746480002
23/6/2000,26.6,10.4,2.00552076824505
24/6/2000,26.2,9.8,1.95194522381902
25/6/2000,26.4,10.6,2.00707239951403
26/6/2000,27.3,12.4,2.15478679605775
27/6/2000,26.7,7.9,1.87930996527519
28/6/2000,27.5,8.9,1.97873640428851
29/6/2000,27.7,10.9,2.10035869322953
30/6/2000,27.4,9.3,1.99915644495991
1/7/2000,27.9,10,2.06704041747554
2/7/2000,26.4,12.6,2.12989103796084
3/7/2000,25.9,11.6,2.05097558057468
4/7/2000,23.5,11,1.88989457696275
5/7/2000,22.6,10.8,1.83276331480592
6/7/2000,21,11,1.75914972981966
7/7/2000,23.6,10.5,1.8782390298343
8/7/2000,25.5,9.8,1.94834027456511
9/7/2000,25.6,10.2,1.98023120184123
10/7/2000,26.1,12.6,2.1455315298781
11/7/2000,27.6,10.1,2.0950951436386
12/7/2000,24.4,11.7,2.01119665075141
13/7/2000,23.8,11,1.94382436947845
14/7/2000,25.6,11.6,2.08351040667878
15/7/2000,26.4,11.6,2.13429659469544
16/7/2000,25.1,12.2,2.10107171418277
17/7/2000,23,7.7,1.73449332835934
18/7/2000,27.9,3,1.7511977307887
19/7/2000,27.5,7.1,1.96713584842264
20/7/2000,27.8,9.4,2.12187933859307
21/7/2000,30,10.2,2.30070031063732
22/7/2000,29.2,13,2.42347346803699
23/7/2000,29.4,13,2.44353096606306
24/7/2000,24.5,11.9,2.10529358341448
25/7/2000,29.4,11,2.34522122894671
26/7/2000,28,15.5,2.53462372447244
27/7/2000,27.2,15.2,2.47994033775735
28/7/2000,26.1,12,2.23706994235701
29/7/2000,25.2,9.8,2.06313967489831
30/7/2000,26.7,9.2,2.12464576883691
31/7/2000,27,8.3,2.09759911351477
1/8/2000,25.6,9.8,2.11217381680665
2/8/2000,27,10.3,2.23478341107943
3/8/2000,28.2,9.9,2.29230343914423
4/8/2000,28.2,11.7,2.41079099788949
5/8/2000,26.9,14,2.48180255150023
6/8/2000,26.2,11.5,2.29751815085513
7/8/2000,28.6,10.3,2.38098154783951
8/8/2000,28.6,11,2.43446934740931
9/8/2000,29.6,10.8,2.49462796706661
10/8/2000,31,10.7,2.58634892725764
11/8/2000,30.2,13.8,2.74119840150592
12/8/2000,29.8,15.8,2.8536337069653
13/8/2000,28.5,14.2,2.6841975930226
14/8/2000,28.6,13.6,2.66476371800112
15/8/2000,27.8,11.4,2.48655001891782
16/8/2000,29.2,11,2.56156931905035
17/8/2000,27.3,13.5,2.61163233493802
18/8/2000,28.6,10.4,2.50778347903679
19/8/2000,28.7,11.8,2.61610170629505
20/8/2000,28.2,13.1,2.6799292588471
21/8/2000,27.2,13.8,2.67257087704737
22/8/2000,28.6,12.2,2.67162183825242
23/8/2000,29.2,10.6,2.61796384314499
24/8/2000,30,12.2,2.78839343568967
25/8/2000,30.4,13.8,2.93372345863502
26/8/2000,33.6,17.1,3.38028611389386
27/8/2000,31.6,14.9,3.11414901027343
28/8/2000,32.6,16.1,3.27602898189797
29/8/2000,22.8,14.4,2.5135327251758
30/8/2000,24.4,13.1,2.54498548020313
31/8/2000,29,14.6,2.97195147073764
1/9/2000,30.5,17,3.25190557572668
2/9/2000,26.8,17.7,3.05971178732285
3/9/2000,21.4,14.6,2.48591064559292
4/9/2000,25.5,14.4,2.76696692058543
5/9/2000,26.6,14.9,2.89009451224382
6/9/2000,26,14.8,2.85325836938275
7/9/2000,26,15.2,2.89320075461895
8/9/2000,24,16,2.82048980785281
9/9/2000,28.2,15.7,3.10809579869085
10/9/2000,26.5,15.7,2.99977857599986
11/9/2000,28.8,17.3,3.29007280027244
12/9/2000,29.6,17.1,3.34602905869135
13/9/2000,28.2,18.3,3.34467490843022
14/9/2000,27.4,16.8,3.1914698622484
15/9/2000,28.8,16,3.24707953309816
16/9/2000,29.8,16.6,3.37565298479445
17/9/2000,29.8,17.7,3.46845747172471
18/9/2000,29,16.8,3.35651694722416
19/9/2000,28.6,14.8,3.19205952111546
20/9/2000,28.3,15.4,3.2255034610882
21/9/2000,28,11.5,2.9256651247779
22/9/2000,28.6,11.7,2.99516212424569
22/6/2001,25.6,10.4,1.95094449825002
23/6/2001,26.6,11.6,2.07056468505299
24/6/2001,26.2,17.2,2.35317840871516
25/6/2001,26.4,14.1,2.19693059946806
26/6/2001,26.6,12.1,2.10051005056512
27/6/2001,24.6,13.2,2.05311897940468
28/6/2001,26.1,6.9,1.79390937751431
29/6/2001,26.4,8.8,1.91535300522486
30/6/2001,25.8,4.7,1.6614242934953
1/7/2001,26.1,9.8,1.95796176747683
2/7/2001,25.5,8.1,1.83498304808934
3/7/2001,26,10.6,2.00175216664089
4/7/2001,27.4,9.5,2.02136550405582
5/7/2001,26.8,9,1.96445888233689
6/7/2001,24.8,9.8,1.9020806453675
7/7/2001,25.4,9.4,1.91679525625318
8/7/2001,25.2,9.6,1.9207433868234
9/7/2001,25.4,11,2.01341943427432
10/7/2001,26,9.8,1.98475526536527
11/7/2001,27.4,10,2.07842329899426
12/7/2001,27.8,10,2.10590674233804
13/7/2001,27.6,13.9,2.31806641762516
14/7/2001,26.6,12.2,2.17312375750368
15/7/2001,25.2,11.9,2.08374746482108
16/7/2001,25.6,10.2,2.01657821361242
17/7/2001,25.4,10.8,2.04523317545955
18/7/2001,27,13,2.26692262885268
19/7/2001,27.7,12.1,2.26277476205841
20/7/2001,29.4,11.8,2.35003840725899
21/7/2001,28.1,12.6,2.32931598614276
22/7/2001,29.8,14,2.51535871800996
23/7/2001,23,11.7,1.99977652175444
24/7/2001,28.4,12.8,2.38291471529332
25/7/2001,27.6,12.6,2.33361122286281
26/7/2001,27.1,12.5,2.30738159745077
27/7/2001,27.4,12,2.30447286102924
28/7/2001,26.1,12.9,2.28991411422371
29/7/2001,27.4,10.4,2.22819084889018
30/7/2001,26.1,14.3,2.39096626910894
31/7/2001,24,12.8,2.18673222032134
1/8/2001,26,13.2,2.3389043395147
2/8/2001,25.6,12.3,2.27073166970269
