@relation dados-climaticos-inverno

@attribute Data date dd/MM/yyyy
@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data

22/06/2000,26.1,12.3,2.081007
23/06/2000,26.6,10.4,2.005521
24/06/2000,26.2,9.8,1.951945
25/06/2000,26.4,10.6,2.007072
26/06/2000,27.3,12.4,2.154787
27/06/2000,26.7,7.9,1.87931
28/06/2000,27.5,8.9,1.978736
29/06/2000,27.7,10.9,2.100359
30/06/2000,27.4,9.3,1.999156
01/07/2000,27.9,10,2.06704
02/07/2000,26.4,12.6,2.129891
03/07/2000,25.9,11.6,2.050976
04/07/2000,23.5,11,1.889895
05/07/2000,22.6,10.8,1.832763
06/07/2000,21,11,1.75915
07/07/2000,23.6,10.5,1.878239
08/07/2000,25.5,9.8,1.94834
09/07/2000,25.6,10.2,1.980231
10/07/2000,26.1,12.6,2.145532
11/07/2000,27.6,10.1,2.095095
12/07/2000,24.4,11.7,2.011197
13/07/2000,23.8,11,1.943824
14/07/2000,25.6,11.6,2.08351
15/07/2000,26.4,11.6,2.134297
16/07/2000,25.1,12.2,2.101072
17/07/2000,23,7.7,1.734493
18/07/2000,27.9,3,1.751198
19/07/2000,27.5,7.1,1.967136
20/07/2000,27.8,9.4,2.121879
21/07/2000,30,10.2,2.3007
22/07/2000,29.2,13,2.423473
23/07/2000,29.4,13,2.443531
24/07/2000,24.5,11.9,2.105294
25/07/2000,29.4,11,2.345221
26/07/2000,28,15.5,2.534624
27/07/2000,27.2,15.2,2.47994
28/07/2000,26.1,12,2.23707
29/07/2000,25.2,9.8,2.06314
30/07/2000,26.7,9.2,2.124646
31/07/2000,27,8.3,2.097599
01/08/2000,25.6,9.8,2.112174
02/08/2000,27,10.3,2.234783
03/08/2000,28.2,9.9,2.292303
04/08/2000,28.2,11.7,2.410791
05/08/2000,26.9,14,2.481803
06/08/2000,26.2,11.5,2.297518
07/08/2000,28.6,10.3,2.380982
08/08/2000,28.6,11,2.434469
09/08/2000,29.6,10.8,2.494628
10/08/2000,31,10.7,2.586349
11/08/2000,30.2,13.8,2.741198
12/08/2000,29.8,15.8,2.853634
13/08/2000,28.5,14.2,2.684198
14/08/2000,28.6,13.6,2.664764
15/08/2000,27.8,11.4,2.48655
16/08/2000,29.2,11,2.561569
17/08/2000,27.3,13.5,2.611632
18/08/2000,28.6,10.4,2.507783
19/08/2000,28.7,11.8,2.616102
20/08/2000,28.2,13.1,2.679929
21/08/2000,27.2,13.8,2.672571
22/08/2000,28.6,12.2,2.671622
23/08/2000,29.2,10.6,2.617964
24/08/2000,30,12.2,2.788393
25/08/2000,30.4,13.8,2.933723
26/08/2000,33.6,17.1,3.380286
27/08/2000,31.6,14.9,3.114149
28/08/2000,32.6,16.1,3.276029
29/08/2000,22.8,14.4,2.513533
30/08/2000,24.4,13.1,2.544985
31/08/2000,29,14.6,2.971951
01/09/2000,30.5,17,3.251906
02/09/2000,26.8,17.7,3.059712
03/09/2000,21.4,14.6,2.485911
04/09/2000,25.5,14.4,2.766967
05/09/2000,26.6,14.9,2.890095
06/09/2000,26,14.8,2.853258
07/09/2000,26,15.2,2.893201
08/09/2000,24,16,2.82049
09/09/2000,28.2,15.7,3.108096
10/09/2000,26.5,15.7,2.999779
11/09/2000,28.8,17.3,3.290073
12/09/2000,29.6,17.1,3.346029
13/09/2000,28.2,18.3,3.344675
14/09/2000,27.4,16.8,3.19147
15/09/2000,28.8,16,3.24708
16/09/2000,29.8,16.6,3.375653
17/09/2000,29.8,17.7,3.468457
18/09/2000,29,16.8,3.356517
19/09/2000,28.6,14.8,3.19206
20/09/2000,28.3,15.4,3.225503
21/09/2000,28,11.5,2.925665
22/09/2000,28.6,11.7,2.995162
22/06/2001,25.6,10.4,1.950944
23/06/2001,26.6,11.6,2.070565
24/06/2001,26.2,17.2,2.353178
25/06/2001,26.4,14.1,2.196931
26/06/2001,26.6,12.1,2.10051
27/06/2001,24.6,13.2,2.053119
28/06/2001,26.1,6.9,1.793909
29/06/2001,26.4,8.8,1.915353
30/06/2001,25.8,4.7,1.661424
01/07/2001,26.1,9.8,1.957962
02/07/2001,25.5,8.1,1.834983
03/07/2001,26,10.6,2.001752
04/07/2001,27.4,9.5,2.021366
05/07/2001,26.8,9,1.964459
06/07/2001,24.8,9.8,1.902081
07/07/2001,25.4,9.4,1.916795
08/07/2001,25.2,9.6,1.920743
09/07/2001,25.4,11,2.013419
10/07/2001,26,9.8,1.984755
11/07/2001,27.4,10,2.078423
12/07/2001,27.8,10,2.105907
13/07/2001,27.6,13.9,2.318066
14/07/2001,26.6,12.2,2.173124
15/07/2001,25.2,11.9,2.083747
16/07/2001,25.6,10.2,2.016578
17/07/2001,25.4,10.8,2.045233
18/07/2001,27,13,2.266923
19/07/2001,27.7,12.1,2.262775
20/07/2001,29.4,11.8,2.350038
21/07/2001,28.1,12.6,2.329316
22/07/2001,29.8,14,2.515359
23/07/2001,23,11.7,1.999777
24/07/2001,28.4,12.8,2.382915
25/07/2001,27.6,12.6,2.333611
26/07/2001,27.1,12.5,2.307382
27/07/2001,27.4,12,2.304473
28/07/2001,26.1,12.9,2.289914
29/07/2001,27.4,10.4,2.228191
30/07/2001,26.1,14.3,2.390966
31/07/2001,24,12.8,2.186732
01/08/2001,26,13.2,2.338904
02/08/2001,25.6,12.3,2.270732
03/08/2001,25.4,12.8,2.29832
04/08/2001,25.4,13.4,2.344328
05/08/2001,26.2,11.6,2.293695
06/08/2001,26.6,11.3,2.309707
07/08/2001,26.4,11.2,2.301411
08/08/2001,25.4,10.1,2.182416
09/08/2001,25.4,12.6,2.346432
10/08/2001,26.1,11.1,2.307247
11/08/2001,26.2,9.3,2.211649
12/08/2001,26.4,13,2.46564
13/08/2001,25.8,13.8,2.489326
14/08/2001,24.8,11.9,2.31746
15/08/2001,25,11.2,2.296253
16/08/2001,25.4,12.1,2.389524
17/08/2001,26,11.1,2.374793
18/08/2001,26,12,2.443481
19/08/2001,27.1,12.8,2.577345
20/08/2001,26.4,14,2.621529
21/08/2001,27,13.4,2.63346
22/08/2001,29.5,11.4,2.67817
23/08/2001,30.6,12.6,2.841609
24/08/2001,30.4,15.8,3.052696
25/08/2001,33.3,14.4,3.166032
26/08/2001,29,12.9,2.79357
27/08/2001,30.5,13.6,2.953419
28/08/2001,25.6,17.2,2.879138
29/08/2001,28.8,17.2,3.108132
30/08/2001,20.3,15,2.39568
31/08/2001,27.3,11.9,2.67203
01/09/2001,28.4,15.6,3.012291
02/09/2001,28.8,14,2.942824
03/09/2001,29.1,13,2.907134
04/09/2001,29.8,14.8,3.0929
05/09/2001,30,14.8,3.119909
06/09/2001,29,16.1,3.153969
07/09/2001,29.2,15.5,3.138982
08/09/2001,35.5,15.2,3.574971
09/09/2001,32.8,13.4,3.270935
10/09/2001,32.3,14.6,3.333877
11/09/2001,33.9,15.8,3.546998
12/09/2001,34.4,20,3.89773
13/09/2001,29.4,16.6,3.308711
14/09/2001,28.7,17.1,3.306998
15/09/2001,29.2,15.2,3.218088
16/09/2001,24.8,14.8,2.880945
17/09/2001,23.2,12.1,2.577612
18/09/2001,27.1,12.8,2.924127
19/09/2001,27,12,2.868441
20/09/2001,28.2,14,3.114788
21/09/2001,28.9,14.8,3.236749
22/09/2001,29.5,16,3.381635
22/06/2002,24.6,13.4,2.05933
23/06/2002,25.2,13.6,2.103087
24/06/2002,25.3,10.8,1.957367
25/06/2002,25.7,13.5,2.126412
26/06/2002,26.2,12.6,2.105938
27/06/2002,26.2,12.1,2.080277
28/06/2002,26,11.3,2.027661
29/06/2002,25.6,9.8,1.926236
30/06/2002,26.2,11.8,2.069971
01/07/2002,25.6,11.4,2.017955
02/07/2002,23.8,11.8,1.944208
03/07/2002,24,10.2,1.87049
04/07/2002,24.8,10.7,1.944674
05/07/2002,24.3,10.4,1.904098
