@relation dados-climaticos-inverno

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data

26.1,12.3,2.081007
26.6,10.4,2.005521
26.2,9.8,1.951945
26.4,10.6,2.007072
27.3,12.4,2.154787
26.7,7.9,1.87931
27.5,8.9,1.978736
27.7,10.9,2.100359
27.4,9.3,1.999156
27.9,10,2.06704
26.4,12.6,2.129891
25.9,11.6,2.050976
23.5,11,1.889895
22.6,10.8,1.832763
21,11,1.75915
23.6,10.5,1.878239
25.5,9.8,1.94834
25.6,10.2,1.980231
26.1,12.6,2.145532
27.6,10.1,2.095095
24.4,11.7,2.011197
23.8,11,1.943824
25.6,11.6,2.08351
26.4,11.6,2.134297
25.1,12.2,2.101072
23,7.7,1.734493
27.9,3,1.751198
27.5,7.1,1.967136
27.8,9.4,2.121879
30,10.2,2.3007
29.2,13,2.423473
29.4,13,2.443531
24.5,11.9,2.105294
29.4,11,2.345221
28,15.5,2.534624
27.2,15.2,2.47994
26.1,12,2.23707
25.2,9.8,2.06314
26.7,9.2,2.124646
27,8.3,2.097599
25.6,9.8,2.112174
27,10.3,2.234783
28.2,9.9,2.292303
28.2,11.7,2.410791
26.9,14,2.481803
26.2,11.5,2.297518
28.6,10.3,2.380982
28.6,11,2.434469
29.6,10.8,2.494628
31,10.7,2.586349
30.2,13.8,2.741198
29.8,15.8,2.853634
28.5,14.2,2.684198
28.6,13.6,2.664764
27.8,11.4,2.48655
29.2,11,2.561569
27.3,13.5,2.611632
28.6,10.4,2.507783
28.7,11.8,2.616102
28.2,13.1,2.679929
27.2,13.8,2.672571
28.6,12.2,2.671622
29.2,10.6,2.617964
30,12.2,2.788393
30.4,13.8,2.933723
33.6,17.1,3.380286
31.6,14.9,3.114149
32.6,16.1,3.276029
22.8,14.4,2.513533
24.4,13.1,2.544985
29,14.6,2.971951
30.5,17,3.251906
26.8,17.7,3.059712
21.4,14.6,2.485911
25.5,14.4,2.766967
26.6,14.9,2.890095
26,14.8,2.853258
26,15.2,2.893201
24,16,2.82049
28.2,15.7,3.108096
26.5,15.7,2.999779
28.8,17.3,3.290073
29.6,17.1,3.346029
28.2,18.3,3.344675
27.4,16.8,3.19147
28.8,16,3.24708
29.8,16.6,3.375653
29.8,17.7,3.468457
29,16.8,3.356517
28.6,14.8,3.19206
28.3,15.4,3.225503
28,11.5,2.925665
28.6,11.7,2.995162
25.6,10.4,1.950944
26.6,11.6,2.070565
26.2,17.2,2.353178
26.4,14.1,2.196931
26.6,12.1,2.10051
24.6,13.2,2.053119
26.1,6.9,1.793909
26.4,8.8,1.915353
25.8,4.7,1.661424
26.1,9.8,1.957962
25.5,8.1,1.834983
26,10.6,2.001752
27.4,9.5,2.021366
26.8,9,1.964459
24.8,9.8,1.902081
25.4,9.4,1.916795
25.2,9.6,1.920743
25.4,11,2.013419
26,9.8,1.984755
27.4,10,2.078423
27.8,10,2.105907
27.6,13.9,2.318066
26.6,12.2,2.173124
25.2,11.9,2.083747
25.6,10.2,2.016578
25.4,10.8,2.045233
27,13,2.266923
27.7,12.1,2.262775
29.4,11.8,2.350038
28.1,12.6,2.329316
29.8,14,2.515359
23,11.7,1.999777
28.4,12.8,2.382915
27.6,12.6,2.333611
27.1,12.5,2.307382
27.4,12,2.304473
26.1,12.9,2.289914
27.4,10.4,2.228191
26.1,14.3,2.390966
24,12.8,2.186732
26,13.2,2.338904
25.6,12.3,2.270732
25.4,12.8,2.29832
25.4,13.4,2.344328
26.2,11.6,2.293695
26.6,11.3,2.309707
26.4,11.2,2.301411
25.4,10.1,2.182416
25.4,12.6,2.346432
26.1,11.1,2.307247
26.2,9.3,2.211649
26.4,13,2.46564
25.8,13.8,2.489326
24.8,11.9,2.31746
25,11.2,2.296253
25.4,12.1,2.389524
26,11.1,2.374793
26,12,2.443481
27.1,12.8,2.577345
26.4,14,2.621529
27,13.4,2.63346
29.5,11.4,2.67817
30.6,12.6,2.841609
30.4,15.8,3.052696
33.3,14.4,3.166032
29,12.9,2.79357
30.5,13.6,2.953419
25.6,17.2,2.879138
28.8,17.2,3.108132
20.3,15,2.39568
27.3,11.9,2.67203
28.4,15.6,3.012291
28.8,14,2.942824
29.1,13,2.907134
29.8,14.8,3.0929
30,14.8,3.119909
29,16.1,3.153969
29.2,15.5,3.138982
35.5,15.2,3.574971
32.8,13.4,3.270935
32.3,14.6,3.333877
33.9,15.8,3.546998
