Data,TMAX,TMIN,ETP-Pmoith
23/9/2000,29.4,12.1,3.09476169297892
24/9/2000,29.9,11,3.06014540553394
25/9/2000,31.6,12.8,3.33285911627183
26/9/2000,30.2,15.9,3.47156689048079
27/9/2000,23.2,14.6,2.85550063781346
28/9/2000,25,14.8,3.01588277391685
29/9/2000,27,14.1,3.12384212311876
30/9/2000,28,13.9,3.19412561912598
1/10/2000,28.1,13.9,3.21109191212012
2/10/2000,26.7,14.8,3.18193807917187
3/10/2000,32,12.4,3.41382649646893
4/10/2000,30.2,17.4,3.66990587230365
5/10/2000,29,17.1,3.56379776577371
6/10/2000,29.8,15.8,3.53440084410389
7/10/2000,27.4,15.2,3.31035155971652
8/10/2000,29,11.8,3.17843279341554
9/10/2000,29.8,17,3.65478596508922
10/10/2000,30.6,16,3.64787724682246
11/10/2000,31.1,15.6,3.66424481608402
12/10/2000,31.4,13.2,3.50744605969487
13/10/2000,32,14.8,3.68863709896355
14/10/2000,31.8,13.5,3.57814372207104
15/10/2000,31.7,14.3,3.64110052028064
16/10/2000,30.5,19,3.92618948619687
17/10/2000,29.4,13.8,3.43334309776881
18/10/2000,30.4,17.4,3.80631891493271
19/10/2000,32.1,13.8,3.66193343886436
20/10/2000,31.5,14.8,3.70063425148899
21/10/2000,33.1,14.3,3.79531766381819
22/10/2000,33.1,18.9,4.17085645288752
23/10/2000,31,17.3,3.88060047358517
24/10/2000,30.6,16.1,3.75817230975498
25/10/2000,31.6,14.8,3.73993643362361
26/10/2000,31.3,17.5,3.93941063471186
27/10/2000,32,16.4,3.91292103453109
28/10/2000,28.4,16.6,3.64327520023663
29/10/2000,29.1,12.4,3.36458196001372
30/10/2000,23.5,17.4,3.32039729300931
31/10/2000,25.2,16.6,3.39787425229585
1/11/2000,26.2,16.8,3.4998117420708
2/11/2000,26.2,17.6,3.56924912694667
3/11/2000,25.6,15.1,3.32051457073584
4/11/2000,25.7,17.8,3.55296205652243
5/11/2000,21.6,16.4,3.10711796292401
6/11/2000,24.8,12,3.01215766137298
7/11/2000,25.2,12.8,3.1135261833088
8/11/2000,25.4,12.1,3.07555114334395
9/11/2000,25.4,13,3.15231634191661
10/11/2000,28.2,17,3.71388472624243
11/11/2000,28.6,15.5,3.62664404308467
12/11/2000,26.8,17.3,3.62966578770834
13/11/2000,27.6,18.4,3.78907623214558
14/11/2000,28.4,19,3.90739644443159
15/11/2000,25.6,18.6,3.64629324202765
