@relation dados-climaticos-verao

@attribute Data date dd/MM/yyyy
@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data

01/01/2000,22.4,17.4,3.325054
02/01/2000,24.1,15.7,3.324883
03/01/2000,21.2,15.8,3.090767
04/01/2000,26.2,17.8,3.675208
05/01/2000,24.2,17.4,3.474405
06/01/2000,26.2,15.8,3.507415
07/01/2000,27.4,15.6,3.590458
08/01/2000,27.6,15.4,3.589929
09/01/2000,26.8,16.6,3.622725
10/01/2000,25.8,15.2,3.42176
11/01/2000,27.8,15.2,3.587945
12/01/2000,28.8,15.8,3.720619
13/01/2000,28.8,15.5,3.694689
14/01/2000,30.6,15.1,3.810438
15/01/2000,30.2,15.1,3.775997
16/01/2000,31.6,16.6,4.016477
17/01/2000,25.2,16,3.432019
18/01/2000,30.4,17.6,3.997028
19/01/2000,30.8,16.5,3.937218
20/01/2000,26.3,17.4,3.636055
21/01/2000,26.2,17.3,3.617821
22/01/2000,28.5,18.6,3.915391
23/01/2000,26.2,17.6,3.639252
24/01/2000,27,18.7,3.795113
25/01/2000,27.4,16.6,3.651893
26/01/2000,26.3,18.5,3.716091
27/01/2000,25.8,17.7,3.606003
28/01/2000,28.8,16.4,3.744458
29/01/2000,29.6,14.6,3.659074
30/01/2000,28.3,16.4,3.697763
31/01/2000,26.2,18.3,3.678393
01/02/2000,26.8,15.9,3.526761
02/02/2000,27.8,17.4,3.730093
03/02/2000,26.7,16.7,3.578381
04/02/2000,28.4,16.2,3.673919
05/02/2000,27.2,17.8,3.703282
06/02/2000,28,17.8,3.765309
07/02/2000,26.2,18.4,3.662788
08/02/2000,25.4,18.4,3.593134
09/02/2000,27.3,16.6,3.597213
10/02/2000,25.6,17.6,3.535636
11/02/2000,26.4,17.4,3.580299
12/02/2000,26.8,17.2,3.592015
13/02/2000,25.9,17.1,3.505684
14/02/2000,28,15,3.50082
15/02/2000,28.4,14.8,3.512044
16/02/2000,28.8,14,3.47434
17/02/2000,28.9,13.8,3.460874
18/02/2000,27,16,3.479626
19/02/2000,26.8,16.2,3.473883
20/02/2000,27,16.6,3.516349
21/02/2000,27.3,17.6,3.614818
22/02/2000,27.6,14.2,3.359128
23/02/2000,28.6,14.5,3.457109
24/02/2000,29,14.4,3.47445
25/02/2000,29.7,15,3.571406
