@relation dados-climaticos-verao

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP-Pmoith numeric

@data

22.4,17.4,3.325054
24.1,15.7,3.324883
21.2,15.8,3.090767
26.2,17.8,3.675208
24.2,17.4,3.474405
26.2,15.8,3.507415
27.4,15.6,3.590458
27.6,15.4,3.589929
26.8,16.6,3.622725
25.8,15.2,3.42176
27.8,15.2,3.587945
28.8,15.8,3.720619
28.8,15.5,3.694689
30.6,15.1,3.810438
30.2,15.1,3.775997
31.6,16.6,4.016477
25.2,16,3.432019
30.4,17.6,3.997028
30.8,16.5,3.937218
26.3,17.4,3.636055
26.2,17.3,3.617821
28.5,18.6,3.915391
26.2,17.6,3.639252
27,18.7,3.795113
27.4,16.6,3.651893
26.3,18.5,3.716091
25.8,17.7,3.606003
28.8,16.4,3.744458
29.6,14.6,3.659074
28.3,16.4,3.697763
26.2,18.3,3.678393
26.8,15.9,3.526761
27.8,17.4,3.730093
26.7,16.7,3.578381
28.4,16.2,3.673919
27.2,17.8,3.703282
28,17.8,3.765309
26.2,18.4,3.662788
25.4,18.4,3.593134
27.3,16.6,3.597213
25.6,17.6,3.535636
26.4,17.4,3.580299
26.8,17.2,3.592015
25.9,17.1,3.505684
28,15,3.50082
28.4,14.8,3.512044
28.8,14,3.47434
28.9,13.8,3.460874
27,16,3.479626
26.8,16.2,3.473883
27,16.6,3.516349
27.3,17.6,3.614818
27.6,14.2,3.359128
28.6,14.5,3.457109
29,14.4,3.47445
29.7,15,3.571406
28.2,16.4,3.55612
28.1,15.8,3.492934
26.2,17.6,3.47743
24.6,17.6,3.342945
25.7,17.6,3.422244
25,17.2,3.32748
27,17.8,3.52399
26.1,17.2,3.397594
27,17.6,3.490751
27.8,16,3.419258
28.2,15.4,3.394621
26.2,14.6,3.168
25.2,17.2,3.283102
24.8,16.4,3.181138
26.3,17,3.333598
25.7,17.4,3.308385
25.2,18.5,3.344314
25.8,18.8,3.402679
26.6,15.7,3.217071
25.2,19,3.350815
24.2,17.1,3.120759
26.7,16.4,3.245964
24.4,17.6,3.152437
25.4,17.2,3.186487
28,16.6,3.725569
28.3,17.7,3.842762
29,16.4,3.792839
29.2,18.4,3.976794
29.2,16.9,3.851583
31.1,16.3,3.960259
30.8,14,3.74304
28.4,17,3.793132
29.2,17.4,3.893299
27.9,17.4,3.784547
28.2,17.6,3.826121
25.8,17.6,3.625386
26.6,17.4,3.675208
26.8,16.4,3.608036
28.2,17.6,3.824753
27.9,14.3,3.523659
29,15.8,3.740205
29.7,17.4,3.931575
28.6,16.9,3.797319
27.7,17,3.729794
26,16.2,3.520406
28.2,16,3.686349
28.6,13.4,3.501934
28,14.8,3.567609
28.3,14.4,3.558165
27.6,14.8,3.531981
27.2,17.4,3.713906
27.9,13.8,3.471078
28.8,15.9,3.71926
27,14.6,3.459801
27.4,11.8,3.25867
26,16.1,3.498002
26.9,16.4,3.595807
27.4,17.1,3.693392
26.4,12.2,3.201811
29.6,16,3.780086
30.2,17,5.003656
30.4,15,3.758415
30.6,15.8,3.838394
29.4,15,3.670127
30.7,14,3.691949
30.4,16.6,3.878637
27.6,12,3.265067
31.1,17,3.962231
32.5,11.8,3.645675
30.2,13.6,3.600885
31.5,16.6,3.950227
31.7,16,3.91307
29.5,14.1,3.572631
28.8,17.5,3.78935
29.8,10,3.253331
30,14.6,3.640997
30.5,14.4,3.660587
30.4,14.5,3.655508
27.5,13.7,3.34945
28.5,14.6,3.498693
26.6,16.6,3.501399
29.4,15.8,3.657653
29.8,9.8,3.199204
29.6,15.1,3.605064
27.7,15,3.4377
29.2,15.8,3.616286
29.5,15,3.569405
28,16.2,3.538495
30.4,15.4,3.659293
30.2,15.1,3.611934
29.6,15.8,3.612283
28.1,18.3,3.683853
26.4,16,3.358788
27.8,14.4,3.335305
27.8,12,3.13824
26.6,17.8,3.492526
27.2,12.6,3.122962
27.6,17,3.490751
27.4,17.3,3.489517
26.3,18.4,3.480265
29,15.8,3.478588
27.7,16.4,3.414736
27.2,13.2,3.119368
25.4,18.4,3.372092
25.2,18.3,3.339089
24.6,17,3.183604
23,18.3,3.150911
26.4,15.1,3.156228
27.8,16.6,3.365978
28.6,15.4,3.32478
28.9,17.5,3.494495
27.6,16.4,3.302553
26.6,17,3.979369
26.8,18.6,3.792395
28.2,15.6,3.658978
27.6,17,3.726005
27.8,16.2,3.676028
26.7,17.5,3.692841
22.7,17.6,3.367055
23.8,17.2,3.42555
21.6,17.8,3.291837
23.9,18.3,3.525692
24.6,18.6,3.609104
26.6,17.6,3.692458
28.2,19.4,3.97623
29.1,16.7,3.825557
28,17.4,3.791778
33.1,16.4,4.133739
29,17.4,3.874355
27.4,17.3,3.731857
25,18.4,3.622725
25.4,18.7,3.680479
24.4,17.8,3.521193
24.6,18.3,3.578801
27.4,17.6,3.75307
25.8,17.4,3.60199
25.4,17,3.534267
26.2,17.7,3.65816
25.4,17.6,3.581962
25,17,3.4974
23.4,18.4,3.479402
26,18.6,3.71094
28.4,18.6,3.90891
29.6,17.8,3.94033
29.9,16.8,3.880207
30.2,17,3.919679
30,15.1,3.743191
31.2,14.8,3.815629
31.2,17.2,4.012196
28,16.6,3.694753
29.2,17.2,3.8412
28.4,17.2,3.772215
30.7,16.6,3.909843
28.3,18.4,3.857137
29,15.4,3.664074
29.8,19.2,4.040108
26.9,19,3.781006
26.8,17.1,3.612757
23.4,17.4,3.354249
27.8,14.8,3.498538
25.4,17.4,3.511099
26.4,17.2,3.572631
26.4,17.2,2.815414
27.9,18.6,3.801002
24.4,17,3.37976
26.4,16.6,3.505684
28.5,16.8,3.688074
27.2,19.4,3.788455
27.2,17.8,3.652927
28.9,17,3.720237
28,19.6,3.851865
27.4,19.6,3.797035
27.4,19.6,3.79056
25.8,18.8,3.590666
29.2,19,3.873445
29.6,18.8,3.882229
29.8,18.6,3.874732
31.4,17.8,3.930943
28.2,17.8,3.667748
25.2,16.9,3.349716
28.3,16.5,3.556824
28.7,14.3,3.406318
26.4,17,3.430148
29.6,14,3.437871
29.2,16,3.555454
29,16.2,3.546681
28.4,14.1,3.326389
29.2,15.5,3.489517
29.2,16.9,3.589266
29.4,15.4,3.478588
29.3,17.3,3.608315
28.9,17.6,3.590362
28.8,17.1,3.533768
29,16.8,3.515639
29.4,17.1,3.558596
30.4,16.3,3.562895
28.3,17.5,3.483259
27.7,15.4,3.267424
26.6,18.3,3.392787
29.2,16.5,3.441777
28.7,17.8,3.490198
28.2,18.3,3.478208
29.6,18.6,4.026287
27.2,15.4,3.558732
30,17.2,3.943216
30.4,19.2,4.143886
30.4,18.6,4.093874
30.2,18.4,4.060518
27.4,16.2,3.64278
25.3,17.4,3.567549
25.2,17.8,3.592529
27,18.6,3.80961
27.6,18.4,3.842829
27.4,18.9,3.867635
27.4,18.8,3.858968
27.8,18.4,3.858594
28.4,17.3,3.816402
28.8,19.2,4.007954
28.5,19.6,4.015712
27.6,19.7,3.948269
28.2,17.4,3.805665
30,17.6,3.971772
29.4,17.5,3.912489
28.6,17.6,3.853152
29.8,18.5,4.027224
30.8,18.8,4.134426
25.6,19,3.716491
28,19.2,3.931828
21.8,18.4,3.347511
27.2,17.2,3.695824
27,17.8,3.727581
27.6,17.2,3.72594
25,18.9,3.649378
28,19,3.905133
27.4,17.8,3.753591
28.2,18.6,3.884286
30,16.3,3.840514
29.6,15.2,3.713769
29.3,17.2,3.852152
27.6,19,3.857756
28.8,19.2,3.970753
24.4,17.6,3.471742
27.8,17.6,3.749765
27.6,17.8,3.746598
28,16.6,3.677323
28,12.8,3.360894
29,15.8,3.686823
29.2,17.2,3.814636
29.4,17.8,3.876314
29.4,18.6,3.937681
29.4,18.4,3.916783
29.6,15.4,3.682954
29.4,14.8,3.612996
30.3,13.4,3.567524
30,15.6,3.717656
28.8,16.4,3.679932
28,18.4,3.772196
25,18.4,3.523045
24.2,17.6,3.387928
27.8,19.2,3.803312
26.8,18.8,3.683932
29.2,17.8,3.79056
28.4,17,3.655072
28.8,16.6,3.648431
29,14.2,3.46513
26.6,16.4,3.442428
28.8,18.5,3.779139
28.6,15.6,3.524227
29.6,15.2,3.564543
30.3,14.8,3.580642
30.4,16.8,3.739029
29.2,16.2,3.588219
27.2,16.6,3.453641
28.2,17.2,3.571186
28.8,16.6,3.562374
29.2,15.4,3.490751
29.4,17.4,3.653454
29.1,15,3.43355
28.6,15,3.385412
27.4,17.6,3.484424
25.6,17.8,3.351005
26.4,19.2,3.510672
25.6,17.3,3.293033
27.4,17.1,3.405538
26,18.4,3.38742
29.2,17.6,3.559312
28,16.6,3.38114
29.4,15.6,3.400343
26,16.8,3.223371
23,11.8,2.61202
27,16,3.216407
