DATA,TMAX,TMIN,ETP
1/10/2000,28.1,13.9,3.21109191212012
2/10/2000,26.7,14.8,3.18193807917187
3/10/2000,32,12.4,3.41382649646893
4/10/2000,30.2,17.4,3.66990587230365
5/10/2000,29,17.1,3.56379776577371
6/10/2000,29.8,15.8,3.53440084410389
7/10/2000,27.4,15.2,3.31035155971652
8/10/2000,29,11.8,3.17843279341554
9/10/2000,29.8,17,3.65478596508922
10/10/2000,30.6,16,3.64787724682246
11/10/2000,31.1,15.6,3.66424481608402
12/10/2000,31.4,13.2,3.50744605969487
13/10/2000,32,14.8,3.68863709896355
14/10/2000,31.8,13.5,3.57814372207104
15/10/2000,31.7,14.3,3.64110052028064
16/10/2000,30.5,19,3.92618948619687
17/10/2000,29.4,13.8,3.43334309776881
18/10/2000,30.4,17.4,3.80631891493271
19/10/2000,32.1,13.8,3.66193343886436
20/10/2000,31.5,14.8,3.70063425148899
21/10/2000,33.1,14.3,3.79531766381819
22/10/2000,33.1,18.9,4.17085645288752
23/10/2000,31,17.3,3.88060047358517
24/10/2000,30.6,16.1,3.75817230975498
25/10/2000,31.6,14.8,3.73993643362361
26/10/2000,31.3,17.5,3.93941063471186
27/10/2000,32,16.4,3.91292103453109
28/10/2000,28.4,16.6,3.64327520023663
29/10/2000,29.1,12.4,3.36458196001372
30/10/2000,23.5,17.4,3.32039729300931
31/10/2000,25.2,16.6,3.39787425229585
1/10/2001,24.2,18.7,3.2799010245227
2/10/2001,30.4,14.9,3.47329626473459
3/10/2001,28.4,16.9,3.48302568220817
4/10/2001,30.4,16.3,3.60051689572648
5/10/2001,30.6,16,3.60245066995781
6/10/2001,31,15.6,3.61190963454476
7/10/2001,31.5,18.8,3.90870148952444
8/10/2001,26.1,18.5,3.47446329868463
9/10/2001,25.4,17,3.31117360939707
10/10/2001,28.1,14.3,3.31909861084276
11/10/2001,27.8,16.5,3.47593244866214
12/10/2001,27.2,17.8,3.53890297502846
13/10/2001,26.6,17.3,3.46006770607906
14/10/2001,22.6,16,3.04892599717312
15/10/2001,19.3,16.1,2.80206431343336
16/10/2001,21.8,15.5,2.95852258252815
17/10/2001,22,16,3.02007031748182
18/10/2001,21.4,15.6,2.94631380444582
19/10/2001,21.4,16.2,2.99975375384095
20/10/2001,27.2,16.2,3.46884506511063
21/10/2001,27.6,14.5,3.37094670140814
22/10/2001,28,15.6,3.49710271819031
23/10/2001,29.8,15.8,3.66367249680091
24/10/2001,31,14.3,3.64550761524413
25/10/2001,29.6,16.8,3.73993643362361
26/10/2001,29,17,3.71337887698249
27/10/2001,30,12.6,3.44401727419472
28/10/2001,29.9,14.8,3.61898669890172
29/10/2001,30.2,13.8,3.56726762025551
30/10/2001,28.2,17.6,3.71819550170725
31/10/2001,30.6,14.8,3.69051414005339
1/10/2002,31.6,15.1,3.57042838800023
2/10/2002,31.6,16.8,3.71098320558839
3/10/2002,31.4,14.8,3.5522248679474
4/10/2002,30.8,17.8,3.74700473516717
5/10/2002,29.8,17,3.61791183163145
6/10/2002,29.8,16.6,3.59640787645659
7/10/2002,30.8,14.3,3.50462101744637
8/10/2002,31.4,15.4,3.64584938068253
9/10/2002,31.5,16.2,3.7250703105717
10/10/2002,31.6,14.7,3.6243930585382
11/10/2002,32.2,15.8,3.76624734843753
12/10/2002,32.9,15.2,3.78269406886375
13/10/2002,33.5,13.8,3.72804561497812
14/10/2002,33.1,14.8,3.78351179441949
15/10/2002,33.3,13.8,3.72817031533083
16/10/2002,33.3,14.6,3.7992823512895
17/10/2002,29.5,11.2,3.23465426109237
18/10/2002,33.7,17.2,4.05317223368358
19/10/2002,31.6,18.9,4.02892458960022
20/10/2002,31.2,13,3.5327869096288
21/10/2002,33.1,16.3,3.9554576496333
22/10/2002,34.1,14.8,3.92220924127308
23/10/2002,33.3,18.8,4.18590651498525
24/10/2002,33.1,19.2,4.20883108779841
25/10/2002,32.5,17.4,4.02204370771159
26/10/2002,34.5,17.4,4.18966008076937
27/10/2002,32.7,16.6,3.98568196285915
28/10/2002,32.7,17.8,4.08856439137666
29/10/2002,26.7,18.7,3.68077158999092
30/10/2002,27.8,19,3.79937880960479
31/10/2002,25.4,17.4,3.47916311000628
1/10/2003,29.1,16.1,3.44569159867528
2/10/2003,29.8,16.5,3.53984656026575
3/10/2003,30.2,13.4,3.34295181329864
4/10/2003,31.6,15.2,3.59835765844022
5/10/2003,32.2,16,3.71616519002177
6/10/2003,32.3,16.3,3.75706228669419
