TMAX,TMIN,ETP
26.2,16.8,3.4998117420708
26.2,17.6,3.56924912694667
25.6,15.1,3.32051457073584
25.7,17.8,3.55296205652243
21.6,16.4,3.10711796292401
24.8,12,3.01215766137298
25.2,12.8,3.1135261833088
25.4,12.1,3.07555114334395
25.4,13,3.15231634191661
28.2,17,3.71388472624243
28.6,15.5,3.62664404308467
26.8,17.3,3.62966578770834
27.6,18.4,3.78907623214558
28.4,19,3.90739644443159
25.6,18.6,3.64629324202765
28,11.8,3.28563674095581
24.3,12.5,3.04003653260926
28.2,16.5,3.69505380567932
28,16.5,3.68081212193403
25.6,16.2,3.45954380542221
27.2,15.4,3.52776750623016
28.8,15.8,3.69540701495798
29.2,15.6,3.71391634977752
28.7,14.4,3.57476938660983
28.8,14.8,3.61796384499457
28.2,14.8,3.56979942200914
28.1,12,3.33049155496935
25,17,3.48974066703845
26.2,17.2,3.60748965547456
27,17.6,3.70863096812475
27.9,17.6,3.70328916893538
25.4,16.8,3.4388655971952
24.5,17.2,3.40209969532394
28,11.8,3.25075608849638
29.1,17.4,3.8021311914728
30,16,3.76519707671623
27.4,17.4,3.67068350032195
27.8,18.4,3.78907900859975
28.8,17.6,3.80904891314924
29,15.6,3.6645853714693
28.4,18.4,3.84868347429394
28.8,16.2,3.70374059970238
30.4,17.8,3.97029292150906
27,18.4,3.74252739614333
27,17.2,3.64629324202765
29,15.6,3.68189443835751
29.2,18.8,3.96526504253382
24.6,18.4,3.55452603230896
26.2,18.5,3.69735509776295
26,18.5,3.68300716127484
23.3,17.8,3.40355034051783
24.3,16.9,3.41369437256208
27.4,16,3.59785646384697
27.4,16.4,3.63282828616034
24.8,15.8,3.36902137859586
26.9,16.4,3.59470499937199
28.2,16.1,3.67932109439257
27.8,14.1,3.48143176068836
26.4,14.2,3.37474838737943
24.4,17.6,3.49243275025201
26,17.6,3.5486463245183
29.2,17.6,3.81371824523069
29,15.4,3.62237953171182
23.6,17.6,3.36510429261434
27.2,16.6,3.58136228358083
26,17.5,3.56056680080774
23.4,16.8,3.29378296234246
25.6,17,4.19915249437894
27,16.8,3.59561082749863
29.9,16.4,3.80426687665983
28.4,16.8,3.71710455209585
28,18.7,3.84365968902447
29,17.4,3.82202472112076
29.5,15.3,3.69306668165686
30,15.8,3.77828575757616
31.2,16,3.8965340244501
