@relation RONCADOR-DF-ENVIADO-CHIQUITTO-5.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

26.9,14.9,2.610204
26.6,15,2.585914
26.7,16.6,2.679428
25.8,15.6,2.55035
27.5,14.4,2.56964
28,13,2.503314
28.8,12.2,2.492324
28.7,14.3,2.602529
29.3,12.2,2.500923
28.6,15.6,2.65228
27,13.5,2.420016
26.7,13,2.362339
26,11.4,2.216337
25.4,11.2,2.160144
26.6,15.3,2.463086
27.6,9.6,2.178213
27.9,10.3,2.228135
26.6,12.9,2.29523
27.4,12,2.28091
27.4,12.4,2.295676
26.2,11.4,2.161051
26.6,13.1,2.273802
26.7,10.8,2.140498
24.8,13.1,2.156166
25.7,8.8,1.956412
27,8.3,1.995511
27.6,8.6,2.040175
27.6,9.8,2.10161
27,11.7,2.168486
28,12,2.235193
28.4,11,2.195868
27.8,15.8,2.722606
27.4,16.8,2.747534
27.7,16.2,2.716556
24.6,14.8,2.427145
26.1,16,2.581905
27.6,10.8,2.344567
27,11.2,2.322117
28.4,13.4,2.529901
28,11.1,2.356291
29.4,12.1,2.490263
29.7,13.8,2.599276
29.6,13.8,2.582507
28.3,16.4,2.648937
26.5,15.8,2.49656
28.4,14.3,2.510114
28.4,14.6,2.517827
24.4,14.5,2.268965
27.4,17.2,2.591577
26.8,14,2.361957
25,11.8,2.122635
26.2,12.5,2.224273
27.2,11,2.18789
26.8,12.1,2.22041
24.6,13.8,2.184611
25.6,15.6,2.336352
27.4,15.8,2.442098
22.2,15.1,2.102169
25.2,16.2,2.326381
28.1,15,2.415032
27.8,16.8,2.492241
27.3,14.8,2.346346
30,13.6,2.722606
29.5,15.4,2.791047
30.2,13.8,2.722744
30.7,14.8,2.802921
29.8,14.6,2.722959
29,17.2,2.820808
27.8,16,2.662532
28.1,15,2.608582
24.6,16.8,2.494897
27.8,16.6,2.664281
26.8,16.2,2.569399
27.5,15,2.528952
27.8,16.2,2.607455
26,14.4,2.384421
26.8,12.4,2.304367
28.6,13.7,2.476839
29,10.8,2.32146
29.7,13.2,2.492795
30.4,15.6,2.662991
30.2,14.5,2.578309
27.6,15.4,2.471414
26.4,13.4,2.279529
24.8,15,2.271782
22.6,15.2,2.150477
23.8,11.8,2.01879
24.4,11.6,2.035082
23.8,9,1.848556
24.2,12.6,2.067895
26.4,10.6,2.07323
27,9.2,2.02285
27.2,11.2,2.140135
29.6,13.4,2.685138
30.4,13.8,2.747534
26.9,13.4,2.493786
26.6,13.8,2.488748
27.8,15.3,2.643233
25.4,15.1,2.472786
23.9,15.8,2.4133
23.5,10.6,2.063866
25.2,17,3.037265
25.2,8.6,2.028214
25.2,13.2,2.294533
24.2,10.2,2.046964
24.1,12,2.139298
26.2,12.4,2.278185
26.3,13.8,2.357274
25.2,15.7,2.394863
25.2,13,2.228135
26.2,9,2.04537
26.8,11.8,2.234597
27,14.6,2.3995
26.7,11.5,2.195536
27.7,12,2.273802
30.6,15,2.602846
28.9,12.8,2.372351
25.4,16.2,2.359035
25.8,11.1,2.085959
25.6,14.4,2.254337
23.1,13.8,2.073514
23.1,13.8,2.067626
25,14.2,2.19049
24.2,14.2,2.140135
29.5,11.8,2.590808
27.8,13.2,2.560248
27.4,13.5,2.542401
27,14.6,2.574231
27,14.2,2.53803
27.3,13.3,2.489913
27.8,14.9,2.60711
27,15.6,2.589586
27.1,15.6,2.584372
27,16,2.591318
28,16.1,2.646279
29,15.6,2.665005
28.2,15.5,2.600358
26.4,14,2.394118
27.4,15.2,2.514266
21.8,17.6,2.316124
25.3,14.5,2.330453
28.3,13.8,2.455615
26.8,16.6,2.521848
26.8,13.8,2.350379
26.6,15.2,2.411036
24.6,15.4,2.29899
25.4,14.2,2.268074
26,13.8,2.271782
27.8,14.2,2.389419
25,15.1,2.273974
23.1,10.1,1.876798
27.4,11,2.164164
27,13.6,2.281427
25.4,16.2,2.330982
26.4,13.7,2.240781
26.2,16.8,2.722393
24.8,14.8,2.495603
25.1,12,2.327336
24.2,13.2,2.335446
25,9.4,2.138352
26,13.4,2.438093
25.9,9.8,2.199215
26.8,11.4,2.342726
27,14.8,2.552159
26.9,15.1,2.553113
26,15.7,2.523848
26.6,14,2.446686
26,14,2.400253
25.4,14,2.354287
19.3,13.6,1.957707
27.4,14.1,2.459304
26.8,10.8,2.219165
26.8,11.2,2.233825
26.5,11.3,2.213345
28.2,14.2,2.473113
27,13.8,2.37077
28,11.2,2.269332
29.7,11.1,2.353356
27.9,12.3,2.310485
24.4,15,2.256619
24,14.1,2.174746
29.6,15.4,2.560091
24,15.8,2.256962
22.6,14.6,2.102918
25.2,15.4,2.288152
24,15.2,2.202757
31.5,13.4,2.855858
27.4,13.2,2.570446
26.4,14.6,2.583831
27.6,12.3,2.502984
26.5,12.2,2.416625
28.4,12.1,2.517537
27.6,16.8,2.747496
25.8,15.8,2.562671
25.9,15.9,2.563507
25.6,13.6,2.393412
24.6,15.2,2.419378
25,14.6,2.396748
26.2,10.2,2.193581
27.6,14.2,2.508265
26.4,13.1,2.360262
26,12.6,2.296884
24.9,9.8,2.056334
23.2,8.9,1.894553
23.6,8.2,1.869359
24.7,7,1.856165
25.5,9.2,2.023986
25.8,10.8,2.12672
26.7,13.6,2.333012
25.4,11.4,2.122635
26.1,13.8,2.293243
25.8,12.2,2.176435
25.8,10.6,2.07771
26.4,10,2.070829
27.3,9.2,2.069827
27,10.3,2.108571
26.6,9.8,2.051447
28.3,11.4,2.525113
28.3,11.7,2.532459
27.4,12.1,2.489301
26.4,11.2,2.358702
25.6,10.4,2.248023
26.4,11.2,2.337269
28.9,11.2,2.48141
29.2,12,2.53803
28,11.6,2.428585
27.3,14.8,2.570476
24,14,2.309959
25.8,11.4,2.251491
26.2,12.4,2.32616
28,8.9,2.214234
28.2,10.3,2.300509
28.7,12.2,2.433745
28.3,12.2,2.400044
27.4,10.4,2.230969
27.8,11.4,2.304367
27,16.1,2.523682
28.8,12.5,2.408952
28.1,12.6,2.364959
28.1,12.6,2.356168
18.6,14,1.880377
24.6,7.6,1.850687
26.6,9.6,2.073341
29.3,14,2.471562
27.8,14.2,2.389419
27.4,13.5,2.31934
26.1,12.9,2.204672
27.2,10.9,2.147256
26.8,12.8,2.507134
26,15.2,2.596435
27.4,11.5,2.440252
25.4,10.1,2.2168
26.5,12.8,2.442943
27.8,11.6,2.438093
26.7,10.4,2.285459
26.6,6.1,2.005423
26.4,11.8,2.332356
27,9.6,2.224855
26,9.3,2.136495
24.4,11.6,2.169475
23.6,12.8,2.184231
24.8,10,2.079421
25.1,7.7,1.951756
25.5,8.1,1.991147
25.5,9.8,2.083418
26.2,12.6,2.280853
25.8,9.2,2.049394
26.3,6.3,1.901497
26,6.5,1.888481
26.4,7.6,1.968298
26.6,6.8,1.926522
27.2,8,2.023111
26.2,7.1,1.907244
26.6,8.5,2.003507
27.5,9.7,2.116342
27.3,11.8,2.217267
26.7,10.8,2.119877
27.4,10.7,2.147256
26.6,13.7,2.264569
25,17,2.671404
25,14.2,2.48181
24.5,11.8,2.287636
25.9,12.2,2.390067
25.4,12.8,2.385402
26,12.1,2.368349
27,14.3,2.555667
27.4,12.6,2.464107
27,12.6,2.428585
27.4,12.5,2.436152
27.1,13.5,2.468009
27.2,12.3,2.390696
26.9,11.8,2.332186
27.7,11.8,2.37025
26.3,15.3,2.485745
24.4,15.3,2.362339
23.2,15.2,2.275597
24,17.5,2.449344
23.5,15.7,2.304367
23.4,12.2,2.084526
22.8,9.8,1.901497
23.9,10.1,1.975641
25.4,12.2,2.176706
26.2,12.4,2.226459
26.6,12.4,2.241515
27.3,11.4,2.216527
27.2,8.7,2.04917
26,10.8,2.093586
26.6,10.9,2.126534
