TMAX,TMIN,ETP
29.4,12.1,3.09476169297892
29.9,11,3.06014540553394
31.6,12.8,3.33285911627183
30.2,15.9,3.47156689048079
23.2,14.6,2.85550063781346
25,14.8,3.01588277391685
27,14.1,3.12384212311876
28,13.9,3.19412561912598
28.1,13.9,3.21109191212012
26.7,14.8,3.18193807917187
32,12.4,3.41382649646893
30.2,17.4,3.66990587230365
29,17.1,3.56379776577371
29.8,15.8,3.53440084410389
27.4,15.2,3.31035155971652
29,11.8,3.17843279341554
29.8,17,3.65478596508922
30.6,16,3.64787724682246
31.1,15.6,3.66424481608402
31.4,13.2,3.50744605969487
32,14.8,3.68863709896355
31.8,13.5,3.57814372207104
31.7,14.3,3.64110052028064
30.5,19,3.92618948619687
29.4,13.8,3.43334309776881
30.4,17.4,3.80631891493271
32.1,13.8,3.66193343886436
31.5,14.8,3.70063425148899
33.1,14.3,3.79531766381819
33.1,18.9,4.17085645288752
31,17.3,3.88060047358517
30.6,16.1,3.75817230975498
31.6,14.8,3.73993643362361
31.3,17.5,3.93941063471186
32,16.4,3.91292103453109
28.4,16.6,3.64327520023663
29.1,12.4,3.36458196001372
23.5,17.4,3.32039729300931
25.2,16.6,3.39787425229585
26.2,16.8,3.4998117420708
26.2,17.6,3.56924912694667
25.6,15.1,3.32051457073584
25.7,17.8,3.55296205652243
21.6,16.4,3.10711796292401
24.8,12,3.01215766137298
25.2,12.8,3.1135261833088
25.4,12.1,3.07555114334395
25.4,13,3.15231634191661
28.2,17,3.71388472624243
28.6,15.5,3.62664404308467
26.8,17.3,3.62966578770834
27.6,18.4,3.78907623214558
28.4,19,3.90739644443159
25.6,18.6,3.64629324202765
28,11.8,3.28563674095581
24.3,12.5,3.04003653260926
28.2,16.5,3.69505380567932
28,16.5,3.68081212193403
25.6,16.2,3.45954380542221
27.2,15.4,3.52776750623016
28.8,15.8,3.69540701495798
29.2,15.6,3.71391634977752
28.7,14.4,3.57476938660983
28.8,14.8,3.61796384499457
28.2,14.8,3.56979942200914
28.1,12,3.33049155496935
25,17,3.48974066703845
26.2,17.2,3.60748965547456
27,17.6,3.70863096812475
29,17.6,3.87632565059634
