@relation RONCADOR-DF-ENVIADO-CHIQUITTO-primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.4,12.1,3.094762
29.9,11,3.060145
31.6,12.8,3.332859
30.2,15.9,3.471567
23.2,14.6,2.855501
25,14.8,3.015883
27,14.1,3.123842
28,13.9,3.194126
28.1,13.9,3.211092
26.7,14.8,3.181938
32,12.4,3.413826
30.2,17.4,3.669906
29,17.1,3.563798
29.8,15.8,3.534401
27.4,15.2,3.310352
29,11.8,3.178433
29.8,17,3.654786
30.6,16,3.647877
31.1,15.6,3.664245
31.4,13.2,3.507446
32,14.8,3.688637
31.8,13.5,3.578144
31.7,14.3,3.641101
30.5,19,3.926189
29.4,13.8,3.433343
30.4,17.4,3.806319
32.1,13.8,3.661933
31.5,14.8,3.700634
33.1,14.3,3.795318
33.1,18.9,4.170856
31,17.3,3.8806
30.6,16.1,3.758172
31.6,14.8,3.739936
31.3,17.5,3.939411
32,16.4,3.912921
28.4,16.6,3.643275
29.1,12.4,3.364582
23.5,17.4,3.320397
25.2,16.6,3.397874
26.2,16.8,3.499812
26.2,17.6,3.569249
25.6,15.1,3.320515
25.7,17.8,3.552962
21.6,16.4,3.107118
24.8,12,3.012158
25.2,12.8,3.113526
25.4,12.1,3.075551
25.4,13,3.152316
28.2,17,3.713885
28.6,15.5,3.626644
26.8,17.3,3.629666
27.6,18.4,3.789076
28.4,19,3.907396
25.6,18.6,3.646293
28,11.8,3.285637
24.3,12.5,3.040037
28.2,16.5,3.695054
28,16.5,3.680812
25.6,16.2,3.459544
27.2,15.4,3.527768
28.8,15.8,3.695407
29.2,15.6,3.713916
28.7,14.4,3.574769
28.8,14.8,3.617964
28.2,14.8,3.569799
28.1,12,3.330492
25,17,3.489741
26.2,17.2,3.60749
27,17.6,3.708631
29,17.6,3.876326
29.1,19,4.002464
29.3,18.5,3.97879
29.4,17.6,3.913404
28.8,18.4,3.931205
28.4,17.3,3.807327
27,17.4,3.699993
27.6,19.2,3.90096
24.8,19,3.651754
25,17.3,3.527473
26.6,19.2,3.820138
26.8,18.8,3.804197
26,19.4,3.788203
25.2,18.9,3.680356
26.4,17.7,3.680938
27.4,19.1,3.881829
25,17.6,3.556734
25.2,15,3.356766
27.8,14.6,3.540863
26.8,17,3.658142
24.2,17.6,3.491411
30.9,17.4,3.601855
30.1,16.8,3.509066
28.9,17.8,3.505507
29.2,17.6,3.52428
25.2,17.2,3.202995
30.1,16.2,3.508426
26.8,15.2,3.192247
28.4,15,3.308474
24.2,18.7,3.279901
30.4,14.9,3.473296
28.4,16.9,3.483026
30.4,16.3,3.600517
30.6,16,3.602451
31,15.6,3.61191
31.5,18.8,3.908701
26.1,18.5,3.474463
25.4,17,3.311174
28.1,14.3,3.319099
27.8,16.5,3.475932
27.2,17.8,3.538903
26.6,17.3,3.460068
22.6,16,3.048926
19.3,16.1,2.802064
21.8,15.5,2.958523
22,16,3.02007
21.4,15.6,2.946314
21.4,16.2,2.999754
27.2,16.2,3.468845
27.6,14.5,3.370947
28,15.6,3.497103
29.8,15.8,3.663672
31,14.3,3.645508
29.6,16.8,3.739936
29,17,3.713379
30,12.6,3.444017
29.9,14.8,3.618987
30.2,13.8,3.567268
28.2,17.6,3.718196
30.6,14.8,3.690514
27.9,17.6,3.703289
25.4,16.8,3.438866
24.5,17.2,3.4021
28,11.8,3.250756
29.1,17.4,3.802131
30,16,3.765197
27.4,17.4,3.670684
27.8,18.4,3.789079
28.8,17.6,3.809049
29,15.6,3.664585
28.4,18.4,3.848683
28.8,16.2,3.703741
30.4,17.8,3.970293
27,18.4,3.742527
27,17.2,3.646293
29,15.6,3.681894
29.2,18.8,3.965265
24.6,18.4,3.554526
26.2,18.5,3.697355
26,18.5,3.683007
23.3,17.8,3.40355
24.3,16.9,3.413694
27.4,16,3.597856
27.4,16.4,3.632828
24.8,15.8,3.369021
26.9,16.4,3.594705
28.2,16.1,3.679321
27.8,14.1,3.481432
26.4,14.2,3.374748
24.4,17.6,3.492433
23.4,18.8,3.510321
26.6,18.8,3.777794
28,15.8,3.645837
28,17.4,3.780182
29.1,16.5,3.797944
24.6,18.4,3.582387
27.4,18.5,3.824993
28.9,17.8,3.892625
28.8,13.4,3.518357
28.7,15.7,3.702596
29.2,16,3.770092
29.4,16.3,3.81254
29.6,14.6,3.688074
27.9,16.3,3.688702
27.4,18.4,3.822834
27.4,17.6,3.756608
26.8,18.4,3.773811
28.4,17.6,3.841076
25.4,19,3.707885
26.8,17.6,3.708254
26.2,17.4,3.641758
28.1,14.8,3.199163
28.1,15.6,2.33439
27.5,14.5,3.152705
28,16.6,3.358609
28.1,15.4,3.286092
29,14.6,3.303831
29.4,13.6,3.268253
30.4,13.8,3.369459
31.6,15.1,3.570428
31.6,16.8,3.710983
31.4,14.8,3.552225
30.8,17.8,3.747005
29.8,17,3.617912
29.8,16.6,3.596408
30.8,14.3,3.504621
31.4,15.4,3.645849
31.5,16.2,3.72507
31.6,14.7,3.624393
32.2,15.8,3.766247
32.9,15.2,3.782694
33.5,13.8,3.728046
33.1,14.8,3.783512
33.3,13.8,3.72817
33.3,14.6,3.799282
29.5,11.2,3.234654
33.7,17.2,4.053172
31.6,18.9,4.028925
31.2,13,3.532787
33.1,16.3,3.955458
34.1,14.8,3.922209
33.3,18.8,4.185907
33.1,19.2,4.208831
32.5,17.4,4.022044
34.5,17.4,4.18966
32.7,16.6,3.985682
32.7,17.8,4.088564
26.7,18.7,3.680772
27.8,19,3.799379
25.4,17.4,3.479163
26,17.6,3.548646
29.2,17.6,3.813718
29,15.4,3.62238
23.6,17.6,3.365104
27.2,16.6,3.581362
26,17.5,3.560567
23.4,16.8,3.293783
25.6,17,4.199152
27,16.8,3.595611
29.9,16.4,3.804267
28.4,16.8,3.717105
28,18.7,3.84366
29,17.4,3.822025
29.5,15.3,3.693067
30,15.8,3.778286
31.2,16,3.896534
31,17.6,4.014831
29.6,17.3,3.876913
24.4,16.3,3.366496
29.2,14.2,3.591967
31.6,16.1,3.950106
29.6,18.9,4.018548
22.8,18.7,3.440347
28.2,16.9,3.740652
31,17.1,3.991378
30,16,3.818855
30.8,16.4,3.92018
30,15.1,3.747317
31.4,19,4.189343
31,16.8,3.974721
31.4,19.3,4.217376
32.7,18.3,4.243777
33.3,19.5,4.394981
32.1,19.5,4.296418
32.5,15.3,3.981178
33.7,16.2,4.157235
29.8,19.6,4.116659
27,19.4,3.867619
28.6,18.9,3.960236
24.6,18.6,3.602525
25.4,18.7,3.678342
23.3,17.4,3.395413
27.6,17,3.721451
24.2,17.4,3.471719
27.2,18.8,3.839527
26,17.6,3.639736
27.8,16.8,3.723717
26.8,17.8,3.724173
29,16.8,3.8248
27.8,19.4,3.942108
30.6,16.1,3.900691
31.5,14.1,3.389067
33.3,14.4,3.557112
34.5,13.6,3.598851
34.1,13.2,3.550546
29.8,17.1,3.531811
23.4,18.3,3.150116
25,16.6,3.152279
28.2,16.9,3.427866
29.1,16.1,3.445692
29.8,16.5,3.539847
30.2,13.4,3.342952
31.6,15.2,3.598358
32.2,16,3.716165
32.3,16.3,3.757062
30.8,19.1,3.867689
30.5,18.3,3.79214
25.3,17.4,3.326448
28.2,16,3.451742
27.8,18.4,3.616565
28.2,17.4,3.577935
26.4,17,3.413075
25.4,16.2,3.278789
27.2,15.5,3.372776
28.4,13.2,3.292821
29.4,12.8,3.347176
31.3,11.4,3.393605
32.2,12.6,3.567429
33.5,13.8,3.773626
34.4,15.8,4.012351
31.6,16.4,3.84336
29,16.2,3.625437
19.8,16.3,2.900407
29.4,12.8,3.396036
34.3,15.2,3.989803
29.2,14.4,3.519637
28.6,15.1,3.532947
29,17.5,3.764718
23.2,16.8,3.242971
28.2,16.2,3.604539
26.2,16.6,3.479163
28.2,17.8,3.743985
29,17.6,3.79742
27.4,17.2,3.638697
26,17.2,3.528459
23.1,15.6,3.164354
27,15.4,3.470529
25.6,14.6,3.293783
29.7,14.8,3.649654
30.2,16,3.792631
29.6,16.2,3.763184
30,15.8,3.766447
29.8,17.4,3.884812
27.2,15.8,3.541963
28.4,17.6,3.791988
27.4,18.4,3.778286
28.9,17.1,3.79747
28.6,18.4,3.882655
26.6,18.6,3.736386
24.2,17.6,3.457482
28.2,16.8,3.724389
27.9,16.8,3.701672
28.9,15.8,3.703693
25.8,17,3.548117
29.9,16.3,3.831887
28.2,17.8,3.817118
29.8,16.5,3.843761
29.6,17.4,3.903569
26.8,17.2,3.655919
28,15.6,3.624114
