@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

28.789667,19.275667,2.78442
23.371613,13.101613,1.892296
21.983333,11.540333,1.563844
30.001667,17.625667,3.142193
25.993871,14.111935,2.229678
24.269667,13.187667,1.627661
26.749667,16686,2.868126
24.584516,15.951935,2.107324
24.287667,14.687333,1.656236
29025,18.080333,3.254916
24.953871,13.773548,2.232777
23268,11.932333,1.74071
27841,17.289333,3.175695
26.331613,16.057742,2.458802
23065,12.052333,1.804879
26.330667,14.631667,3.233829
24.113871,12.577097,2.486614
25.150667,12996,1.930492
27341,17721,3.142293
25.318065,14.881613,2.696156
21.301333,10.433333,1.833545
26.21,15.066667,3.266851
24.307742,13.531935,2.663692
22167,12.563667,1.852115
26774,17879,3.145333
23.019355,12.763548,2.652451
22463,11.773333,2.042666
27.132333,16.530667,3.418879
23.724194,12.061935,2.753919
22.743333,11.847333,2.226361
30.35,17.325333,3.941135
23.892581,12.257419,2.875452
23.499333,13559,2.229754
28.652333,19.111333,3.583999
22.936129,12.896452,2.774605
21.654667,10.786667,2.308518
33.769333,20.825667,4.225214
26.353226,16.89129,3.068643
25192,13.864667,2.680179
26.747333,15.967667,3.612915
23.864839,11.926774,3.125779
25279,13.457667,2.862452
29404,19328,3.696129
21.249032,12.102581,2.803146
22.558333,12301,2.596894
30.987333,19.377667,3.986766
26.66129,14.483226,3.413507
25.950333,15.280333,2.857126
27704,17.248667,3.736315
24.137419,10.515806,3.460191
25.649667,13327,3.015864
27.990667,18.447667,3.633297
23.353548,12.417097,3.090684
24432,11.583667,3.047448
27.564333,16.798333,3.690883
24.285484,12.655806,3.305251
22.359333,11.073333,2.895432
34.033333,18.690667,4.559109
27.32871,15.83129,3.545576
22.007333,10.230333,2.963774
27.325667,17.049667,3.594894
22.356774,12.499355,3.087425
24.044667,13.205333,3.065111
27954,18015,3.727232
24.867097,13.501613,3.566719
23529,11.118333,3.136762
27.788667,17.422667,3.679393
25.150645,14.215806,3.349906
22.960333,12.708667,3.066599
26.624667,15925,3.705081
25.29871,14.406129,3.462854
23.238667,14272,3.071046
27.976333,18.185667,3.651338
24.154194,14.630645,3.264367
23.727667,13.992667,3.070877
28.444667,18.393667,3.730371
24.812903,15.232258,3.248229
25257,13.492333,3.388995
29143,18784,3.76488
22.821613,13.216774,3.192449
20.540667,9879,3.073708
26.559667,16.584667,3.52459
25.249677,17.114516,3.281077
23.243333,12.463667,3.327571
