@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

28.922903,17.955484,3.154566
29.987333,20.019333,3.589735
31.280968,20.485806,3.990465
30.276129,17.210968,3.24113
32729,19.156667,3.965849
31.388387,21.155806,3.873334
27.85129,17.574839,2.940536
28.042333,17.565667,3.361336
30.178387,20.071935,3.940875
29.772581,18.361613,2.959262
29706,16.957667,3.534491
30.244839,20.650968,3.692799
29.866129,19.163871,2.776229
29697,19.164667,3.445454
31.181935,21.252903,3.797411
27.518065,15.56,2.579937
30.103667,18.580333,3.372802
31.297097,20.439677,3.899153
29.255806,17.87871,2.628325
29068,19.562667,3.134647
29.868065,20.912581,3.507221
29.448065,18.349355,2.460387
29.601667,21.011333,2.94925
30.017097,20.634839,3.512958
27.735161,17.628387,2.279084
29306,18.537667,3.081817
29.179677,18.856452,3.456906
32.071613,17.416129,2.355463
31.465333,16897,2.987393
33.536452,21.176129,3.822745
30.156129,18.137419,2.393677
29202,18.538667,2.873404
29.573548,19.466452,3.355181
29.32871,16.92871,2.227463
29778,20.388667,2.711773
28.804194,18.691613,3.294756
34.522903,21.161613,2.361282
30.513667,19.504333,2.619415
30.966129,21.573548,3.244656
29.916452,17.344839,2.006462
30876,18.031333,2.578403
29.520645,20.588065,2.916838
28.151935,16.288387,1.867832
28.32,17791,2.388791
29.158065,19.390645,2.949146
28.60129,18.593226,1.873421
29.39,18584,2.351796
30.116129,19.986774,2.949429
30.374194,20.031935,1.894044
30.726667,19306,2.337707
30.333226,22.004516,2.701289
33.786129,20.034516,1.981344
30.128333,17.860333,2.153274
32.219677,21.009355,2.953479
31.498387,19.078387,1.841947
30.524667,19.699333,2.117504
34.096452,20.552258,2.958127
28.944194,17.91129,1.736877
30689,22394,2.016082
28.953871,21.607742,2.328117
27.222258,15.269355,1.60505
28569,16.311333,1.881737
30.521613,20.966129,2.418795
29.893548,17.653226,1.766198
29.716667,17.908667,1.873445
34.443871,20.056452,2.654195
31.033226,19.100968,1.830965
32399,20.750333,2.038794
32.449032,22.7,2.370282
28.215484,17.211935,1.726573
30.027333,19.042333,1.81575
32.605806,21.836774,2.326613
33.064839,20.07871,2.020795
30.488333,19932,1.810628
31.01129,21.282258,2.142478
30.274516,19.529355,1.940978
29848,20841,1.76703
29.284839,22.103871,1.857991
28.430645,16.985161,1.870459
30.114333,17.780667,1.775578
29.643226,20.346129,1.918556
31.145161,18.424516,4.037728
29311,17.596667,3.910207
30.189032,21.116774,3.80452
