@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.310645,21.000968,3.771133
30.571071,19.711429,3.895474
32.158387,20.752258,3.705957
33.074839,20.733548,4.324099
31.124286,18.725714,4.129199
30.785161,20.202581,3.62809
34.391935,21.880968,4.547844
33.167931,21.967586,4.099353
28.174194,19.744839,3.271815
30.243226,21.371613,3.850627
29.027857,18.679286,3.934724
30.851613,20.331613,3.876385
30.811613,19.937097,4.056947
30.321429,21.202143,3.887132
30.170645,18.610645,3.795994
29.223548,21.653871,3.546985
29.600357,20.826071,3.791594
29.350645,19.492903,3.746663
30.044516,21.337742,3.716369
29.525172,20.926207,3.783689
28.881935,19.869355,3.725642
29.660323,21.288387,3.681015
29.675357,21.715357,3.677896
28.706452,18.734516,3.71764
32.227419,22.073548,4.081579
30.340357,21.931429,3.712457
29.314194,20.539677,3.693537
30.280968,21.202258,3.808618
30.321786,21.381071,3.919702
30.014839,21.069355,3.852081
34.392581,22.167419,4.261848
32.208966,21.426207,4.152855
30.052581,20.363871,3.805682
30.166774,21.082903,3.645873
28.901786,21.422857,3.490178
29.454839,20.465806,3.835517
31.401935,20.138065,3.834891
29.528214,19.519643,3.80919
32.289032,21.796774,4.141041
30.487742,21.929032,3.594116
29.615357,21.588571,3.622414
29.277097,19.973548,3.801928
31.844516,20.510323,3.926021
32.963103,20.017586,4.242903
32.549355,19.332581,4.378328
29.65,21.629677,3.346021
31.323571,20.483214,3.985965
33.932581,20.385806,4.452757
33.307742,21.64,3.933853
31.336071,20.508571,4.003926
30.979032,20.898387,4.018144
29.402903,22.038387,3.053575
29.243571,21.1725,3.560646
29.872258,20.05129,3.999817
30.146774,20.867419,3.222049
30.201724,20.396207,3.742772
29.385161,19.046774,3.830248
31.086774,20.702903,3.254068
31.680357,21.907857,3.786271
33.785484,21.254194,4.383005
29.666452,21.73129,2.923166
29.776786,22.2775,3.292429
29.933548,20.536452,3.813294
30.951935,21.714839,3.155658
29.142857,21.561786,3.255109
29.525161,20.41871,3.6167
31.799677,20.265484,3.123652
32.789655,21.66069,3.715599
30.864839,18.47871,3.951471
32.312903,20.381613,3.106313
32.360357,21.703571,3.622181
30.696452,19.854194,3.784594
30.266129,21.280968,2.701655
32.435714,21.600357,3.553421
28.929032,19.192258,3.538261
31.599355,22.518065,2.706912
30.873929,21.888571,3.216421
31.340645,20.117742,3.880347
29.64129,21.936452,2.434078
29.665517,22.417241,2.87655
28.602258,18.840645,3.424453
30.432581,21.099032,3.899322
30295,21.356429,3.841551
30.009677,20.245806,3.829848
