@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

28.634667,19.237667,2.782832
23.447419,13.324516,1.874352
22.404667,11.973333,1.588828
29.603667,17445,3.121531
25.714194,14.166129,2.220756
24.102333,13.45,1.617746
26545,16.678667,2.839309
24.645484,16.144839,2.09418
24484,14.963333,1.660747
29.345667,18165,3.312156
25.49871,14.095806,2.271819
23803,12189,1.763937
27.912333,17.160667,3.209839
26.401613,15.868387,2.493858
23.286667,12.408667,1.803842
26354,14.661333,3.195108
24.256774,12.49871,2.543367
25.330667,13.125333,1.934723
27.529333,17.66,3.175865
25.646129,15.062581,2.704402
21666,10.698333,1.875378
26.283333,15291,3.262016
24.38,13.59,2.685278
22265,12938,1.830323
26697,17914,3.097277
23.139355,12.904194,2.634125
23.031667,12155,2.08429
27.183667,16.318333,3.440678
24.072258,12.036774,2.779087
23.183667,12.120333,2.256773
30.199667,17.427333,3.891573
23.925484,12.614839,2.860396
23.48,13.815667,2.195476
28458,18.885333,3.534914
23.213871,13.184516,2.809776
21.65,10.859667,2.287003
32.987333,20.477333,4.147511
26.316452,16.93,3.068939
25925,14255,2.700596
26.531667,16.013667,3.528052
24.094194,12.252258,3.094037
25.424333,13.524333,2.831638
29.010333,19.23,3.614404
21.15,11.770645,2.859618
22.780333,12519,2.595168
30843,19204,3.938195
26.782258,14.928387,3.394517
25.980667,15321,2.846591
28.067667,17.601333,3.784792
24.865484,10.874194,3.50743
25905,13.612667,3.02042
27.887333,18.419333,3.56641
23.342903,12.443226,3.069906
24861,11.84,3.085738
26.612667,16.57,3.531612
23.629677,12.689355,3.218667
22.213667,11117,2.873046
33.240667,18.450333,4.471061
27.239355,15.872581,3.517486
22.341667,10.685333,2.977454
27.209667,17112,3.582188
22.262581,12.68129,3.013493
24.230667,13.461667,3.046065
27983,18.047667,3.695021
25.147742,13.756452,3.565089
23.980667,11.506667,3.147068
27.409667,17478,3.590227
25.062258,14.366129,3.300172
23.032333,12.988333,2.989648
26745,16.298333,3.652051
25.589355,14.71871,3.415315
23.311667,14505,3.038344
27.948333,18.326667,3.595053
23.96,14.695161,3.203052
23.750333,14.139667,3.047985
28.069333,18.460667,3.642309
24.660323,15.328065,3.188469
25086,13.762667,3.293123
28092,18.438667,3.616828
22.67129,13.270645,3.13399
20.719667,10128,3.015257
26.669667,16728,3.498041
25.463871,17.31129,3.265653
23.532333,12668,3.30824
