@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.620968,18.45,3.230996
29.901667,19.785333,3.580321
31.214516,20.563548,3.960635
30.359355,17.322903,3.234186
32.520667,19.25,3.937725
30.779032,21.014839,3.733587
27.979677,17.887097,2.910171
27.930333,17.547667,3.344658
29.711935,19.996774,3.891081
30.226774,18.764194,2.95809
29948,17.319667,3.548386
30.14129,20.63,3.673856
29.983226,19.360645,2.811731
29858,19.333333,3.45389
30.921935,21.114516,3.741516
28.055161,15.828065,2.636815
30.092667,18.648667,3.366706
30.913226,20.229032,3.83608
29.987742,18.220323,2.676074
29.676667,19.562333,3.217065
30.039355,20.877097,3.520907
29.843226,18.619677,2.498734
30.234333,21.208333,3.022847
29.553871,20.492258,3.383491
28.212581,17.761613,2.324649
29702,18.809667,3.125968
28.726452,18.704839,3.428487
32.803871,17.992258,2.371716
31.171333,16.744333,3.019834
33.319677,21.080645,3.791688
30.882903,18.396129,2.428473
29.239667,18.606333,2.863283
29.430968,19.386774,3.337765
29.811935,17.462258,2.266429
29756,20.467333,2.672192
28.589032,18.701613,3.238755
34.859032,21.650968,2.345822
30.724667,19.720667,2.605528
31.3,21.593548,3.282504
30.009032,17.543548,2.017165
30.491333,18.109333,2.574378
29.127097,20.643548,2.858794
28.560645,16.595806,1.891247
28.323667,17.728333,2.398668
29.149677,19.39871,2.94611
28.979355,18.815161,1.917179
29.285667,18.813333,2.374786
29.553548,19.946774,2.910779
30.475161,20.185484,1.911467
30873,19.351667,2.333605
29.771935,21.748065,2.636198
34.100645,20.440323,1.979928
29829,18.002333,2.135997
31.486452,20.858387,2.904008
31.828387,19.262903,1.845026
30302,19.746667,2.101735
33.17871,20.322581,2.915628
29.221613,18.249677,1.75025
30.352667,22.332667,1.985476
28.567097,21.403548,2.281677
27.40871,15.290323,1.64048
28.625667,16195,1.938589
30.943548,20.854194,2.473831
30.487742,17.847419,1.776807
30205,17.953667,1.954016
34.442903,20.430968,2.634615
31.384516,19.346129,1.863852
32367,20.770333,2.083647
32.284194,22.505806,2.362075
28.441935,17.43871,1.724132
29.629667,19027,1.814277
32.036129,21.737097,2.317944
33.415484,20.247742,2.059293
30019,19821,1.815358
30.547097,21.167742,2.132535
30.742258,19.661935,1.969257
30241,20.918333,1.789807
29.019032,21.934516,1.857334
28.642581,17.050645,1.891658
30.383667,18082,1.797501
29.164194,20.225161,1.903425
31.813871,18.743226,3.985415
29.5,18.001667,3.891218
29.854839,21.069677,3.70018
