Mês,Ano,Tmáx,Tmin,ETP
1,1990,28.9716129032258,20.5909677419355,3.42077050465365
2,1990,29.7717857142857,19.3267857142857,3.73115260358433
3,1990,31.2212903225806,20.5932258064516,3.57453949169533
4,1990,29761,20.0786666666667,2.87305280262047
5,1990,25.7829032258064,14.4948387096774,1.94681038992014
6,1990,26.3893333333333,14.3466666666667,1.68565496691354
7,1990,25.0838709677419,11.3577419354839,1.36875517179804
8,1990,29.2293548387097,15.3377419354839,1.90333541812385
9,1990,27708,14437,2.36179326258001
10,1990,31.2290322580645,19.7564516129032,3.31016643964464
11,1990,30725,20.6853333333333,3.52563027608389
12,1990,30.9083870967742,21.0054838709677,3.85665362286461
1,1991,29.8974193548387,21.1090322580645,3.57267178360512
2,1991,30.3525,20.1335714285714,3.72648233228007
3,1991,29.0335483870968,19.5625806451613,3.32896385681027
4,1991,28.2916666666667,18198,2.79699485411404
5,1991,27.3177419354839,15.2732258064516,2.24711161535316
6,1991,26.9396666666667,15246,1.72764434590114
7,1991,27.0338709677419,13.0387096774194,1.51692134127438
8,1991,31.0909677419355,15.8058064516129,1.8388875060547
9,1991,33755,19.1773333333333,2.51194714329005
10,1991,31.3838709677419,18.8603225806452,3.17876001699264
11,1991,31.8436666666667,20.4256666666667,3.67965346259864
12,1991,30.3022580645161,20.7590322580645,3.61432794672547
1,1992,29.8035483870968,20.3858064516129,3.7582376249748
2,1992,28.8779310344827,20.4989655172414,3.39349622388763
3,1992,27.9993548387097,19.768064516129,3.12078706805464
4,1992,27161,18.0386666666667,2.77445339381881
5,1992,26.8716129032258,17.2232258064516,2.21129538315496
6,1992,26.3796666666667,15786,1.75022036977506
7,1992,24.7083870967742,12.6138709677419,1.38763352312635
8,1992,28.0490322580645,14.4261290322581,1.69064690404109
9,1992,27.1266666666667,16361,2.12238137463602
10,1992,29.4158064516129,19.5161290322581,2.81689915841562
11,1992,29019,18.8926666666667,3.31765751429458
12,1992,29.8858064516129,20.2551612903226,3.72101112687615
1,1993,29.4596774193548,20.3035483870968,3.72337765939766
2,1993,28.3978571428571,19.0342857142857,3.52074987458825
3,1993,29.7183870967742,20.1064516129032,3.7041806012227
4,1993,28.9856666666667,18.47,3.18369624534302
5,1993,26.491935483871,14.8054838709677,2.26516644615978
6,1993,25.6906666666667,13464,1.82654289866797
7,1993,26.8393548387097,12.8841935483871,1.49404390211545
8,1993,29.888064516129,15.1464516129032,1.68869712723565
9,1993,32.4733333333333,18.64,2.32282054878794
10,1993,33.2887096774194,20.4238709677419,3.1977647567242
11,1993,34825,21.1543333333333,3.71029261352837
12,1993,30.708064516129,21.3335483870968,3.59130250336996
1,1994,30.7709677419355,20.4051612903226,3.9623074378037
2,1994,29.2928571428571,20.7164285714286,3.59072520782919
3,1994,29.0651612903226,19.3187096774194,3.54932329041241
4,1994,28.7483333333333,18.3193333333333,3.18456894725861
5,1994,27.6883870967742,16.1635483870968,2.5497983010173
6,1994,25.6083333333333,13.9593333333333,1.82220566322999
7,1994,26.2993548387097,12.6738709677419,1.53069093121564
8,1994,30.7293548387097,14.7235483870968,1.74197822879371
9,1994,35552,19.6296666666667,2.25885304813
10,1994,33.3061290322581,21.1841935483871,2.93729091506282
11,1994,31.0933333333333,20.4096666666667,3.47396685128116
12,1994,29.3925806451613,20.7983870967742,3.3314753171261
1,1995,28.4512903225806,20.9806451612903,3.34041895019707
2,1995,28.8778571428571,21.0028571428571,3.50332052582888
3,1995,29.3638709677419,20.1525806451613,3.5688104295526
4,1995,27465,16.5176666666667,3.08263334518194
5,1995,26.3451612903226,15.0190322580645,2.55041720582935
6,1995,26.5926666666667,14.0513333333333,1.95605981730584
7,1995,28.6812903225806,15.2903225806452,1.67736817072308
8,1995,32.5141935483871,16.2338709677419,1.69361623058398
9,1995,34.4206666666667,18.8296666666667,2.15752115270498
10,1995,31.5048387096774,18.131935483871,2.74695606325865
11,1995,32.4136666666667,19.5956666666667,3.49096625294184
12,1995,31.2870967741935,20.8161290322581,3.60831982097563
1,1996,29.21,20.8158064516129,3.46465282172523
2,1996,29.49,20.8641379310345,3.59631568632874
3,1996,29.0970967741935,20.6425806451613,3.52001551814347
4,1996,28.66,18379,3.28156518003361
5,1996,26.9238709677419,16.6006451612903,2.61723693300037
6,1996,25.23,12.9306666666667,2.01186728429315
7,1996,27.3977419354839,12.1509677419355,1.66580011580734
8,1996,31.9261290322581,17.1651612903226,1.73745571443005
9,1996,29883,16452,1.95189153467347
10,1996,31.7245161290323,19.9825806451613,2.67745968955863
11,1996,29.3136666666667,20.2213333333333,2.9670985476071
12,1996,29.9316129032258,20.9803225806452,3.42181023891348
1,1997,28.1358064516129,20.5222580645161,3.31430660933637
2,1997,29.2121428571429,20.6867857142857,3.61721706762529
3,1997,29.0648387096774,19.571935483871,3.57668347250906
4,1997,27.7983333333333,17.4163333333333,3.28651032786662
5,1997,26.1667741935484,15.3296774193548,2.72252906259828
6,1997,24.5263333333333,14.3553333333333,1.93580460365841
7,1997,26.901935483871,13.7348387096774,1.74796156091472
8,1997,29.2193548387097,14.9206451612903,1.58828119379413
9,1997,34794,20086,2.14211272714591
10,1997,33.9674193548387,21.1264516129032,2.68307441395961
11,1997,32.0266666666667,21759,3.24931082422461
12,1997,29.9229032258064,21.0741935483871,3.30022760870157
1,1998,31.5422580645161,21.7564516129032,3.91980123018437
2,1998,30.4817857142857,21.9839285714286,3.72873891597751
3,1998,30.2938709677419,21.3187096774194,3.74913362552643
4,1998,28984,19229,3.35082351309284
5,1998,25.44,14.3570967741935,2.69398587705184
6,1998,26.0026666666667,14.0423333333333,2.17687961511444
7,1998,28.7170967741935,14.7509677419355,1.87564044564885
8,1998,29.6693548387097,16.5567741935484,1.75510852143533
9,1998,31942,17567,1.9826827641885
10,1998,31.0025806451613,19.7722580645161,2.38145228936237
11,1998,30.8186666666667,20273,3.07895838820176
12,1998,29.6377419354839,20.2038709677419,3.24678720578587
