MES,ANO,TMAX,TMIN,ETP
7,1990,25.0838709677419,11.3577419354839,1.36875517179804
8,1990,29.2293548387097,15.3377419354839,1.90333541812385
9,1990,27708,14437,2.36179326258001
7,1991,27.0338709677419,13.0387096774194,1.51692134127438
8,1991,31.0909677419355,15.8058064516129,1.8388875060547
9,1991,33755,19.1773333333333,2.51194714329005
7,1992,24.7083870967742,12.6138709677419,1.38763352312635
8,1992,28.0490322580645,14.4261290322581,1.69064690404109
9,1992,27.1266666666667,16361,2.12238137463602
7,1993,26.8393548387097,12.8841935483871,1.49404390211545
8,1993,29.888064516129,15.1464516129032,1.68869712723565
9,1993,32.4733333333333,18.64,2.32282054878794
7,1994,26.2993548387097,12.6738709677419,1.53069093121564
8,1994,30.7293548387097,14.7235483870968,1.74197822879371
9,1994,35552,19.6296666666667,2.25885304813
7,1995,28.6812903225806,15.2903225806452,1.67736817072308
8,1995,32.5141935483871,16.2338709677419,1.69361623058398
9,1995,34.4206666666667,18.8296666666667,2.15752115270498
7,1996,27.3977419354839,12.1509677419355,1.66580011580734
8,1996,31.9261290322581,17.1651612903226,1.73745571443005
9,1996,29883,16452,1.95189153467347
7,1997,26.901935483871,13.7348387096774,1.74796156091472
8,1997,29.2193548387097,14.9206451612903,1.58828119379413
9,1997,34794,20086,2.14211272714591
7,1998,28.7170967741935,14.7509677419355,1.87564044564885
8,1998,29.6693548387097,16.5567741935484,1.75510852143533
9,1998,31942,17567,1.9826827641885
7,1999,29.608064516129,15.3416129032258,1.96527133604086
8,1999,31.1770967741935,14.6567741935484,1.52878212939995
9,1999,33.7,18.2243333333333,1.82172354783374
7,2000,25.8990322580645,10.8912903225806,1.66949597119802
8,2000,30.8322580645161,16.2751612903226,1.6502507785202
9,2000,29.8253333333333,17.6086666666667,1.71579933893792
7,2001,28.6587096774194,14.1593548387097,2.00972610942818
8,2001,31.8935483870968,15.7887096774194,1.69836994868727
9,2001,32.4583333333333,18.3383333333333,1.75245658810537
7,2002,27.9551612903226,14.1293548387097,2.062430260661
8,2002,32.1196774193548,16.7212903225806,1.83090693755332
9,2002,31653,16.7056666666667,1.62490843198002
7,2003,28.051935483871,13.9525806451613,2.20511415599727
8,2003,28.2245161290323,12.6287096774194,1.57534878708737
9,2003,31692,17245,1.66279773677438
7,2004,26.8793548387097,13.7341935483871,2.14004818564401
8,2004,31.75,14.8574193548387,1.8357082809265
9,2004,35.7946666666667,18816,1.70052286747094
7,2005,25.5667741935484,12.3577419354839,2.17423419845908
8,2005,31.2829032258064,14.9551612903226,1.84449487343167
9,2005,31.1096666666667,16.3153333333333,1.60697601247795
7,2006,29.7316129032258,14.7558064516129,2.55831163014934
8,2006,32.0135483870968,15.8725806451613,1.94206073338888
9,2006,30.4096666666667,16876,1.6621914262818
7,2007,28.0745161290323,13.05,2.47524321781611
8,2007,31.6638709677419,14.7958064516129,2.04909299862988
9,2007,36.0653333333333,19.5916666666667,1.67584242697825
7,2008,30.7825806451613,14.9774193548387,2.74399986501214
8,2008,32.8874193548387,16.9203225806452,2.12918342934663
9,2008,33186,16936,1.62035493615439
7,2009,27.8745161290323,14.91,2.65369481697695
8,2009,29.5145161290323,15.9458064516129,2.16673008778251
9,2009,30.9543333333333,18.6133333333333,1.86571512505839
7,2010,29.0687096774193,14.3932258064516,2.84169706816242
8,2010,31.9441935483871,14.4225806451613,2.29450444342925
9,2010,34944,19.4823333333333,1.85252298164802
7,2011,26.9245161290323,14.0451612903226,2.89463688764045
8,2011,29.2764516129032,14.7522580645161,2.34251596401954
9,2011,33.5013333333333,17.4236666666667,1.96510888994437
7,2012,28.2651612903226,13.2212903225806,3.01844925753425
8,2012,32.8125806451613,16.7538709677419,2.57010218316445
9,2012,34.7443333333333,18.4796666666667,1.98955541625496
7,2013,26.5954838709677,12.83,2.85621187730156
8,2013,29.7390322580645,13.408064516129,2.53579831326034
9,2013,33.0503333333333,17725,2.06341685358157
7,2014,28.3422580645161,14.8738709677419,3.12017406931245
8,2014,31.3,15.7370967741935,2.82866293388704
9,2014,34.7106666666667,20.5196666666667,2.30807590451427
7,2015,28.3338709677419,16.1412903225806,3.15936073388927
8,2015,34.0154838709677,17.518064516129,3.02516966594996
9,2015,33.9353333333333,19734,2.40746475043074
7,2016,29.2322580645161,13.6548387096774,3.35760335818127
8,2016,30.8254838709677,15.6638709677419,2.88942177110176
9,2016,31353,15.7883333333333,2.35526262661516
7,2017,28.5467741935484,12.8516129032258,3.60867708009656
8,2017,31.1148387096774,16.2625806451613,3.81075282244936
9,2017,35.9436666666667,19.3853333333333,4.23199918246976
