@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

25.083871,11.357742,1.368755
29.229355,15.337742,1.903335
27708,14437,2.361793
27.033871,13.03871,1.516921
31.090968,15.805806,1.838888
33755,19.177333,2.511947
24.708387,12.613871,1.387634
28.049032,14.426129,1.690647
27.126667,16361,2.122381
26.839355,12.884194,1.494044
29.888065,15.146452,1.688697
32.473333,18.64,2.322821
26.299355,12.673871,1.530691
30.729355,14.723548,1.741978
35552,19.629667,2.258853
28.68129,15.290323,1.677368
32.514194,16.233871,1.693616
34.420667,18.829667,2.157521
27.397742,12.150968,1.6658
31.926129,17.165161,1.737456
29883,16452,1.951892
26.901935,13.734839,1.747962
29.219355,14.920645,1.588281
34794,20086,2.142113
28.717097,14.750968,1.87564
29.669355,16.556774,1.755109
31942,17567,1.982683
29.608065,15.341613,1.965271
31.177097,14.656774,1.528782
33.7,18.224333,1.821724
25.899032,10.89129,1.669496
30.832258,16.275161,1.650251
29.825333,17.608667,1.715799
28.65871,14.159355,2.009726
31.893548,15.78871,1.69837
32.458333,18.338333,1.752457
27.955161,14.129355,2.06243
32.119677,16.72129,1.830907
31653,16.705667,1.624908
28.051935,13.952581,2.205114
28.224516,12.62871,1.575349
31692,17245,1.662798
26.879355,13.734194,2.140048
31.75,14.857419,1.835708
35.794667,18816,1.700523
25.566774,12.357742,2.174234
31.282903,14.955161,1.844495
31.109667,16.315333,1.606976
29.731613,14.755806,2.558312
32.013548,15.872581,1.942061
30.409667,16876,1.662191
28.074516,13.05,2.475243
31.663871,14.795806,2.049093
36.065333,19.591667,1.675842
30.782581,14.977419,2.744
32.887419,16.920323,2.129183
33186,16936,1.620355
27.874516,14.91,2.653695
29.514516,15.945806,2.16673
30.954333,18.613333,1.865715
29.06871,14.393226,2.841697
31.944194,14.422581,2.294504
34944,19.482333,1.852523
26.924516,14.045161,2.894637
29.276452,14.752258,2.342516
33.501333,17.423667,1.965109
28.265161,13.22129,3.018449
32.812581,16.753871,2.570102
34.744333,18.479667,1.989555
26.595484,12.83,2.856212
29.739032,13.408065,2.535798
33.050333,17725,2.063417
28.342258,14.873871,3.120174
31.3,15.737097,2.828663
34.710667,20.519667,2.308076
28.333871,16.14129,3.159361
34.015484,17.518065,3.02517
33.935333,19734,2.407465
29.232258,13.654839,3.357603
30.825484,15.663871,2.889422
31353,15.788333,2.355263
28.546774,12.851613,3.608677
31.114839,16.262581,3.810753
35.943667,19.385333,4.231999
