@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

28.971613,20.590968,3.420771
29.771786,19.326786,3.731153
31.22129,20.593226,3.574539
29.897419,21.109032,3.572672
30.3525,20.133571,3.726482
29.033548,19.562581,3.328964
29.803548,20.385806,3.758238
28.877931,20.498966,3.393496
27.999355,19.768065,3.120787
29.459677,20.303548,3.723378
28.397857,19.034286,3.52075
29.718387,20.106452,3.704181
30.770968,20.405161,3.962307
29.292857,20.716429,3.590725
29.065161,19.31871,3.549323
28.45129,20.980645,3.340419
28.877857,21.002857,3.503321
29.363871,20.152581,3.56881
29.21,20.815806,3.464653
29.49,20.864138,3.596316
29.097097,20.642581,3.520016
28.135806,20.522258,3.314307
29.212143,20.686786,3.617217
29.064839,19.571935,3.576683
31.542258,21.756452,3.919801
30.481786,21.983929,3.728739
30.293871,21.31871,3.749134
29.265161,21.00129,3.467614
30.000714,20.926429,3.786083
29.262258,20.853226,3.566852
32.561613,21.511613,4.042148
29.676552,21.047586,3.522966
27.955484,20.389355,3.335775
29.255806,20.596452,3.532275
29.1425,20.92,3.544122
29.179355,20.331613,3.616541
29.317742,20.124839,3.381801
28.875714,20.236071,3.52166
29.617742,20.883548,3.63259
29.272258,21.717419,3.132964
29.025714,20.818214,3.4663
28.85,20.351613,3.480415
30.062903,20.849032,3.401149
29.845517,20.4,3.590709
31.643871,19.598065,4.127467
28.959677,21.526452,2.987283
31.053214,19.906786,3.954114
30.891935,20.245161,3.959984
28.990968,20.82,3.101732
29.505714,20.558214,3.563337
29.410645,20.642903,3.618126
28.16871,21.610645,2.715383
28.722143,20.89,3.240385
29.904839,19.762903,3.8969
28.984839,21.339677,2.803174
30.23931,20.484138,3.54521
29.765806,19.662581,3.780898
30.401613,20.544516,3.039806
30.138214,21.118214,3.485936
30.656452,21.030645,3.804341
28.628065,21.392258,2.589879
29.369286,21.540714,3.192082
30.012258,20.423871,3.617636
28.786129,21.226129,2.669483
28.206429,20.81,2.990978
27.590645,20.786129,3.049226
30.432903,20.560968,2.895001
30.651379,20.73069,3.457142
31.435484,20.075484,3.844868
31.024516,21.211935,2.747525
29.663214,20.956429,3.138123
29.597097,20.515806,3.456133
30.46,20.853871,2.698906
32.246786,21.556429,3.307481
30.167097,20.762903,3.49652
30.487742,21.416452,2.619836
29.736071,21.235714,3.00412
30.170645,20.182258,3.596795
29.333871,21.688387,2.265949
29.688276,21.971034,2.851402
30.422258,20.388387,3.556043
29.488387,21.12129,3.526654
29.7675,21.223571,3.667085
29.853226,20.871613,3.643532
