@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

20.657419,8.9,1.291449
25.548065,12.588387,1.838049
25.860333,12195,2.263482
24.826774,10.88,1.477258
28.437097,13.959355,1.797208
32.321333,17.307333,2.525383
20.980968,9.732258,1.322609
24.315484,11.826452,1.677014
24.956667,13913,2.090437
22.917097,10.793548,1.404805
25.942581,12.121935,1.662761
29.18,15.938667,2.169061
24.539355,11.519032,1.505673
28.480968,12.682581,1.735489
32.523667,16.945667,2.307185
27.512903,14.752581,1.607981
31.442258,14.823226,1.688617
33.318667,17.748667,2.075287
23.506774,9.39129,1.593491
28.998065,14.680645,1.729486
28.82,14.221667,1.921158
25.222258,13.05129,1.687195
26.434839,12.91,1.576326
32292,17601,2.111657
25.89,13.658387,1.805063
26.452903,15.127097,1.66837
26029,15.224667,1.739437
24.542258,12.602581,1.780457
28.111613,12.147097,1.566263
31.477333,15.615667,1.815255
21.605484,7.685161,1.585861
27.315161,13.840645,1.653136
26.246667,15272,1.58741
25.110968,11.666452,1.90876
29.638065,14.353871,1.809896
30.015667,16.240667,1.781169
25.442903,11.804194,1.984573
30.76,15.114194,1.809604
31.037333,14.867333,1.651463
26.140645,12.78871,2.165539
24.996452,9.443871,1.576341
29076,14.727667,1.688571
22.533871,11.876129,1.96908
25.490323,11.776774,1.783447
30.500667,15697,1.823003
23.995806,10.342258,2.136975
30.109677,13.206774,1.868966
26122,13021,1.517001
28.25,13.438387,2.482277
28.991935,13.193548,1.895373
28.563333,14395,1.62642
23.592258,10.071613,2.242333
27.441935,12.495484,1.988959
34284,17421,1.834943
28.89871,13.524516,2.764661
28.264194,14.478387,2.131399
29.380333,12.829667,1.694084
22.234839,12.345806,2.253071
25.839032,13.450968,2.056999
27407,15.723333,1.761616
24.963226,12.240968,2.601033
27.703226,11.293226,2.291301
31.109333,16.540333,1.885429
24.699355,12.912581,2.644788
26.348065,13.124516,2.226144
30.228667,14.319667,1.993161
23.442903,11.296774,2.775503
29.505806,14.567742,2.575311
32.665333,15.714333,2.035558
23.555161,11.262581,2.77782
25.478387,10.569355,2.443534
29.908333,14681,2.04773
24.44871,11.919032,2.882637
29.467419,14.211613,2.821503
33.28,18462,2.279366
25.067742,13.462258,2.943642
32.307742,15.219355,3.012228
31.976667,17209,2.36088
25.186452,11.54,3.191754
27.761935,13.31129,2.839272
27995,12593,2.315919
24.897097,10.387097,3.403242
28.062258,14.341935,3.548179
34.612667,17.453333,4.298132
