@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.596333,19.648667,2.800361
23.801935,13.428065,1.83713
22.542667,11.971333,1.556548
30712,17932,3.109989
26.918065,14.408387,2.232767
25.032667,13.646333,1.622069
27063,16918,2.810378
24.999032,16.308387,2.059351
24.622667,15047,1.628945
30103,18.434333,3.243229
25.950645,14.162581,2.24542
23744,11.967667,1.735139
29.035333,17.791667,3.227562
27.299677,16.227742,2.479347
23699,12.340333,1.790781
27.221333,15.089667,3.202055
25.599032,13.134194,2.560472
26.794333,13.42,1.965539
27578,17.909667,3.085287
25.60129,15.246452,2.639
22.084667,10855,1.842665
26.649333,15423,3.189933
25.226774,13.695806,2.680063
22.555333,12.762667,1.789587
27.302333,18.112333,3.047919
23.370323,13.107419,2.596345
23171,12.022333,2.045245
28.120667,16.762333,3.419377
25.296129,12.65871,2.783864
23.800667,12.213667,2.238949
30.657667,17.49,3.820316
25.496774,12.738387,2.942151
24.908333,14071,2.228223
28.844333,19.219667,3.476727
23.486774,13.228387,2.721255
22.025333,10.965667,2.28285
34.320333,20.858333,4.199297
27.509355,17.044839,3.07356
26.904667,14.272333,2.72534
27.209333,16244,3.53459
24.57129,11.999677,3.113987
26.255667,13.783667,2.848753
30.675667,19.81,3.697891
21.963548,12.482903,2.747303
22695,12.388667,2.52124
32.501667,20.094667,3.992801
27.760968,14.682258,3.359026
27053,15.337333,2.879574
28176,17566,3.647815
25.073226,10.868065,3.449985
26717,13.639333,2.996962
28.899333,18.632667,3.638744
24.552903,12.755806,3.0684
26.219333,11898,3.104289
28.121333,17.231333,3.595668
25.031935,13.005161,3.258698
23.681667,11.836667,2.832269
34.044667,18746,4.406958
28.436452,16.038387,3.523763
22953,10.738667,2.94351
27985,17.227667,3.588054
23.42871,12.774194,3.094266
24.968667,13.195667,3.104471
28017,18211,3.570437
25.049032,13.639032,3.409865
24.125667,11.243667,3.060824
29.377667,18.025333,3.68412
26.043871,14.573226,3.317651
23.955667,13.184667,2.978997
27.104667,16.330667,3.621189
26.398387,14.664839,3.392817
24.250667,14.825667,3.054921
29.07,18.580667,3.682882
25.375161,14.750323,3.264975
24.993333,14113,3.0774
30.524667,19.128333,3.873099
26.740968,15.711935,3.357439
27.219667,13.919667,3.446264
32.429667,19.569333,3.924653
24.402258,13.770323,3.251847
21664,10.367333,3.018893
27.419667,16.911333,3.500304
25.896774,17.507097,3.202895
23.711333,12.781333,3.201172
