@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.961613,18.26871,3.187372
30.19,20.252667,3.435844
31.529677,20.861613,3.788904
31.44129,17.752581,3.221782
33.36,19.695333,3.868974
31.408065,21.401613,3.673552
28.395484,18.132258,2.827523
28.59,17992,3.280817
31.172581,20.372258,3.906615
31.045806,18.952903,2.929092
31.351667,17.619667,3.584101
30.627097,21.071613,3.621206
31.074194,19.68,2.767888
30.490667,19701,3.441887
31.515806,21.566774,3.658486
28.540645,16.058065,2.555586
30.622333,18.938667,3.296891
32.095806,20.658065,3.900375
30.363871,18.440323,2.640968
29.360333,19.728333,3.07988
29.931935,21.045161,3.347491
31.145161,18.960323,2.486558
30.144333,21.321667,2.900638
29.936774,20.769355,3.364174
28.502258,18.034516,2.261137
30.158333,19.057333,3.045137
30.297097,19.494839,3.45946
34.007097,18.365484,2.336779
32.939333,17.554333,2.969394
34.091935,21.666129,3.732629
30.774839,18.470968,2.364164
29.924333,19.047667,2.855448
30.034194,19.670968,3.264359
30.36871,17.456774,2.238439
30.174333,20.666667,2.616233
28.847419,18.916774,3.156265
35.738387,21.530968,2.370017
31.721333,19.956667,2.628013
31.06129,21.820968,3.120506
31.073226,17.956129,1.976241
32103,18.556667,2.576312
30.024194,20.962903,2.8491
29.153871,16.855161,1.851133
29064,18124,2.383703
29.641935,19.57871,2.913505
29.150968,19.179677,1.855476
29.964333,18.937667,2.303411
30.513548,20.380323,2.864295
31.17,20.493226,1.881292
31849,19841,2.35127
30.144516,22.156129,2.578039
35.16871,20.772258,1.974383
30.895667,18627,2.100874
32.299355,21.141613,2.90957
32.889355,19.60129,1.842691
31248,20.106333,2.110087
34.652258,20.757419,2.934121
29.350323,18.237097,1.719349
30.398667,22.397667,1.909379
28.991613,21.656129,2.267661
28.269677,15.878387,1.620194
29538,16.781333,1.918867
30.689355,21.156774,2.33694
30.668065,18.082258,1.754216
30.242667,18.237333,1.879206
34.592258,20.239677,2.624342
32.196452,19.477419,1.844543
33.507667,21223,2.067317
33.129032,22.829032,2.358909
29.842581,17.848387,1.752501
31.737333,19.744333,1.868675
33.627097,22.322581,2.325915
35.26871,20.422258,2.080981
32.612667,20.739667,1.84723
32.659677,21.88,2.166152
31.657419,20.079677,1.955861
30984,21329,1.793065
29.686129,22.250323,1.84327
30.580968,17.754516,1.91257
32685,18.762667,1.816871
30.651613,20.783548,1.917819
32.634194,19.084194,3.884188
30.809667,18.235667,3.884634
31.156129,21.543548,3.742114
