@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

25.083871,11.357742,1.578095
29.229355,15.337742,2.119288
27708,14437,2.513748
27.033871,13.03871,1.749703
31.090968,15.805806,2.081139
33755,19.177333,2.704179
24.708387,12.613871,1.590459
28.049032,14.426129,1.907846
27.126667,16361,2.282178
26.839355,12.884194,1.727938
29.888065,15.146452,1.928815
32.473333,18.64,2.526094
26.299355,12.673871,1.756254
30.729355,14.723548,2.009095
35552,19.629667,2.496449
28.68129,15.290323,1.914416
32.514194,16.233871,1.966436
34.420667,18.829667,2.40061
27.397742,12.150968,1.908081
31.926129,17.165161,2.004742
29883,16452,2.167723
26.901935,13.734839,1.972211
29.219355,14.920645,1.830672
34794,20086,2.401663
28.717097,14.750968,2.1105
29.669355,16.556774,2.007708
31942,17567,2.23208
29.608065,15.341613,2.19939
31.177097,14.656774,1.798303
33.7,18.224333,2.084721
25.899032,10.89129,1.867775
30.832258,16.275161,1.899822
29.825333,17.608667,1.940583
28.65871,14.159355,2.217913
31.893548,15.78871,1.970799
32.458333,18.338333,2.010135
27.955161,14.129355,2.258625
32.119677,16.72129,2.098938
31653,16.705667,1.881966
28.051935,13.952581,2.397493
28.224516,12.62871,1.803015
31692,17245,1.916913
26.879355,13.734194,2.304578
31.75,14.857419,2.096206
35.794667,18816,2.006105
25.566774,12.357742,2.326359
31.282903,14.955161,2.089058
31.109667,16.315333,1.852279
29.731613,14.755806,2.724268
32.013548,15.872581,2.17859
30.409667,16876,1.901845
28.074516,13.05,2.617229
31.663871,14.795806,2.280196
36.065333,19.591667,1.965284
30.782581,14.977419,2.886645
32.887419,16.920323,2.348282
33186,16936,1.874922
27.874516,14.91,2.762159
29.514516,15.945806,2.351429
30.954333,18.613333,2.091932
29.06871,14.393226,2.943738
31.944194,14.422581,2.495135
34944,19.482333,2.103456
26.924516,14.045161,2.977013
29.276452,14.752258,2.50919
33.501333,17.423667,2.210075
28.265161,13.22129,3.090723
32.812581,16.753871,2.747508
34.744333,18.479667,2.231031
26.595484,12.83,2.908121
29.739032,13.408065,2.687801
33.050333,17725,2.283832
28.342258,14.873871,3.160342
31.3,15.737097,2.969936
34.710667,20.519667,2.526072
28.333871,16.14129,3.184353
34.015484,17.518065,3.161729
33.935333,19734,2.611759
29.232258,13.654839,3.369926
30.825484,15.663871,2.994636
31353,15.788333,2.546258
28.546774,12.851613,3.518936
31.114839,16.262581,3.718686
35.943667,19.385333,4.124027
