@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29761,20.078667,2.997108
25.782903,14.494839,2.117588
26.389333,14.346667,1.90598
28.291667,18198,2.903563
27.317742,15.273226,2.429109
26.939667,15246,1.941498
27161,18.038667,2.862924
26.871613,17.223226,2.364084
26.379667,15786,1.948511
28.985667,18.47,3.269096
26.491935,14.805484,2.415002
25.690667,13464,2.032878
28.748333,18.319333,3.253309
27.688387,16.163548,2.699018
25.608333,13.959333,2.012901
27465,16.517667,3.134691
26.345161,15.019032,2.683441
26.592667,14.051333,2.147359
28.66,18379,3.320736
26.923871,16.600645,2.734208
25.23,12.930667,2.194989
27.798333,17.416333,3.311353
26.166774,15.329677,2.828712
24.526333,14.355333,2.08811
28984,19229,3.361855
25.44,14.357097,2.783752
26.002667,14.042333,2.337452
28.531333,16.900667,3.483079
26.695484,13.857097,3.011464
27.398667,14.269333,2.610394
28.482333,17.349333,3.558633
26.915806,14.729677,3.068989
28109,15074,2.678603
29856,19.101333,3.718216
26.24871,15.173871,3.013706
24.530333,12148,2.555114
30.313333,18977,3.935024
27.950645,17.064194,3.300045
28855,14.964333,3.054043
27628,17.604333,3.419155
25.529677,13.418065,3.075403
27.251333,14.653667,3.06976
30363,19901,3.777547
24.792581,15.023548,3.01737
25.084667,13198,2.762759
30.907667,19.432667,3.96871
28.959032,15.992581,3.57222
27.587667,15454,3.082747
28566,18892,3.584225
25.536774,12.555806,3.342878
27.641667,14.858333,3.178392
29.955667,19.119667,3.801809
26.559677,14.568065,3.29131
28.567667,13.906667,3.303091
28822,18.570333,3.572216
26.358065,14.777742,3.300777
27.649667,14.829333,3.176383
30.121333,18.432667,3.928616
29.401935,16.787097,3.656236
26.267667,13279,3.200833
28.377333,17.95,3.519558
25.750968,13.996774,3.291465
27.558333,13941,3.367585
27904,18.294333,3.507799
25.525161,14.726774,3.235831
24.549333,12566,3.043184
31.261667,20.3,3.816709
27.645161,15.73129,3.421243
26.679667,15.103667,3.201367
27.749333,17.732333,3.440742
28.761613,16.499355,3.58991
27.139333,16.805333,3.253963
30898,19.719333,3.770712
27.58871,16.236129,3.465759
27.901667,15.642667,3.338205
30166,19.669333,3.823049
27.732258,16.702581,3.509585
27.992333,15.799667,3.450581
31.314333,18974,3.860205
27.145484,15.765484,3.45327
24878,12.472333,3.130304
28.738333,18.352333,3.545222
28.707742,18.767097,3.497263
27.415667,14.375333,3.445356
