@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

31.229032,19.756452,3.39102
30725,20.685333,3.517164
30.908387,21.005484,3.785193
31.383871,18.860323,3.276282
31.843667,20.425667,3.684713
30.302258,20.759032,3.554291
29.415806,19.516129,2.914991
29019,18.892667,3.335539
29.885806,20.255161,3.667432
33.28871,20.423871,3.334775
34825,21.154333,3.74829
30.708065,21.333548,3.549078
33.306129,21.184194,3.080761
31.093333,20.409667,3.523657
29.392581,20.798387,3.301991
31.504839,18.131935,2.901908
32.413667,19.595667,3.560723
31.287097,20.816129,3.586941
31.724516,19.982581,2.842407
29.313667,20.221333,3.037681
29.931613,20.980323,3.41374
33.967419,21.126452,2.86926
32.026667,21759,3.343705
29.922903,21.074194,3.304585
31.002581,19.772258,2.558086
30.818667,20273,3.187274
29.637742,20.203871,3.264048
34.187097,20.243226,2.545477
32.111667,18.918667,3.086295
32.310968,21.357419,3.550604
34.774194,20.523226,2.66077
31.301667,20.52,2.978544
29.467742,20.174516,3.157411
30.924839,19.13871,2.370491
29982,20.934333,2.758448
28.313871,20.04,2.967216
35.657097,22.186452,2.63748
32.327333,20925,2.758472
32.214839,22.312903,3.308893
31.10871,19.289032,2.141573
30.751667,19.610333,2.621732
29.903871,21.247742,2.880744
32.053226,19.284516,2.11162
31309,19793,2.634636
31.020968,20.664839,3.162435
31.735484,20.603548,2.135787
30.883667,20.726333,2.46155
29.145806,20.308065,2.7551
32.127419,21.092258,2.149007
31289,20.481667,2.455713
29.480645,21.631935,2.599483
34.699355,21.993871,2.116964
31.260333,20.818667,2.266739
30.525161,20.725161,2.822678
32.515161,20.602258,2.003973
32.51,20.981667,2.391711
31.847419,20.791935,2.866296
30.707097,20.049677,1.900565
29.751667,21.894333,2.00482
28.569032,21.357097,2.25668
31.016774,18.048387,1.938833
31339,18.466333,2.129603
30.946129,21.109355,2.510274
30.73129,19.319355,1.91268
32.450667,19.13,2.188625
33.02129,21.065161,2.663658
34.703871,21.509677,2.139929
32296,22.067667,2.100324
30.770323,21.783226,2.3099
31.027742,19.378065,1.939433
30.998667,20.424333,2.054495
31.115484,21.909355,2.329012
36.229355,21.814194,2.188578
31692,21091,2.011188
29.475806,21.335161,2.083842
34.971613,21.783871,2.25653
32277,21.959667,2.04918
30.680645,21.854516,2.145211
32.953226,19.64,2.234939
33.031333,20.655333,2.041826
30.132903,21.179355,1.98277
32.987742,20.212581,3.870353
31.252333,20.489667,3.689639
30.05129,21.427419,3.495836
