@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

25.201613,11.485161,1.525809
29.846129,15.81871,2.091557
28.330333,14.537333,2.525486
27.335484,13.423871,1.695751
31.726129,16.502581,2.017367
34.366667,19.889333,2.653521
24.967742,12.712903,1.545819
29.133548,14.997097,1.913628
27.844667,16.486667,2.298694
27.812258,13.719355,1.667783
30.828387,15.763226,1.864808
33.368667,19.08,2.485771
27.628065,13.553871,1.739418
32.463226,15.697419,1.946315
36.716333,20.836333,2.455896
30.341613,16.519677,1.88446
34.158387,17.67129,1.861638
35849,20.171333,2.292563
28.500323,12.456129,1.854472
33.479355,18.544516,1.897781
31075,16.839667,2.149195
28.495161,14.740645,1.983943
30.251613,15.654194,1.802373
36.227333,21157,2.334278
30.043871,15.61871,2.0921
30.276774,17.234839,1.946852
31.724667,17.738667,2.14168
30.922258,16.077419,2.166623
32.822581,15.964194,1.712899
34.828667,19047,2.008837
26.672903,11.264194,1.843144
31.556774,16.922258,1.846481
30.895667,18.114667,1.936591
29.650968,14.868065,2.190148
33.167097,17.157097,1.929917
33.315667,18.9,1.980761
29.514194,15.143548,2.227852
33.608387,17.839032,2.033775
32.671333,17542,1.810437
29.291613,15.102258,2.366208
28.453226,12.919032,1.732075
31.883333,17.566667,1.877642
26.817419,14.173871,2.272387
32.406774,15.365806,2.051122
36.580667,19478,1.9302
26.100645,12.814194,2.304581
32.086129,15.799677,1.994515
31.185667,16.354667,1.785338
31.061613,16.14,2.687002
32.79,16.677742,2.097428
31.073667,17.183333,1.857931
28.612903,13.645806,2.57751
32.216774,15.403871,2.230623
37.094667,20747,1.867278
31.561935,15.894194,2.894549
33.302581,17.290323,2.326766
32.883667,16.781333,1.811818
28.013548,15.38129,2.702476
29.924516,16.149677,2.346306
31.39,18643,2.0339
29.821935,14.974194,2.979087
32.65,15.302258,2.442011
35.043333,20.047667,2.080178
27.969677,14.823226,3.002924
30.614839,15.643871,2.526149
34407,17.880667,2.192094
27.821935,13.404516,3.041691
33.580968,17.431613,2.723133
35.140667,18.723333,2.162696
26.745484,13.192581,2.93196
29.926452,13.504194,2.648
33405,18027,2.239977
28.451935,15.036774,3.162766
31.896129,16.42871,2.946853
35.235667,20.929333,2.493207
28.639032,16.559677,3.16973
35.052258,18.448387,3.144552
34345,20.056667,2.594668
29.525806,14.013871,3.373899
31.624839,16.009355,3.037716
31876,15.867667,2.5268
28.643226,13.269677,3.557237
31.521613,16.816774,3.774941
36.835667,20.201333,4.162964
