@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

32.169677,20.249677,3.524139
31.673667,21.265667,3.659583
31.494194,21.557097,3.840485
32.665484,19.494516,3.322014
33.064667,21.083333,3.80456
30.836774,21.482581,3.566807
30.051613,20.135484,2.940469
30.204667,19.464333,3.451448
31.527097,21.246452,3.901307
34.481613,21.286452,3.33625
35.44,21.269667,3.832528
31.642581,22.06129,3.653315
34.296129,22.014516,3.093911
32.502333,21.244333,3.655283
30.234516,21.596129,3.407402
31.974516,18.597097,2.885909
33102,20168,3.569451
32.025161,21.420645,3.71066
33.037419,20.781935,2.883233
30.637333,20883,3.151419
31.549677,21.817419,3.583194
35.747097,22.001935,2.90019
33.629333,22.611667,3.412553
30.899677,21.692903,3.404452
32.15,20.257742,2.61528
32069,21.012333,3.253659
31.082903,20.851613,3.429031
35.565806,21.219032,2.539148
33.295333,19376,3.125857
33.464516,21.96129,3.683132
36.489677,21.374839,2.696766
32.535333,21243,3.002629
30.343226,20.720645,3.222733
31.757742,19.737742,2.368444
30646,21.480667,2.7764
28.662258,20.4,2.961349
36.82129,23.013871,2.61041
33.220333,21582,2.781927
33.249032,23.080968,3.347244
31.699355,19.69129,2.141778
31701,19.882667,2.662013
30.251935,21.843871,2.86624
32.618387,19.496774,2.08196
31.849667,20151,2.617717
31.793871,21.333226,3.14585
32.546452,21.120645,2.136088
31.421333,21.105667,2.446561
30.075806,20.951613,2.844124
33.206452,21.885161,2.138195
32.600667,21.097333,2.493056
30.872258,22.382903,2.703898
35.790968,22.765806,2.097828
32.423333,21226,2.325612
31.244194,21.42871,2.84118
33.673226,21.147742,2.00625
33.787333,21.759333,2.371343
32.980645,21.383548,2.948218
31.430645,20.414194,1.880634
30.736667,22.676333,2.018432
28.893871,21.984194,2.223092
31.127742,18.157742,1.874164
31.423667,18.525333,2.089431
31.925806,21.770968,2.533343
31.957097,19.826452,1.939608
33477,19793,2.194811
34.392581,21.809677,2.736996
34.823871,21.684194,2.122386
33482,22.587333,2.174296
32.131935,22.535806,2.387185
32.153226,19.827097,1.92992
32166,20995,2.064867
31.812258,22.624194,2.335035
36.869032,22.317419,2.181552
32.205333,21.631333,2.003482
30.237742,21.900323,2.100052
35.466452,22.273548,2.229202
33.755333,22.775333,2.073367
32.285161,22.858065,2.177926
33.757419,19.993548,2.219672
33.662333,21.046333,1.984736
30.506452,21.551613,1.972508
33.684839,20.663548,3.988468
31.024333,20.643333,3.655497
30.182581,21.840645,3.53845
