@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.603226,21.144516,3.431662
30.254643,19.899643,3.708665
32.046452,21.305161,3.674457
30.793871,21.691935,3.617808
31.101786,20.475714,3.80887
29.710968,20.066129,3.423576
30.595484,21.035484,3.800723
29.98069,21.285862,3.51058
28.821613,20.330323,3.209796
31.375484,21.257742,3.904907
29.917857,19.662857,3.700239
31.57129,20.985806,3.889834
32.440968,21.207097,4.046657
30.998929,21.530714,3.791802
30.932581,20.149032,3.727604
28.899677,21.637742,3.248366
29.751071,21.602857,3.549128
30.479032,20.803226,3.693918
30.097742,21.572258,3.48715
30.277241,21.398276,3.608854
30.181935,21.088387,3.671393
29.112581,21.32129,3.382072
30.0125,21.424286,3.593067
30.14871,20.10871,3.66013
33.713548,22.736774,4.134311
31.866786,22.732857,3.765723
31.080323,21.94129,3.76303
30.558387,21.729355,3.60346
31.292857,21.826429,3.871847
30.150323,21.593226,3.591965
34.5,22.559032,4.142169
30.93069,21.81,3.591061
28.740968,20.987742,3.360754
30.115484,21.369677,3.576664
30.191071,21.692857,3.589054
29.865484,20.984839,3.608075
30.447742,20.852903,3.542404
30.612857,20.8875,3.731547
30.890323,21.658065,3.736771
30.095806,22.47129,3.229273
29.860714,21.482143,3.528357
29.863871,20.91,3.558293
31.592258,21.475161,3.650935
31.691379,21.171034,3.817064
33.734839,20.578387,4.245617
29.727097,22.225484,3.070846
32.547143,20.825357,4.112231
32.686129,20.917419,4.142923
30.334194,21.582903,3.351602
31.036429,21.278929,3.721028
30.335806,21.3,3.643546
28.872581,22.38,2.788344
29.520357,21.673929,3.301166
30.727419,20.498387,3.937334
30.008387,21.977742,3.021547
30.71069,20.985517,3.560298
29.981935,20.046129,3.730645
31.021613,21.085484,3.149913
31.318929,21.876429,3.635755
31.761935,21.7,3.931377
29.436452,21.964194,2.784881
30.070357,22.268214,3.225962
31.079032,21.100968,3.713003
29.654839,21.929032,2.803526
28.690714,21.463571,3.028987
28.362258,21.275484,3.170084
31.993226,21.544194,3.150049
31.593793,21.539655,3.584434
32.455484,20.527419,3.984585
32.558065,21.890323,3.015715
31.763571,21.862143,3.457807
31.004516,21.247419,3.601828
30.786774,21.295484,2.847026
33.228214,22.174643,3.46945
31.026129,21.242258,3.55268
30.897419,22.07,2.760889
30.778214,21.861429,3.177011
31.953226,20.953548,3.833489
30.097097,22.216452,2.423192
30.222759,22.677931,2.895829
30.900645,20.66871,3.583998
30.306129,21.746129,3.584258
29.924286,21.759286,3.582582
30.14129,21.371935,3.55243
