MES,ANO,TMAX,TMIN,ETP
1,1990,27.6796774193548,19.6454838709677,3.21940672901793
2,1990,27.8467857142857,18.9832142857143,3.36534610749608
3,1990,28.5264516129032,19.5706451612903,3.26300232779811
4,1990,27.8933333333333,19179,2.83617617756982
5,1990,25.0470967741935,14.0409677419355,2.18572286596926
6,1990,24989,13541,1.89111309560088
7,1990,23.7077419354839,11.4470967741936,1.6403441292938
8,1990,26.9183870967742,14.4232258064516,2.08024536469766
9,1990,27.0666666666667,14.7583333333333,2.47628854589941
10,1990,29.8832258064516,19.188064516129,3.24585510280967
11,1990,29141,20047,3.39928805858794
12,1990,28.5761290322581,20.0151612903226,3.40506515769089
1,1991,28.288064516129,20.2209677419355,3.27209409443622
2,1991,28.4257142857143,19775,3.3679939007464
3,1991,27.4764516129032,19.1803225806452,3.05640757679012
4,1991,26.7976666666667,17.7806666666667,2.76967826029398
5,1991,25.6235483870968,14.8864516129032,2.32821689013034
6,1991,25.2056666666667,14.82,1.90159684504821
7,1991,25.168064516129,12.6345161290323,1.7278750435488
8,1991,27.4045161290323,14.2025806451613,2.00766679899794
9,1991,30.1766666666667,17.1256666666667,2.54782812713524
10,1991,29.6254838709677,18.7077419354839,3.07876786878855
11,1991,29.9693333333333,19.7096666666667,3.40928688271915
12,1991,28.3364516129032,19.6138709677419,3.28318391462021
1,1992,28.6735483870968,19.5296774193548,3.50799813398112
2,1992,27.9427586206897,19.5244827586207,3.20942463086369
3,1992,27.3183870967742,19.2283870967742,2.98274103926133
4,1992,27133,18102,2.85820803066164
5,1992,26.9006451612903,17.0532258064516,2.39771164844853
6,1992,26.4643333333333,15.2923333333333,1.98431039272593
7,1992,26.02,13.3777419354839,1.73536970458659
8,1992,28.541935483871,14.7993548387097,1.98665938527973
9,1992,27.3396666666667,16.5856666666667,2.34994020268471
10,1992,28.8361290322581,19.0506451612903,2.98776972235901
11,1992,27.9906666666667,18651,3.20862455920145
12,1992,28.4990322580645,19.4638709677419,3.37993728347732
1,1993,27.7554838709677,19.4696774193548,3.27045561949865
2,1993,26.9317857142857,19.0457142857143,3.13963761121132
3,1993,28.3770967741935,19.4416129032258,3.43245529616502
4,1993,27597,18.1336666666667,3.06390211050694
5,1993,25.3374193548387,14.3538709677419,2.3247624914872
6,1993,24686,13.2663333333333,1.9777637209837
7,1993,25.2890322580645,12.4722580645161,1.74973786607484
8,1993,27.3712903225806,14.3116129032258,1.92170524491639
9,1993,29.9526666666667,18.1766666666667,2.44994728196716
10,1993,30.3109677419355,19.2641935483871,3.06062206418635
11,1993,31.2196666666667,19.9243333333333,3.42142100433102
12,1993,28.2977419354839,20.5370967741935,3.13616907558548
1,1994,28.1541935483871,19.4529032258065,3.44645077538073
2,1994,27.8314285714286,19.93,3.32586868689327
3,1994,27.5096774193548,19.1009677419355,3.26089886142869
4,1994,27.2706666666667,17.96,3.08522149410086
5,1994,26.3222580645161,15.7364516129032,2.62507416492389
6,1994,24.7953333333333,13.2556666666667,2.04356695953392
7,1994,25.0961290322581,12.0635483870968,1.75647020459107
8,1994,28.2009677419355,14.2096774193548,1.94579844979303
9,1994,32038,17.9366666666667,2.45525637023672
10,1994,31.4883870967742,20.3096774193548,2.98837133677233
11,1994,29341,19.9286666666667,3.1779785839824
12,1994,28.2974193548387,20.0522580645161,3.16285146824692
1,1995,27.9470967741936,20.3235483870968,3.22273070504622
2,1995,27.2610714285714,20.3410714285714,3.00155305617328
3,1995,28.4187096774194,19.5393548387097,3.45714453405284
4,1995,26.8753333333333,16598,3.09027286986078
5,1995,25.281935483871,15.3990322580645,2.57170448612679
6,1995,25064,13.5893333333333,2.11893751708181
7,1995,26.5645161290323,14.6541935483871,1.92776869991514
8,1995,29.2451612903226,15.2270967741936,1.96801320353727
9,1995,30749,17084,2.26512262802396
10,1995,29.6687096774194,17.9216129032258,2.8133790413949
11,1995,29132,18.3613333333333,3.19138570494181
12,1995,28.6048387096774,19.5506451612903,3.30851322691288
1,1996,28.0683870967742,19.9809677419355,3.3141257582662
2,1996,28.1789655172414,20.3103448275862,3.37907776051043
3,1996,28.0174193548387,20.3374193548387,3.23733485516579
4,1996,27.4673333333333,17.8546666666667,3.2205086457661
5,1996,25.8083870967742,16.2548387096774,2.67736512973547
6,1996,24085,12.8036666666667,2.14883773256345
7,1996,25.35,12.4096774193548,1.86757066746453
8,1996,29.1764516129032,16.1283870967742,1.95733274790236
9,1996,28.2973333333333,16.4563333333333,2.13019286288294
10,1996,29.8461290322581,19.2787096774194,2.71134784720204
11,1996,27.6373333333333,19.6356666666667,2.84890071460867
12,1996,27.7209677419355,20.1058064516129,3.0867880135505
1,1997,26.6538709677419,19.6416129032258,2.97688043563525
2,1997,27.8578571428571,19.6535714285714,3.29887559379272
3,1997,27.7732258064516,19.0961290322581,3.30713571273816
4,1997,26.7616666666667,17.1806666666667,3.18212857298448
5,1997,25.0877419354839,14.9067741935484,2.77328231227018
6,1997,23991,13.7896666666667,2.08621556129825
7,1997,25.4058064516129,13.0806451612903,1.9528302898989
8,1997,27.2003225806452,13.9770967741935,1.80655489671436
9,1997,30986,18.8106666666667,2.22878671644688
10,1997,31.101935483871,20.0751612903226,2.66004237608748
11,1997,29.6563333333333,21.0553333333333,3.05893547334433
12,1997,28.6422580645161,20.3770967741935,3.14614859936339
1,1998,29.4445161290323,20.8967741935484,3.56138643487299
2,1998,29.1510714285714,21.6167857142857,3.36200992158516
3,1998,29.0212903225806,20.7938709677419,3.46969135774346
4,1998,28.3286666666667,19.3183333333333,3.30724566561021
