@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

24.089677,11.767742,1.60734
27.542581,15.057097,2.079106
27.327333,15.096333,2.449862
25.640323,13.154839,1.726288
28.032903,14.661613,2.022142
30625,17.673667,2.57542
26.287097,13.762903,1.713408
28.865161,15.37,1.96593
27.783333,16.945333,2.353065
25.717742,12.944194,1.750619
27.989677,14.873548,1.921608
30.459667,18.553667,2.45039
25.582258,12.614516,1.773844
28.763226,14.714516,1.952464
32.562333,18.494667,2.472352
26.993871,15.066129,1.939166
29.563226,15.52,1.999334
31.358667,17.698333,2.297484
26.244194,12.944194,1.874243
30.312258,16.882903,2.004326
29.084333,16.922667,2.140591
25.913548,13.635484,1.973708
27.813226,14.629032,1.829871
31667,19163,2.279368
27.203871,14.426129,1.987571
29.136452,16.391935,1.953377
30.53,17.479667,2.140434
27.010968,14.939032,2.062664
27.845806,13.383548,1.740037
30.313667,17267,2.031791
24.01871,10.86,1.886249
28.803871,15.409677,1.895663
28928,17619,1.947184
27.88871,14.428387,2.214135
30.555161,15.435806,1.932537
32.003333,18.424333,1.99651
26.522258,13.845161,2.211527
30.021613,16.288065,2.037211
29829,16.489333,1.874829
26.7,13.466452,2.362202
27.303226,13.11129,1.832872
30.912333,17539,1.913917
26.453871,13.942581,2.2965
30.346129,15.148065,2.072787
34944,18.835667,2.049346
26.897742,13.514194,2.442763
31.483226,15.861613,2.144144
31319,17.835333,1.937108
28.52,14.435484,2.699714
31.155806,16.136129,2.18783
30.429667,17696,1.91727
26.807419,13.11,2.602893
29.984194,14.455484,2.231118
34.216667,18.847333,2.015997
30.085806,14.824516,2.887967
32.903548,17.573871,2.429796
33.964667,17.985667,1.982334
29.563548,15.573226,2.973604
31.265806,17.090968,2.490098
31.558667,19794,2.149335
30.179677,15.73871,3.023825
32.555806,15.718387,2.519401
35.947333,20173,2.078202
27.840323,14.73,3.033419
30.276452,15.815484,2.602913
33.959667,18.452667,2.235274
28.270968,13.776774,3.107128
31.648065,16.681935,2.650114
34.331667,18.970667,2.293542
27.924516,14.134839,2.913827
30.745806,14.762581,2.73163
33.111667,18.641667,2.255029
28.130645,15.456129,3.089238
30.591613,15.841613,2.875915
33.876667,20809,2.511171
27.948387,16.22871,3.162401
32.412581,17.221613,3.107008
34215,20.181667,2.574758
29.934839,14.773871,3.4087
31.067419,16.622581,2.980077
32.747333,17.403667,2.62155
29.247742,14.005161,3.415888
32.227097,17.259677,3.65222
35705,19.987333,3.893174
