@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

28.278333,19.5,2.851031
25.367419,14.481935,2.150155
25.438333,14164,1.895186
27.151667,18.004333,2.795368
26.030323,15.241935,2.316665
25.599667,15.239333,1.906275
27.306667,18.316333,2.833721
27.180323,17.499677,2.386087
26.892333,15879,1.995467
28.112667,18.42,3.098813
25.733871,14.771613,2.348665
25.097667,13.690333,1.979988
27.771333,18259,3.102392
26.764839,16.10129,2.636672
25265,13661,2.042621
27.350333,17.004333,3.064915
25.716452,15.685806,2.594258
25.483333,14.170667,2.106465
27.919667,18.224667,3.250539
26.279355,16.607742,2.661466
24.645333,13.185667,2.166895
27.186667,17551,3.157444
25.641613,15.360645,2.763672
24256,14.269667,2.07794
28.804333,19636,3.297524
25.418065,14.620645,2.741871
25588,14.277667,2.292587
27.405667,16.880667,3.284961
24.973548,13.740323,2.817159
25.646667,14224,2.38998
27.619667,17.342333,3.363365
25.710645,14.884516,2.999896
26.248667,14642,2.596641
28.990333,18.562667,3.622625
26.102903,15.47129,2.965878
24437,12.320667,2.514946
29.019333,18451,3.664249
27.036452,16.749677,3.133656
26836,14.627333,2.863491
27.313333,17.88,3.263606
25.157419,13.896774,2.998655
26.444667,14536,2.900868
28.305333,19.247333,3.406371
25.167742,15.7,2.96456
25.112333,13.719333,2.727639
29417,19.011333,3.736228
27.608387,15.827742,3.288875
27105,15.199667,2.960989
27.986667,18839,3.418324
25.124516,12.841613,3.224333
26772,14.389333,3.069643
29.139333,19.048333,3.663711
25.875806,14.73129,3.233085
27.020333,13994,3.196959
28,18.820667,3.400661
26.599355,15.249032,3.31323
28168,15239,3.320932
29.339333,18.422667,3.738672
30.409355,17.154839,3.765059
27.67,14.406333,3.296078
28.305333,17988,3.420416
27.383226,14.992581,3.44743
29.229667,14596,3.476378
27847,18112,3.465319
26.086774,15.010968,3.26061
25.570333,13.273667,3.106521
29.139333,19.730667,3.495858
26.682258,15.682903,3.27263
26378,15374,3.102313
27.578667,17.827667,3.361715
29.541613,17.069677,3.672147
28.394667,17.604667,3.27756
28.099667,19.115667,3.381639
27.347742,16.107097,3.369105
28.093667,15.967667,3.320232
28454,19.302333,3.545946
26.363871,16.633226,3.263107
27.091667,15.800667,3.294216
30664,18961,3.795244
27.784516,16.473226,3.405481
25.678333,13.495333,3.094627
30.473667,19.199333,3.726088
30.305161,19.208065,3.584853
28.946667,15.501333,3.485505
