@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.257742,19.52871,3.26357
29408,20.236667,3.389642
28.918387,20.310323,3.459826
29.834839,18.951613,3.065249
29.953667,20.077333,3.370733
28.63,19.948065,3.289131
29.098065,19.388387,2.968069
28318,18.923667,3.239554
28.658387,19.807742,3.406599
30.800645,19.557419,3.119095
31.776667,20.332667,3.475695
28.809355,20.840968,3.207497
31.835484,20.582903,3.000409
29.687667,20162,3.22606
28.434839,20.257097,3.209488
30.065484,18.226129,2.822435
29.749333,18.86,3.242247
28.905806,19.924194,3.333718
30.548065,19.74871,2.759799
27.929667,20.015667,2.867359
28.040968,20.356774,3.123221
31.512258,20.439032,2.708879
30.168333,21.252667,3.087927
29.021935,20.685161,3.164706
29.723226,19.479355,2.465882
29.206667,20.033667,2.97514
28.019677,20.068065,2.960965
31.23,19.334194,2.431825
29.034333,18.621667,2.852738
29.080323,20.288065,3.140509
31.433548,19.708065,2.52479
28934,19.813667,2.710055
28.01871,19.836129,2.982146
30.247419,19.130968,2.323401
29.340333,20.693667,2.664431
27.590323,20.302903,2.750026
33.502258,21.415806,2.558295
30.051333,20.439333,2.651409
29.525161,21.091935,3.057377
30.444194,19.299677,2.160486
29.464333,19.628667,2.519026
29.162903,20.985806,2.83413
31.286452,19.475806,2.104065
29.259667,19.419333,2.437363
28.818065,19.854516,2.901666
32.033871,20.940968,2.155467
30166,20.526333,2.422158
28.093871,19.961935,2.593112
30.699355,20.610323,2.129387
29156,19.606333,2.368413
28.070968,20.83129,2.528503
33.62871,21.358387,2.117094
29.880667,20352,2.184507
29.132581,20.199355,2.684138
31.908387,20.678065,2.019195
30.474667,20339,2.302233
29.937419,20.169355,2.729353
31.481935,20.62871,1.999786
29257,21496,2.022115
27.873226,20.720645,2.202195
30.898387,19.103871,1.982234
30168,19044,2.123161
28.924516,20.418065,2.380387
30.17129,19.709355,1.941663
30649,18633,2.103191
30.924839,20.512581,2.541114
34.955484,21.976452,2.144202
31.002667,21.431667,2.091123
29.838065,21.151935,2.327864
31.310645,20.014839,2.019571
30312,20.385667,2.041085
29.374194,21.076774,2.181244
34.774839,21.244516,2.21118
30366,20.65,1.959018
28.097742,20.65,2.033451
34.941935,22.520645,2.269587
30.642667,21.391333,2.011902
29.249032,21.031613,2.125292
33.178065,20.080968,2.243136
31925,20.843333,2.03386
30.520323,20.997742,2.075218
33.351935,20.870968,3.710088
30.526333,20683,3.533307
28.81,20.96129,3.300016
