@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

25.920645,13.170323,1.76917
29.940968,17.247419,2.303354
29.300333,17.131,2.708922
28.509677,15.196129,1.946401
31.806774,16.872581,2.358661
34.28,20.195667,3.019388
30.335484,16.493548,1.890951
33.277419,18.112903,2.218989
31.696667,19.354,2.672542
30.367097,15.822903,1.916707
33.52,18.36871,2.160184
35.821333,21.954333,2.816605
30.724194,16.000645,2.041294
34.971935,18.114839,2.19399
39.267667,22.964667,2.713497
31.31,17.684839,2.168213
34.600968,18.64129,2.161799
37.037,21.259,2.659773
31.429355,15.66871,2.094008
35.663871,20.816452,2.219397
34.093667,19.788,2.455824
28.859355,15.573871,2.198266
31.504516,16.955484,2.039043
36.802,22.371,2.608419
31.912581,17.433548,2.349767
32.947742,18.689677,2.220392
35.516667,20.190667,2.477235
31.070968,16.869677,2.420129
33.187742,16.631613,2.0105
35.731,21.02,2.288101
28.611935,13.810968,2.050571
34.263226,19.193226,2.125939
33.575333,20.321667,2.231535
32.667419,17.753226,2.460654
35.345806,18.526129,2.147229
35.711333,21.090333,2.216735
31.04,16.861935,2.559638
34.506129,19.160968,2.289818
34.54,19.551333,2.069053
31.287419,16.300645,2.670963
31.818065,16.453871,2.007012
34.577,20.300667,2.12537
30.587419,16.494194,2.648461
34.748387,17.942581,2.254077
38.35,21.652333,2.132337
31.293226,16.476774,2.707791
35.66129,19.150323,2.166349
34.126,19.808333,2.088355
33.564839,17.854516,2.950269
35.709355,19.611935,2.329957
34.327333,20.678667,2.144367
31.909032,16.181613,2.888098
34.796774,17.522581,2.444971
38.747,22.380667,2.098311
33.352258,17.142581,3.173815
36.058065,19.98871,2.602281
36.519667,20.575,2.080265
31.580645,17.806774,3.128472
33.480968,18.982258,2.695349
34.798,22.171,2.346614
32.661613,17.425806,3.257789
35.462581,18.29,2.718847
38.927333,23.294667,2.183268
31.83129,17.348387,3.415144
34.020323,18.634839,2.810261
37.730667,21.863667,2.405673
32.259355,16.512258,3.40681
35.642903,19.514194,2.906904
37.969667,21.720333,2.460485
30.650645,15.987097,3.326647
33.232903,16.68129,2.934304
35.441667,20.730333,2.559218
30.221613,17.310323,3.371007
33.599032,18.097742,3.223489
37.119,23.217,2.836405
31.613226,18.723871,3.553128
36.59871,20.270645,3.417208
37.682333,23.090333,2.84398
33.657097,17.309355,3.746313
34.647742,19.469677,3.248245
35.596667,19.859667,2.851678
32.695161,16.61,3.775213
34.895484,19.640645,3.989263
38.704667,22.357,4.250528
