@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.223667,21.399333,3.073417
27.343871,16.634194,2.329096
27.311,16.307333,2.049948
29.497667,19.82,3.065437
28.477097,17.327097,2.622877
28.027,17.064667,2.114685
30.238333,20.105667,3.228762
30.569032,19.751613,2.750247
31.873333,18.695333,2.320006
31.421667,20.65,3.477188
29.777097,17.30871,2.775826
28.798333,16.237,2.248975
30.978,20.477,3.488132
31.265161,18.926129,3.114791
29.926333,16.553667,2.380609
29.730333,18.99,3.367524
28.338387,17.259677,2.930089
28.916667,16.423,2.406793
30.906,20.428667,3.589799
30.237419,19.166129,3.056786
28.960333,15.431333,2.46921
29.607,19.974667,3.430452
28.309677,17.844194,2.979141
26.43,16.321333,2.334414
31.114,21.635333,3.597011
28.166452,16.628387,3.048044
29.479,16.625,2.706627
29.958333,19.151,3.610289
28.134516,15.738387,3.205587
29.347667,16.679667,2.798455
30.440333,19.615667,3.678724
29.880323,17.708387,3.411208
31.227667,17.678667,3.004054
32.496333,21.038333,4.071948
30.063226,18.530968,3.36247
27.871333,14.92,2.804896
31.742667,20.554333,4.13611
29.95871,18.906129,3.558932
30.822,16.791,3.305574
29.450667,19.659333,3.660655
28.223871,16.316129,3.311055
30.073667,16.877,3.256294
31.973,21.811,3.929246
27.454194,17.436452,3.341041
29.084,16.145333,3.162515
34.636333,22.046333,4.293489
33.198065,19.393871,3.882862
32.297,18.510667,3.499525
31.180667,21.323667,3.76767
29.986129,15.59871,3.773783
32.707667,18.090333,3.551531
35.035,22.334667,4.418019
31.363226,18.09,3.807065
32.718667,17.225667,3.683744
29.981667,20.597,3.682909
28.255484,17.010323,3.494068
30.411667,17.285667,3.52607
31.934,20.726,4.020928
31.984194,19.756129,3.887708
29.908333,16.491333,3.59909
31.718667,20.398,3.904227
29.660968,17.027097,3.66316
32.469667,17.228667,3.804392
30.13,20.263333,3.730727
28.746452,17.014516,3.637671
28.986667,15.859,3.495056
32.184,22.441333,3.829901
30.588387,18.544839,3.731903
30.494333,17.858333,3.586222
30.009667,20.065,3.65444
32.16129,19.449032,4.018724
30.557,19.774667,3.651751
30.175667,21.182,3.636679
28.579355,18.142581,3.55462
29.426,17.909,3.567497
31.998667,22.11,3.88781
29.822903,19.332258,3.700448
31.302667,18.438667,3.787341
34.099667,21.883667,4.161954
31.288387,18.654194,3.879457
29.339333,15.878667,3.688957
33.212667,21.937667,3.932502
33.286452,21.827097,3.973783
32.348333,17.921,3.879792
