@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

32.135484,21.656774,3.505183
31.429667,22.268667,3.650095
31.213226,22.582258,3.659353
33.93871,21.488387,3.539888
33.270333,22.775667,3.781263
31.182581,22.408065,3.542168
32.892903,22.113226,3.340603
31.332667,21.497333,3.620148
31.026452,22.315484,3.660626
35.287742,22.834516,3.51702
36.289333,23.609,4.064375
32.113226,23.323226,3.659545
36.522903,24.054516,3.376037
33.816,22.971667,3.751882
30.765484,22.564839,3.433409
35.093871,21.293548,3.27127
34.128333,22.247,3.72705
31.742258,22.628065,3.610835
34.83871,22.902581,3.076598
30.718667,22.106,3.217671
31.069677,22.628065,3.460361
35.973871,23.340968,3.14523
33.926667,23.437,3.635676
31.601935,22.805484,3.465828
34.348065,22.472581,2.935741
32.135,22.865,3.222707
30.022258,22.093226,3.186016
36.640645,23.023226,2.867095
32.405,21.13,3.175003
32.943871,23.162581,3.577502
37.341613,23.06871,2.903517
32.862,22.591667,3.15406
31.17,22.068065,3.351324
33.836774,21.842903,2.654835
32.421333,23.045,2.97903
29.725484,22.15129,3.051314
37.712581,24.229677,2.793939
35.174667,23.576,3.074987
32.483871,23.671935,3.324385
33.881935,22.081613,2.437874
33.698333,22.337,2.904786
31.765161,23.383871,3.076324
35.110645,22.313226,2.339441
33.354667,22.327667,2.816606
32.921613,22.672581,3.318595
35.894194,23.689355,2.428964
33.882667,23.677,2.732029
31.103548,22.517419,2.936184
34.82129,23.777419,2.351014
32.916,22.680667,2.611688
30.266129,23.023548,2.731482
36.932581,24.125161,2.317594
31.869,23.024,2.359102
31.118387,22.36871,2.849011
34.449032,22.88129,2.246639
34.994,23.854,2.554089
33.707742,23.13129,2.981725
34.693226,23.261613,2.179187
32.466333,23.903,2.291678
30.079355,22.879677,2.431841
34.704194,21.801935,2.149354
33.236667,21.796667,2.282009
31.816129,22.702903,2.620289
33.652581,22.388065,2.131581
35.769333,22.432333,2.364718
34.190323,23.433548,2.74292
38.397097,25.090645,2.345559
33.069,24.088667,2.227277
31.792903,23.35129,2.452458
34.028387,22.64,2.195258
33.708,23.139667,2.253927
32.561613,23.84129,2.424734
37.196774,24.003226,2.357188
32.375333,22.954667,2.082323
29.822903,22.616129,2.158673
37.410323,24.475161,2.476277
34.495,24.472333,2.21443
32.999032,23.721935,2.411546
35.568065,22.320645,2.450221
34.077333,23.197333,2.204766
32.680645,23.300323,2.2323
36.474839,23.405806,4.103546
33.051667,23.13,3.749896
31.026452,23.112903,3.487346
