@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.756452,22.003871,3.416539
29.924286,21.492857,3.499786
30.961935,21.937097,3.577784
30.104839,22.448387,3.400794
31.259643,22.179286,3.690863
30.045484,21.48871,3.357143
32.033226,22.518065,3.894647
31.233103,22.368621,3.571341
30.691935,21.777742,3.462046
31.034194,21.814516,3.710617
30.450357,21.144643,3.66573
31.427419,21.852903,3.787473
31.877419,22.153226,3.899884
31.103214,22.388571,3.693662
31.475161,21.602903,3.815776
29.491613,22.323226,3.245137
29.89,22.202143,3.456519
31.074516,22.061935,3.654166
30.484516,22.427742,3.502456
31.062069,22.684138,3.649162
30.511935,22.597742,3.583533
29.27129,21.983871,3.233157
30.61,22.274286,3.612697
30.673226,21.54871,3.665418
32.543871,23.41871,3.874097
31.815,23.725357,3.676715
31.810968,23.140323,3.827766
30.141935,22.579032,3.460146
31.258571,22.548929,3.746314
30.156774,22.340323,3.56403
33.109355,23.041935,3.882137
30.409655,22.447241,3.395385
29.597419,22.142903,3.354286
31.285806,22.245484,3.706218
31.196071,22.489286,3.684683
30.789677,22.09129,3.66947
30.776129,21.932903,3.463835
30.316071,22.419286,3.470944
31.080968,22.255161,3.728423
30.342903,23.08129,3.154477
30.266071,22.318929,3.493686
30.154516,22.282581,3.486675
31.377742,22.938065,3.447821
30.645862,22.361379,3.532151
32.172258,21.502258,3.991913
32.109032,23.739677,3.358549
33.886429,22.3875,4.149835
34.266452,23.00871,4.205237
30.931613,22.392581,3.308268
31.8025,22.802857,3.685487
31.633548,22.690323,3.754006
30.095484,23.173226,2.933723
30.378214,22.704643,3.280181
32.927742,21.906452,4.155292
30.064516,22.865806,2.912484
30.755517,21.837586,3.521472
30.876452,21.623226,3.683517
32.368065,22.695806,3.321833
30.783571,22.854643,3.407332
31.442581,22.775484,3.722308
30.304839,22.908065,2.856978
31.454643,23.197143,3.452669
31.899355,22.967419,3.71482
29.969355,22.52871,2.867304
29.645714,22.372143,3.115727
28.826774,22.347419,3.059315
30.773871,22.162581,2.877544
31.609655,22.305862,3.564948
31.014194,21.691613,3.730946
31.605161,23.21129,2.932361
30.316786,22.309643,3.186598
31.027097,22.407742,3.597397
31.582903,22.377097,2.934322
31,22.496786,3.221703
30.046774,22.340645,3.310101
31.515806,22.802581,2.880077
31.040357,22.834286,3.15858
31.398387,22.11871,3.657425
30.540968,23.254194,2.462146
32.751379,23.922069,3.30052
33.207097,23.113871,3.834054
32.625484,23.29,3.868588
33.123214,23.582143,3.912867
34.675161,24.24,4.067668
