@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

21.712581,9.329355,1.364886
27.034194,13.132903,1.969323
27118,12.632667,2.414697
25.439355,11.158065,1.549877
29.230968,14.330323,1.88518
33191,17.818667,2.642962
21.991613,10.135806,1.406852
25.840323,12.272903,1.803905
25.797667,14.340333,2.193154
24.160323,11.194839,1.514586
26.973548,12.483871,1.7615
30.475667,16524,2.309643
25.876452,11.819032,1.603439
30.519355,13.393548,1.851518
34313,17.890667,2.421369
28.975806,15.14129,1.699431
32.886129,15.699677,1.739033
34642,18.580667,2.149026
25.164839,9.86129,1.732825
30.893548,15.549355,1.83275
30.209667,14891,2.031163
26.005161,13.18871,1.787301
27.751613,13.281613,1.662416
34.403667,18.485333,2.253269
27.639032,14.054839,1.953257
27.735806,15.56,1.770497
27267,15.57,1.859283
25.872581,13.155484,1.909801
29.850968,12.703226,1.663915
32.885667,16.247333,1.904205
22.815484,8.269677,1.677526
28.546452,14.335161,1.743796
27344,15.675667,1.688948
26.436774,11.988387,2.052347
31.105161,14.674194,1.903277
31.338333,16.69,1.899202
27.126774,12.399032,2.113063
31.950323,15.60871,1.875502
32047,15.627667,1.691367
27.320968,13.057742,2.295403
26.108065,9.890645,1.670603
29.860333,15.172667,1.77064
23.251613,12.105806,2.091811
26.787742,12.008387,1.941771
32.719667,16274,1.923692
24.815161,10.676129,2.254574
30.997419,13.63871,1.937844
27.556667,13566,1.631385
29.08129,13.734516,2.579393
30.182903,13.70129,1.993536
29.574333,14.903333,1.720006
25.237419,10.683548,2.379396
28.805484,12.874839,2.104166
35667,18103,1.896902
29.944516,13.829032,2.911798
29.913548,14.843871,2.242969
30.838333,13.531667,1.787053
23.172581,12.906774,2.378886
26.712903,13.874194,2.17574
28334,16.179667,1.853772
26.550645,12.77129,2.759528
29.276452,11.862258,2.423925
32275,17455,1.938519
25.792581,13.087742,2.817867
28.09,13.744839,2.388889
31906,14.904333,2.103368
24.14129,11.443871,2.909878
30.755806,14.769032,2.719036
33.765667,16.36,2.098636
24.637742,11.497097,2.927329
27.380323,11.103871,2.58057
31.428667,15.328667,2.146464
25.447742,12.374839,3.033364
30.414516,14.593548,2.946036
34.159667,18.919333,2.372635
26.35871,14.003871,3.097019
33.563871,15.722903,3.131763
33.084333,17.837333,2.486445
26.746129,11.867097,3.371314
29.433226,13.768387,2.982707
29462,13.169667,2.4319
26.220323,10.692903,3.576097
29.550323,14.787097,3.754618
35.804667,18.053333,4.410469
