@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.296333,19.962667,2.933415
24.499677,13.793226,1.932307
23.513667,12.506333,1.666199
30.623333,18.099667,3.168609
27.286774,14.529355,2.343526
25.563667,13901,1.717276
27.558667,17.256333,2.896395
25.597419,16.618065,2.159936
25.355333,15.249333,1.731206
30597,18599,3.379798
26.989677,14.539032,2.369285
24.573333,12.175667,1.847312
30.333667,18.161667,3.4184
28.327097,16.354194,2.655203
24.600333,12.736667,1.895295
28.456667,15.545333,3.382022
27.137742,13.635161,2.740956
28.234333,13.953667,2.104267
28.102667,18.043333,3.244396
26.371613,15.595161,2.753693
23.138333,11.248667,1.965826
27.909667,15.958667,3.408986
26.323548,13.949355,2.867013
23.114333,13.041333,1.859838
27.922667,18.355333,3.182672
23.916774,13.405484,2.699516
24.355333,12.327667,2.201742
28.918667,16.862333,3.588945
26.635484,13.041935,2.972276
25.106333,12.556333,2.411038
31.303333,17.841667,3.951505
26.683226,13.223548,3.124516
25937,14347,2.351541
29315,19.348333,3.613409
24.132258,13.569355,2.874105
22557,11.152667,2.38201
34573,20892,4.346407
28.588387,17.30129,3.260142
28.960333,14681,2.915918
27.785667,16.605667,3.637664
25.432903,12.295161,3.266511
27.121333,13.982667,2.979868
31448,20.129333,3.88026
22.548065,12.834194,2.843835
23.215667,12572,2.653144
33134,20.331667,4.122603
28.300968,14.886129,3.507702
27.740333,15.311667,3.019437
29.067667,18.125333,3.836095
26.357419,11.333548,3.646962
27.663667,13.937667,3.167439
29.957333,18.818333,3.837756
25.790968,13.19129,3.25614
27.801333,12.251667,3.288603
28291,17.383667,3.646399
25.513226,13.280645,3.377707
24.818667,12.321333,2.983417
33.951333,18.745667,4.461278
29.102581,16.175806,3.688471
23929,11.276667,3.099846
29184,17.560667,3.843097
24.414839,13.164839,3.301884
26237,13.432667,3.306332
28.402667,18.330333,3.667011
25.684516,13.862581,3.534606
25011,11.466333,3.229571
30372,18.507333,3.829858
26.657742,14.812903,3.485594
24.81,13.612333,3.092189
27.715333,16706,3.703988
27.74,15.11,3.541786
25.337667,15378,3.226322
29.584667,18889,3.794886
25.940968,15.042581,3.354686
25804,14.328333,3.216152
31.466333,19.515333,4.032716
27.709677,15.920645,3.564616
27.879667,14368,3.573582
33.042667,19.558333,4.048995
25.32871,14.182581,3.392461
22.628333,10.886667,3.16489
27.910333,17.217333,3.596668
26.67,17.929355,3.336166
24353,12.965333,3.31696
