@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

21.712581,9.329355,1.355194
27.034194,13.132903,1.95839
27118,12.632667,2.405399
25.439355,11.158065,1.538443
29.230968,14.330323,1.873001
33191,17.818667,2.631204
21.991613,10.135806,1.397143
25.840323,12.272903,1.792845
25.797667,14.340333,2.184248
24.160323,11.194839,1.503652
26.973548,12.483871,1.749627
30.475667,16524,2.298985
25.876452,11.819032,1.592285
30.519355,13.393548,1.837644
34313,17.890667,2.408312
28.975806,15.14129,1.687857
32.886129,15.699677,1.724184
34642,18.580667,2.135365
25.164839,9.86129,1.720589
30.893548,15.549355,1.819329
30.209667,14891,2.019251
26.005161,13.18871,1.776659
27.751613,13.281613,1.650489
34.403667,18.485333,2.239939
27.639032,14.054839,1.941825
27.735806,15.56,1.759418
27267,15.57,1.848992
25.872581,13.155484,1.8993
29.850968,12.703226,1.650168
32.885667,16.247333,1.89059
22.815484,8.269677,1.667346
28.546452,14.335161,1.731795
27344,15.675667,1.678927
26.436774,11.988387,2.0417
31.105161,14.674194,1.889381
31.338333,16.69,1.886327
27.126774,12.399032,2.102188
31.950323,15.60871,1.8619
32047,15.627667,1.677404
27.320968,13.057742,2.284676
26.108065,9.890645,1.65829
29.860333,15.172667,1.757996
23.251613,12.105806,2.083458
26.787742,12.008387,1.929874
32.719667,16274,1.909374
24.815161,10.676129,2.245192
30.997419,13.63871,1.924425
27.556667,13566,1.619628
29.08129,13.734516,2.569284
30.182903,13.70129,1.980769
29.574333,14.903333,1.70789
25.237419,10.683548,2.370617
28.805484,12.874839,2.092544
35667,18103,1.88152
29.944516,13.829032,2.90175
29.913548,14.843871,2.231918
30.838333,13.531667,1.773367
23.172581,12.906774,2.372408
26.712903,13.874194,2.166279
28334,16.179667,1.843124
26.550645,12.77129,2.752005
29.276452,11.862258,2.412016
32275,17455,1.926199
25.792581,13.087742,2.811117
28.09,13.744839,2.379074
31906,14.904333,2.090256
24.14129,11.443871,2.903473
30.755806,14.769032,2.708441
33.765667,16.36,2.085377
24.637742,11.497097,2.921323
27.380323,11.103871,2.570822
31.428667,15.328667,2.134636
25.447742,12.374839,3.027769
30.414516,14.593548,2.936381
34.159667,18.919333,2.361165
26.35871,14.003871,3.091951
33.563871,15.722903,3.121136
33.084333,17.837333,2.475085
26.746129,11.867097,3.365864
29.433226,13.768387,2.974393
29462,13.169667,2.420754
26.220323,10.692903,3.57347
29.550323,14.787097,3.752131
35.804667,18.053333,4.406752
