@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

31.313871,18.712581,3.400924
30.745667,20.507667,3.561645
31.968387,21.2,3.911873
32.053226,18.084194,3.325881
33.859333,20.050667,3.979052
31.82871,21.527742,3.788629
29.18871,18.682581,2.89375
29467,18.447667,3.433754
32.402258,20.780323,4.121597
32.497097,19.486129,3.098993
33.212333,18.395333,3.782221
31.314839,21.489355,3.775947
32.300323,20.199032,2.949441
31.606333,20.178667,3.638714
31.863548,21.738065,3.749306
29.742581,16.527419,2.693654
31.391333,19.074333,3.45232
32.664516,20.859355,4.008885
31.579355,18.974194,2.780534
30.118667,19.984333,3.201834
30.648065,21.279355,3.470896
33.074194,19.652903,2.668128
31.186333,21658,3.087778
30.294194,20.99871,3.425275
29.579032,18.421613,2.404441
31.713333,19.6,3.254004
31.414516,19.91871,3.637057
35.268065,19.325161,2.428437
33.708667,17.869333,3.115681
34.467419,21.804194,3.829334
32.275161,18.916774,2.501599
31.232333,19.551333,3.006526
30.84871,19.93129,3.415656
31.445484,18.069677,2.348739
30.792333,20991,2.689906
29.189032,19.166129,3.223985
36.809032,22.105806,2.46513
32869,20402,2.735804
31.833548,22.117742,3.245659
31.833226,18.416129,2.065287
32.616333,18.891667,2.659471
30.762903,21.292581,2.949127
30.509032,17.544516,1.955597
30128,18.513667,2.516777
30.769677,19.964839,3.067846
29.975484,19.634194,1.929609
30713,19.320333,2.426314
30.932903,20.722581,2.951284
32.009677,20.844516,1.974655
32797,20.290667,2.450595
30.501935,22.277419,2.656991
36.033871,21.39129,2.040646
31.532333,19.114333,2.186741
32.474516,21.260323,2.957086
33.913548,20.146774,1.908312
32.152667,20471,2.213433
35.153871,20.993226,3.022954
30.194839,18.742581,1.797294
30.611667,22.473333,1.953685
29.254516,21.785806,2.314647
29.170645,16.22129,1.704976
30.560667,17.160667,2.024586
31.492258,21.364194,2.455239
31.929032,18.600645,1.838824
31.410333,18.546667,1.999778
35.215484,20.696452,2.702307
33.202903,19.814839,1.945577
33887,21.510333,2.145576
33.687419,22.862258,2.451041
31.329032,18.316129,1.855099
32.919667,20.186667,1.979857
33.878065,22.491935,2.394077
35.975806,20.625484,2.16638
33.283333,21.144333,1.926294
32.812581,21.961613,2.21597
32.925484,20.532581,2.060097
32.516667,21.768667,1.904466
30.33871,22.403548,1.949677
31.818387,18.139677,2.013242
33.769667,19486,1.869516
31.481935,21.095806,1.994045
33.827419,19.560323,4.023287
32553,19011,4.096335
31.847742,21.782581,3.880964
