@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.197419,21.093871,3.623122
31.6425,19.790357,3.995937
33.056774,21.165161,3.808273
33.487097,21.377097,4.214741
32.8075,19.523214,4.248963
31.386129,20.158387,3.69324
33.914839,21.750968,4.378068
34.278966,22.076552,4.151869
29.020645,20.120323,3.33224
32.382581,21.699355,3.998457
29.773929,19.237857,3.876679
31.755806,20.744194,3.90221
31.505161,20.550645,3.99335
30.836786,21.494286,3.855733
31.337742,19.293548,3.850589
29.65129,21.950968,3.494629
30.324643,21.367143,3.775009
30.719032,20.242258,3.80326
30.719677,21.820645,3.598526
29.930345,21.248966,3.712798
29.385806,20.396452,3.654229
29.634516,21.57129,3.529571
29.837143,21.652857,3.613207
29.29,19.226774,3.730489
33.224516,22.445806,4.096364
32.106429,22.531071,3.889983
30.253548,21.273548,3.693121
30.962581,21.618387,3.73326
31.254286,21.751786,3.954258
31.606452,21.587419,3.97701
34.584194,22.310323,4.166302
32.298621,21.656897,3.950511
29.750645,20.623548,3.618802
30.900645,21.439677,3.62675
29.481786,21.586786,3.489774
29.667419,20.885484,3.721194
31.367097,20.471613,3.683239
30.4725,19.941071,3.821183
32.502258,21.858065,4.087479
30.783226,22.181613,3.503793
30.125714,21.756071,3.548406
30.422258,20.512903,3.824505
33.270968,21.023226,4.003864
34.54069,20.994138,4.322547
33.807419,19.727097,4.447854
29.743226,21.924194,3.268921
32.942143,20.801786,4.185959
35.970645,21.150968,4.5853
33.241613,21.889355,3.802033
31.372143,20.8,3.92168
31.934194,21.279355,4.017036
29.676774,22.447097,2.969559
29.559643,21.574286,3.437226
30.587742,20.030323,4.019972
30.40871,21.267419,3.194643
30.365862,20.60931,3.659009
29.570323,19.300968,3.827305
32.189677,21.130645,3.311549
32.047857,22015,3.735012
32.924839,21.189032,4.241004
29.624839,22.045484,2.821709
29.9175,22.441429,3.24399
30.744194,20.602903,3.806369
31.147097,21.96871,3.072874
28.951071,21.748571,3.059075
28.94871,20.642258,3.41471
32.538387,20.917419,3.142336
33.362069,21.826897,3.789809
32.304839,19.19,4.055918
33.422903,21.052258,3.153
32.736429,21.896071,3.572118
31.800645,20.504516,3.879369
31.447419,21.576774,2.794117
33.618571,21.998929,3.637114
29.565806,20.039032,3.514267
33.478065,22.896129,2.865578
32.955357,22.487143,3.395936
33.432258,20.814839,4.050592
30.581613,22.034516,2.473651
32.164828,22.891379,3.128829
31.478387,19.731613,3.770326
30.969032,21.373871,3.894208
31.046071,21.849643,3.782926
31.178065,20.851613,3.872281
