@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

21.712581,9.329355,1.358536
27.034194,13.132903,1.962019
27118,12.632667,2.407692
25.439355,11.158065,1.542374
29.230968,14.330323,1.876815
33191,17.818667,2.634088
21.991613,10.135806,1.400595
25.840323,12.272903,1.796641
25.797667,14.340333,2.18695
24.160323,11.194839,1.507417
26.973548,12.483871,1.753605
30.475667,16524,2.302216
25.876452,11.819032,1.596212
30.519355,13.393548,1.842168
34313,17.890667,2.412133
28.975806,15.14129,1.691894
32.886129,15.699677,1.72872
34642,18.580667,2.139123
25.164839,9.86129,1.724643
30.893548,15.549355,1.82395
30.209667,14891,2.023052
26.005161,13.18871,1.780474
27.751613,13.281613,1.654682
34.403667,18.485333,2.244466
27.639032,14.054839,1.945799
27.735806,15.56,1.763684
27267,15.57,1.852793
25.872581,13.155484,1.902906
29.850968,12.703226,1.654584
32.885667,16.247333,1.895006
22.815484,8.269677,1.670361
28.546452,14.335161,1.736058
27344,15.675667,1.682713
26.436774,11.988387,2.045047
31.105161,14.674194,1.894054
31.338333,16.69,1.890917
27.126774,12.399032,2.105318
31.950323,15.60871,1.866345
32047,15.627667,1.681841
27.320968,13.057742,2.28771
26.108065,9.890645,1.662093
29.860333,15.172667,1.762462
23.251613,12.105806,2.08587
26.787742,12.008387,1.933884
32.719667,16274,1.914342
24.815161,10.676129,2.247472
30.997419,13.63871,1.928324
27.556667,13566,1.623715
29.08129,13.734516,2.571519
30.182903,13.70129,1.984423
29.574333,14.903333,1.712132
25.237419,10.683548,2.372304
28.805484,12.874839,2.096021
35667,18103,1.88634
29.944516,13.829032,2.903409
29.913548,14.843871,2.23525
30.838333,13.531667,1.777685
23.172581,12.906774,2.373512
26.712903,13.874194,2.169141
28334,16.179667,1.847039
26.550645,12.77129,2.75289
29.276452,11.862258,2.414869
32275,17455,1.930228
25.792581,13.087742,2.811713
28.09,13.744839,2.381501
31906,14.904333,2.094408
24.14129,11.443871,2.903739
30.755806,14.769032,2.710812
33.765667,16.36,2.08924
24.637742,11.497097,2.921236
27.380323,11.103871,2.572658
31.428667,15.328667,2.138186
25.447742,12.374839,3.027368
30.414516,14.593548,2.938113
34.159667,18.919333,2.364693
26.35871,14.003871,3.091255
33.563871,15.722903,3.12242
33.084333,17.837333,2.4784
26.746129,11.867097,3.364649
29.433226,13.768387,2.975342
29462,13.169667,2.423619
26.220323,10.692903,3.569858
29.550323,14.787097,3.748474
35.804667,18.053333,4.402046
