@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

31.313871,18.712581,3.401622
30.745667,20.507667,3.560345
31.968387,21.2,3.908949
32.053226,18.084194,3.326835
33.859333,20.050667,3.977577
31.82871,21.527742,3.786006
29.18871,18.682581,2.895062
29467,18.447667,3.433001
32.402258,20.780323,4.118862
32.497097,19.486129,3.100739
33.212333,18.395333,3.781611
31.314839,21.489355,3.773792
32.300323,20.199032,2.951502
31.606333,20.178667,3.638676
31.863548,21.738065,3.7474
29.742581,16.527419,2.695861
31.391333,19.074333,3.452571
32.664516,20.859355,4.006958
31.579355,18.974194,2.783234
30.118667,19.984333,3.202533
30.648065,21.279355,3.469685
33.074194,19.652903,2.671104
31.186333,21658,3.088892
30.294194,20.99871,3.424405
29.579032,18.421613,2.407439
31.713333,19.6,3.255452
31.414516,19.91871,3.636279
35.268065,19.325161,2.431886
33.708667,17.869333,3.117241
34.467419,21.804194,3.828805
32.275161,18.916774,2.505472
31.232333,19.551333,3.008634
30.84871,19.93129,3.415644
31.445484,18.069677,2.352718
30.792333,20991,2.692168
29.189032,19.166129,3.2243
36.809032,22.105806,2.469696
32869,20402,2.738457
31.833548,22.117742,3.246443
31.833226,18.416129,2.069354
32.616333,18.891667,2.662418
30.762903,21.292581,2.950167
30.509032,17.544516,1.959663
30128,18.513667,2.51992
30.769677,19.964839,3.069227
29.975484,19.634194,1.933679
30713,19.320333,2.429681
30.932903,20.722581,2.953
32.009677,20.844516,1.979033
32797,20.290667,2.454366
30.501935,22.277419,2.658893
36.033871,21.39129,2.045609
31.532333,19.114333,2.190414
32.474516,21.260323,2.959542
33.913548,20.146774,1.912961
32.152667,20471,2.217418
35.153871,20.993226,3.025864
30.194839,18.742581,1.801561
30.611667,22.473333,1.957295
29.254516,21.785806,2.317182
29.170645,16.22129,1.709173
30.560667,17.160667,2.028833
31.492258,21.364194,2.458292
31.929032,18.600645,1.843322
31.410333,18.546667,2.004152
35.215484,20.696452,2.706116
33.202903,19.814839,1.950217
33887,21.510333,2.150419
33.687419,22.862258,2.454768
31.329032,18.316129,1.859414
32.919667,20.186667,1.984487
33.878065,22.491935,2.398056
35.975806,20.625484,2.171383
33.283333,21.144333,1.930874
32.812581,21.961613,2.219923
32.925484,20.532581,2.064434
32.516667,21.768667,1.908913
30.33871,22.403548,1.95327
31.818387,18.139677,2.01735
33.769667,19486,1.874214
31.481935,21.095806,1.998051
33.827419,19.560323,4.019629
32553,19011,4.092695
31.847742,21.782581,3.877837
