@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.859333,19.865333,2.853317
23.656129,13.303226,1.843149
22.205667,11835,1.517877
31.166667,18.232667,3.134798
27.583548,14.604839,2.250244
25.320667,13.735667,1.617268
27.195333,17.134333,2.831355
24.875806,16.233226,2.037358
24.420667,14974,1.606733
30.895333,18.689667,3.353962
25.805806,14.132258,2.244441
23354,11.852333,1.703105
29.629667,18.173333,3.282274
27.894516,16.738387,2.515974
23.693333,12.321333,1.781334
27165,15242,3.228566
25.745806,13.54,2.552007
27081,13.506667,1.964443
27.732667,18181,3.097532
25.38871,15.313226,2.574157
21.877333,11.050333,1.80953
26524,15209,3.215453
25.110323,13.612581,2.664448
22.295333,12.603667,1.787229
27.278333,18.289333,3.114368
23.416129,13.245161,2.623919
22.695333,11.82,2.009259
28501,17.135333,3.490926
25.178387,12.941935,2.784498
23.327667,12.112333,2.177136
30.55,17465,3.868775
25.746452,12.710323,3.001178
25.256667,14.007667,2.279435
29.071333,19.362333,3.534746
23.376129,13.247419,2.705676
22.151333,11.200333,2.308728
34.945667,21561,4.250213
27.230645,17.139355,3.113733
25.761667,14.209667,2.680198
27.528333,16411,3.643449
24.689032,11.992903,3.180363
26.267667,13.900667,2.851387
30.862333,19986,3.806457
22.098065,12.843226,2.799729
22491,12.333667,2.53927
32772,20.521333,3.997195
28.310323,14.725484,3.443796
27119,15.557667,2.918263
28.137333,17.426333,3.682496
24.813871,10.848387,3.471078
26.852333,13579,3.03765
28.683667,18825,3.648209
24.256129,12.911613,3.101112
25.950667,12066,3.119552
29.884333,17.77,3.893396
26.07871,13.39129,3.438221
23.935333,12.031667,2.880281
33.953667,18.862333,4.457751
28.332581,16.067419,3.581746
22549,10.385667,2.975513
27.744667,17.263667,3.599582
23.241613,12.792903,3.092155
24.428333,12.899667,3.12566
27.949333,18.356667,3.609301
24.83,13.686452,3.427055
23.384667,11.024667,3.05504
29.826333,18.219667,3.801484
25.990968,14.557742,3.381198
23.814333,13.199333,3.058348
27.133667,16.296333,3.67935
26.111613,14.677419,3.505252
24.009667,14.680333,3.031471
29.002333,18.616333,3.711386
25.477419,14.721935,3.388364
24679,14.041667,3.083057
31.347333,19302,4.018935
26.77,15.88,3.424413
27.423667,13.843333,3.564629
31.464333,19456,4.046871
23.762581,13.81129,3.285872
21.086667,10265,3.033918
27.417333,17.125667,3.567482
25.856774,17.484839,3.23604
23.441333,12.888667,3.24343
