@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.31871,18.117742,3.098044
30293,20505,3.500218
31.972581,20.884839,3.87286
31.365484,17.763871,3.21296
33.640667,19889,3.918518
31.877419,21.690323,3.756631
28.407742,18.192903,2.841718
28.564667,18.133667,3.291058
31.39871,20.653226,3.917491
30.513548,18.858065,2.919663
30.955333,17.601667,3.541528
31.055161,21.198387,3.714402
31.43129,19.819032,2.761321
30961,19.856333,3.459002
32.967419,22.165161,3.882634
28.195161,16.09,2.499737
31.041333,19.060333,3.329416
32.495161,21.040968,3.947264
30.033226,18.415484,2.58572
29373,19948,3.077621
30.099032,21.313226,3.391103
30.553226,18.841935,2.429483
29724,21.404667,2.830773
30.281613,21.078387,3.479128
28.183226,18.19871,2.213336
29.787667,19.013333,2.986091
30.515484,19.842581,3.491617
33.630968,18.133871,2.327106
33438,18.083333,2.964185
34.523226,21.965484,3.804676
30.378387,18.430968,2.325519
29.674333,19.246667,2.819922
29.987097,19.887742,3.25765
30.179355,17.293548,2.177841
30731,20.720333,2.673699
29.589677,19.051935,3.296302
35.05871,21.273548,2.332862
31.295333,19.976333,2.593377
30.961935,21.860645,3.081613
31.460323,17.955484,1.976832
32.504667,18.700667,2.586033
30.144516,20.935161,2.894816
28.772581,16.822258,1.802867
28.847667,18353,2.338053
29.798387,19.695161,2.93302
28.837097,19.247419,1.794359
30077,18.969333,2.285177
31.264839,20.585161,2.930008
30.856129,20.48129,1.83602
31.164667,19.867333,2.281658
30.580323,22.460645,2.605503
34.602581,20.581613,1.916418
31.081667,18.786333,2.087647
32.686774,21.363226,2.900969
31.574516,19.296129,1.811239
30.915333,20.088667,2.047881
34.479677,20.770968,2.893457
28.975484,18.151935,1.66936
30616,22.580667,1.920163
29.415484,21.884194,2.283381
28.192581,16.064839,1.585492
29.506333,16.955667,1.876233
30.469677,21.376774,2.321873
30.009032,18.073226,1.70851
29.885333,18308,1.793124
33.837097,19.915161,2.574219
32.447097,19.600645,1.827134
33.862667,21.585333,1.974886
33.596452,23.336452,2.35798
29.225484,17.684516,1.705819
31.728333,19.810667,1.818162
33.63,22.424194,2.298698
34.768387,20.190968,2.028586
32.782667,20946,1.837335
33.530968,22.417742,2.177902
30.906129,19.991613,1.908479
30.063333,21443,1.699999
29.56871,22.477419,1.811233
29.681613,17.643226,1.872257
31.317333,18503,1.74872
30.663548,20.916774,1.907109
31.763871,18.918065,3.930785
30.09,18059,3.852033
31.160323,21.723548,3.783112
