@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

30.366129,21.407097,3.661767
31.6125,20.306071,3.908335
33.028387,21.478065,3.708849
34.189032,21.413226,4.256799
33.062857,19.666071,4.239976
32.184516,20.683871,3.709874
35.004516,22.296774,4.401509
34.467931,22.340345,4.121737
28.634516,20.329677,3.220714
31.583548,21.846129,3.904528
29.955357,19.471786,3.894892
31.831935,20.816129,3.911701
31.743871,20.45871,3.956898
31.129286,21.936429,3.878839
31.557419,19.121935,3.844609
30.130968,22.224516,3.593853
30.270714,21.591429,3.716807
29.994516,20.244516,3.651455
30.855161,21.985484,3.707075
29.841034,21.457931,3.660729
29.117742,20.474839,3.597588
29.930323,21.702581,3.553619
29.793571,22.0225,3.54521
28.540645,19.089355,3.590589
32.537419,22.542258,3.927026
31.239286,22.511786,3.740013
30.05129,21.126774,3.676579
31.236774,21.946774,3.763207
31.050357,21.998929,3.930166
31.309677,21.600645,3.907914
34.953226,22.676452,4.1942
31.769655,21.681034,3.934595
30.192258,20.697097,3.68116
30.594516,21.37871,3.582944
29.3275,21.743929,3.47898
29.824839,20.977742,3.763303
31.286452,20.472258,3.665957
30.560714,19.878214,3.83101
34.086774,22.474516,4.295658
31.312903,22.485161,3.594219
30.312143,21.938929,3.579205
29.790323,20.456452,3.778842
32.555161,21.100968,3.854046
33.780345,20.811379,4.205499
33.667097,19.734194,4.415011
30.066774,22.07,3.311162
33.247857,21.026429,4.160293
35.759677,21.527742,4.454563
34.47,22.400323,3.916442
32.6275,21.437143,4.03046
32.043871,21.668065,4.03516
29.602581,22.401613,2.940103
29.848214,21735,3.462496
30.404839,20.569032,3.951025
31.84871,21.451613,3.370331
32.105517,21.394828,3.781028
31.284839,19.771935,3.967282
32.345161,21.337419,3.326387
32.416786,22.213571,3.746436
33.81871,21.527419,4.309345
30.04,22.32129,2.856845
29.854643,22.613929,3.225015
30.194194,20.776774,3.75644
30.925806,22.242581,2.969606
29.192143,22.1625,3.063929
29.051613,20.63871,3.366713
32.940645,20.796452,3.080992
34.151379,22.205862,3.806511
32.20129,18.934839,4.037498
33.504839,21.152903,3.061647
32.098929,22.059643,3.415148
30.484194,20.207742,3.673261
31.767097,21.845161,2.775035
33.983929,22.119643,3.605981
30.538387,20.05129,3.58776
33.870968,23.413226,2.811283
33.382143,22.693571,3.413966
33.433226,21.184516,4.031813
29.906452,22.144839,2.353976
30.448276,22.762414,2.881747
29.795484,19.376129,3.54227
31.466452,21.765161,3.944194
31.435357,22.087857,3.824828
31.078387,20.865484,3.843371
