MES,ANO,TMAX,TMIN,ETP
1,1990,29.9029032258065,20.7093548387097,3.59528760187639
2,1990,30.3307142857143,19.3332142857143,3.78912085633433
3,1990,31.7916129032258,20.5651612903226,3.59213931367698
4,1990,28.7863333333333,19.2686666666667,2.72710388829142
5,1990,23.5567741935484,13.1945161290323,1.8243016278288
6,1990,22358,11755,1.55055838317737
7,1990,20.4061290322581,8.65806451612903,1.28913868881406
8,1990,25.1890322580645,12.4312903225806,1.81312207255652
9,1990,25.47,11.9266666666667,2.225360989552
10,1990,29.5416129032258,18.1454838709677,3.1378991271893
11,1990,29.7853333333333,19.8323333333333,3.42143310003373
12,1990,30.801935483871,20.4474193548387,3.75792896831867
1,1991,32.7664516129032,20.8054838709677,4.10313908194038
2,1991,30.9282142857143,18.7432142857143,3.96974534879344
3,1991,30.3374193548387,19.8145161290323,3.47822147879377
4,1991,29.9276666666667,17.5086666666667,3.06902863198431
5,1991,26.0035483870968,14.0103225806452,2.18761178839729
6,1991,24374,13.3153333333333,1.59121944641809
7,1991,24.2970967741935,10.5967741935484,1.46328093432267
8,1991,27.8706451612903,13.4912903225806,1.77660678822954
9,1991,31.5636666666667,16.9413333333333,2.49633341915068
10,1991,30.7070967741935,17.3345161290323,3.18344711302382
11,1991,32.7363333333333,19.2583333333333,3.85607821621601
12,1991,30.8909677419355,21.0035483870968,3.642572319276
1,1992,33.5203225806452,21.5132258064516,4.2874161816372
2,1992,33.1465517241379,21.7827586206897,3.99254832449263
3,1992,28.0187096774194,19.5348387096774,3.18027575500072
4,1992,26.7576666666667,16.6293333333333,2.78975283897022
5,1992,24.7903225806452,16.0567741935484,2.05466499216069
6,1992,24.4626666666667,14.8166666666667,1.62055268333466
7,1992,20.6364516129032,9.27677419354839,1.3184403221677
8,1992,23.8345161290323,11.5045161290323,1.65571585050389
9,1992,24.5106666666667,13557,2.08127926405491
10,1992,28.0712903225806,17.7970967741935,2.82535192542851
11,1992,28.1196666666667,17.5676666666667,3.25232489012878
12,1992,30.06,19.9677419354839,3.80274556254195
1,1993,30.0074193548387,21.0903225806452,3.65862213502721
2,1993,28.7110714285714,18.5989285714286,3.77497989457153
3,1993,30.5203225806452,20.1687096774194,3.72912838863391
4,1993,29.2566666666667,18.0366666666667,3.19620217648856
5,1993,25.3854838709677,13.8867741935484,2.19715730220188
6,1993,23.5546666666667,11.8593333333333,1.71780341270509
7,1993,22.39,10.4096774193548,1.37224774353485
8,1993,25.4251612903226,11.7990322580645,1.65070742179023
9,1993,28.4753333333333,15.5,2.15219123747476
10,1993,30.4074193548387,18.6251612903226,2.89748265455252
11,1993,30.3483333333333,17225,3.48656438538887
12,1993,30.0325806451613,20.6606451612903,3.54207990905239
1,1994,30.1483870967742,19.8487096774194,3.81740152849218
2,1994,29.7664285714286,20.9539285714286,3.67146622174503
3,1994,29.5767741935484,18.5058064516129,3.60685993159692
4,1994,27.9646666666667,17214,3.12823042978566
5,1994,26.4364516129032,15.7809677419355,2.42180815132641
6,1994,23353,12.1263333333333,1.77349107534577
7,1994,23.9774193548387,11.2745161290323,1.47280176042308
8,1994,27.768064516129,12.3112903225806,1.69741537981285
9,1994,31.6076666666667,16.6043333333333,2.29012759571664
10,1994,30.22,19.2651612903226,2.74127778843475
11,1994,29.7786666666667,19.2693333333333,3.36152463772635
12,1994,30.6177419354839,21.0558064516129,3.59174197014885
1,1995,28.848064516129,21.4832258064516,3.34496666301073
2,1995,29.2253571428571,20.6442857142857,3.60902796300184
3,1995,29.0735483870968,19.3358064516129,3.58930170799642
4,1995,26472,14642,3.12636413094646
5,1995,24.4787096774194,12.5196774193548,2.48449252718294
6,1995,25.5396666666667,12957,1.90610176519631
7,1995,26.2245161290323,14.1322580645161,1.58311574964013
8,1995,30.0661290322581,14.0761290322581,1.67154253851565
9,1995,32.5313333333333,17,2.09810712471936
10,1995,28.1374193548387,15.7277419354839,2.55863238169888
11,1995,30.14,18632,3.27348662503788
12,1995,31.2667741935484,20.2583870967742,3.78483450068881
1,1996,29.7845161290323,21.2145161290323,3.49759168030431
2,1996,29.1779310344828,20.6910344827586,3.59822280834832
3,1996,28.731935483871,19.7441935483871,3.59562401628332
4,1996,27.3113333333333,17578,3.06402723098908
