@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

20.406129,8.658065,1.289139
25.189032,12.43129,1.813122
25.47,11.926667,2.225361
24.297097,10.596774,1.463281
27.870645,13.49129,1.776607
31.563667,16.941333,2.496333
20.636452,9.276774,1.31844
23.834516,11.504516,1.655716
24.510667,13557,2.081279
22.39,10.409677,1.372248
25.425161,11.799032,1.650707
28.475333,15.5,2.152191
23.977419,11.274516,1.472802
27.768065,12.31129,1.697415
31.607667,16.604333,2.290128
26.224516,14.132258,1.583116
30.066129,14.076129,1.671543
32.531333,17,2.098107
23.034516,9.052903,1.57116
28.178387,14.355484,1.716821
27924,13.511333,1.911003
24.962903,12.952258,1.672464
25.815484,12.627419,1.557279
31476,17.228333,2.078728
25.489677,13.475484,1.787181
25.959032,14.788065,1.651511
25655,14.796667,1.726182
24.177742,12.303871,1.76594
27.264839,11.798065,1.542005
30.277667,15153,1.792254
20.919355,7.221935,1.566991
26.74,13.609032,1.639948
25.916667,14901,1.577236
24.41,11.473226,1.873211
28.67871,14.057419,1.772735
29.394667,16015,1.763739
25.122903,11.657097,1.95853
30.268387,14.863871,1.78161
30712,14.500333,1.640968
25.32129,12.563871,2.10061
24.445161,9.039355,1.572433
28.524667,14.446333,1.678614
22.488387,11.600645,1.972802
25.482258,11.753871,1.805851
29.978333,15.364333,1.800777
23.396129,9.954839,2.112673
29.725484,12.908387,1.859481
25.506333,12.482667,1.524217
27.773226,13.339677,2.444613
28.051613,12.636129,1.865285
28.036333,14.080667,1.629718
22.700968,9.515161,2.21968
26.716129,12.06129,1.973741
33.284333,17.030333,1.837965
27.654194,13.216129,2.693041
27.526452,14.105806,2.101295
28.846667,12.52,1.670495
22.10129,12.044516,2.271829
25.578065,13.170645,2.039825
27.383333,15.312333,1.769169
23.88129,11.662581,2.532181
26.602581,10.96129,2.242434
29.959333,15937,1.865148
24.513871,12.800645,2.641972
26.061613,12.909355,2.206184
30.161333,14.026667,1.974555
23.180323,10.987097,2.747854
29.123548,14.241613,2.547107
32054,15397,2.022104
23.414194,11.161935,2.752501
24.944839,10.237097,2.393023
29.386333,14.342333,2.039562
23.81871,11.674194,2.812715
28.557097,14.043548,2.74491
32.147333,18.064333,2.249311
24.327419,13.040323,2.877215
31.4,14.926129,2.954327
30.927333,16917,2.320134
24.253871,11.233871,3.109204
26.720645,13.01871,2.735351
26947,12.076333,2.299008
24.77,10.203871,3.36706
27.80129,14.169677,3.522986
34235,17.341333,4.250694
