@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

28.786333,19.268667,2.727104
23.556774,13.194516,1.824302
22358,11755,1.550558
29.927667,17.508667,3.069029
26.003548,14.010323,2.187612
24374,13.315333,1.591219
26.757667,16.629333,2.789753
24.790323,16.056774,2.054665
24.462667,14.816667,1.620553
29.256667,18.036667,3.196202
25.385484,13.886774,2.197157
23.554667,11.859333,1.717803
27.964667,17214,3.12823
26.436452,15.780968,2.421808
23353,12.126333,1.773491
26472,14642,3.126364
24.47871,12.519677,2.484493
25.539667,12957,1.906102
27.311333,17578,3.064027
25.409032,14.947742,2.632177
21657,10543,1.825451
26.063333,15.149333,3.119048
24.347097,13.411935,2.617748
22.368333,12.628333,1.7813
26.935667,17.815333,3.027394
23.177742,12.817419,2.581248
22.970333,11.883667,2.0246
27.279333,16.332667,3.333792
24.340645,12.06129,2.715261
23.286333,11.996333,2.213525
30.217333,17.262667,3.80072
24.381613,12.392903,2.838771
23938,13.726333,2.165496
28.476333,18.905333,3.434598
23.168065,12.996774,2.704066
21.615333,10679,2.242125
33.352333,20.340333,4.101352
26.754516,16.766129,3.02495
26299,14021,2.680737
26.735667,15901,3.470024
24.10871,11.923871,3.033697
25595,13421,2.794936
29.640333,19307,3.585806
21.483871,11.975161,2.759136
22.671333,12.275333,2.516503
31.478667,19.392667,3.914255
27.026129,14.527097,3.316471
26391,15.097333,2.814412
27.906333,17.395333,3.637484
24.645806,10.608387,3.41409
25.990667,13.315333,2.953768
28139,18319,3.515868
23.680645,12.351613,3.003362
25.057667,11.513333,3.016978
27.012333,16.741333,3.451021
24.07871,12.596774,3.162411
22.654667,11253,2.783812
33579,18.402667,4.406464
27.686774,15.750968,3.447373
22.501333,10.509667,2.907973
27.275667,16.945667,3.483155
22.615161,12.577097,2.977149
24388,13.174333,3.010623
27.899667,17.97,3.580182
24.941613,13.493226,3.438706
23902,11.189333,3.046555
28109,17.531333,3.539006
25.426129,14.301935,3.234103
23.422667,12.912667,2.927025
26.776333,16.109333,3.574273
25.744839,14.450645,3.331338
23.728333,14497,3.018702
28387,18.27,3.587452
24.533226,14.601935,3.152721
24.317333,13.989333,3.018169
28.928667,18549,3.666945
25.482903,15.31,3.205019
25.99,13.601333,3.300274
30121,18.787667,3.712956
23.463871,13.331935,3.156245
21189,10.076667,2.986435
26.877667,16.597667,3.431011
25.600323,17.252581,3.208128
23.554667,12.529333,3.196201
