@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.902903,20.709355,3.595288
30.330714,19.333214,3.789121
31.791613,20.565161,3.592139
32.766452,20.805484,4.103139
30.928214,18.743214,3.969745
30.337419,19.814516,3.478221
33.520323,21.513226,4.287416
33.146552,21.782759,3.992548
28.01871,19.534839,3.180276
30.007419,21.090323,3.658622
28.711071,18.598929,3.77498
30.520323,20.16871,3.729128
30.148387,19.84871,3.817402
29.766429,20.953929,3.671466
29.576774,18.505806,3.60686
28.848065,21.483226,3.344967
29.225357,20.644286,3.609028
29.073548,19.335806,3.589302
29.784516,21.214516,3.497592
29.177931,20.691034,3.598223
28.731935,19.744194,3.595624
29.185806,21.113548,3.452146
29.251071,21.374643,3.49567
28.26871,18.633226,3.548001
31.643871,21.762581,3.881779
30.410714,21.8025,3.61094
29.435161,20.630968,3.57374
29.886129,21.008387,3.619512
30.013929,21.188214,3.727669
29.847742,20.917742,3.714975
33.987419,21.914516,4.088972
31.997241,21.255517,3.958559
29.408065,20.214194,3.557532
29.837419,20.893226,3.472336
28.723929,21.223571,3.3367
29.045806,20.321613,3.617603
30.433871,19.969032,3.56068
29.157143,19.398929,3.610367
31.332258,21.405484,3.873634
29.973871,21.669355,3.393591
29.387857,21.399643,3.459457
29.186452,19.839677,3.642741
31.837742,20.286129,3.848346
33.348621,20.226552,4.134217
32.422581,19.195484,4.232248
29.211613,21.430645,3.181905
31145,20.335714,3.873658
34.124194,20.265806,4.363867
32.460968,21.317097,3.718046
30.408929,20.190714,3.74538
31.02129,20.701613,3.877776
29.168065,21.984839,2.89068
28.920357,21.055357,3.373124
29.552258,19.72129,3.854276
29.508387,20.714516,3.054014
29.506207,20.073103,3.537121
28.784516,18.767742,3.677582
30.682581,20.490968,3.106152
31045,21.612143,3.585374
32.811613,20.922581,4.161642
29.240323,21.586774,2.773547
29.401429,22.075357,3.148494
29.580323,20.212903,3.627598
30.695161,21.542258,3.024512
28.795357,21.308571,3.058283
29.109032,20.276129,3.451224
31.308065,20.170968,3.023252
32.36069,21.432414,3.562713
30.964516,18.507742,3.844862
32.190968,20.373548,3.013996
31.858929,21.411786,3.469443
30.776774,19.825161,3.647887
30.148387,21.085806,2.630606
32.416429,21.460357,3.455295
28.903548,19.284516,3.398679
31.748065,22.355161,2.664201
31.178214,21.859286,3.158307
31.741935,20.099032,3.814453
29.466129,21.619032,2.358336
29.912069,22.287931,2.832325
29.227742,18.855484,3.428173
30.239032,20.863871,3.736964
30.141071,21.25,3.664657
30.152258,20.264194,3.696314
