@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

22.340968,9.594839,1.389873
27.86,13.706774,1.974557
27465,12978,2.40466
25.231613,11.369032,1.547901
29.355161,14.557742,1.885806
33.166667,18.010333,2.614718
22.302258,10.280968,1.411253
26.529677,12.631613,1.802559
25.720333,14.476667,2.156257
24.465806,11.442258,1.511058
27.338065,12.863548,1.760497
30.790333,16.657667,2.31764
26.009032,12.14871,1.576561
31.116774,13.929032,1.817811
34.704667,18.71,2.39054
28.963548,15.258387,1.698347
32.786774,16.138065,1.713188
35.000667,18908,2.157154
25.934516,10.131613,1.733827
31.641613,16.365806,1.830186
30.202333,14794,2.027457
26.249032,13.406452,1.787412
28.120645,13.752903,1.662406
34.770667,18.988333,2.258194
28.470968,14.435806,1.971842
27.861613,15.688387,1.780719
27625,15.559667,1.87554
26.793226,13.536774,1.938254
30.67129,13.575806,1.629612
32939,16801,1.857118
23.062903,8.572258,1.648566
28.785806,14.734194,1.724767
27667,15923,1.700382
26.903548,12.557097,2.031338
31.788387,15.490968,1.879117
31.584667,17065,1.888616
27.82,13.091613,2.096957
32.1,16.029677,1.857272
32.202667,16.159667,1.67586
27.605484,13.42129,2.240566
26.432258,10.342903,1.671961
29.813333,15.475333,1.754078
23.632258,12.337419,2.094981
27.977742,12.521613,1.98795
33452,16.778667,1.894158
24.970968,10.957742,2.197315
31.246774,14.142903,1.912872
28.243333,13.749667,1.64163
29.470645,14.492258,2.52383
30.327097,14.166774,1.950644
29722,15.161333,1.727263
25.912581,11.146129,2.36004
29.685484,13.307419,2.091759
35.989667,18.849333,1.862901
29.963871,14.228065,2.856376
30.521935,15.112258,2.225813
31374,14136,1.739145
23.942258,13.148387,2.354837
27.102903,14.178387,2.156144
29.049667,16386,1.868278
26.970645,12.885484,2.746478
30.034839,12.764516,2.381682
32504,18.092667,1.955737
27.021613,13.617419,2.849161
29.570645,14.570645,2.400236
32.989333,15.576667,2.08228
24.399032,11.388387,2.806963
31.580323,15.203871,2.723526
33.978333,16.903333,2.079259
24.922581,11.695161,2.870909
27.594194,11.436452,2.476018
31.900667,15821,2.112458
25.665161,12.878387,2.925837
30.518065,15.092903,2.849168
34244,19394,2.36541
26.147419,14.144194,2.983774
33.396774,16.184839,3.020993
33.070333,18.16,2.428163
26.91129,12.103548,3.287162
29.708387,14.125161,2.938731
29.687333,13.292667,2.414268
26.923226,11.247097,3.565606
30.498387,15.471613,3.753268
36295,18961,4.297964
