@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

31.685806,19.066452,3.425803
30326,20312,3.470301
30.899355,20.845806,3.764249
31.439677,17.97,3.245532
32742,19.871667,3.808052
30.83871,21.265161,3.569641
28.967742,18.853548,2.831417
29.247333,18.397667,3.36044
31.833871,20.74,4.013074
32.527742,19.780323,3.046403
33.254667,18.805333,3.685777
30.971613,21.436129,3.65225
32.327097,20.349355,2.919636
31667,20.209667,3.540669
31.014194,21.457419,3.576988
30.152258,16.840323,2.684782
31.228333,18.960667,3.381009
32.175161,20.669677,3.850488
31.985484,19.189677,2.75062
30.09,20039,3.155164
30.749355,21.223548,3.418398
33.722258,20.060323,2.674359
31.746667,21779,3.164345
29.947419,20.893226,3.318968
30.177097,18.584516,2.45447
31947,19886,3.224461
30.864839,19.803548,3.544435
35.350968,19.797742,2.439631
33.333667,17762,3.128857
33.83871,21.525806,3.734509
32.99871,19.333226,2.514547
31.149667,19.675667,2.9233
30.180968,19.714839,3.311367
30.65129,18.163226,2.300125
30241,20.828333,2.652297
28.640323,19.143548,3.109312
36.47871,22.462258,2.416778
32.755333,20.512333,2.674746
31.738387,22.068065,3.143472
31.170645,18.470323,2.038403
31.628333,18808,2.586122
29.76871,20.999355,2.779527
30.697419,17.81,1.944078
30.028333,18.52,2.489001
30.763548,20.064194,3.011163
30.43129,19.727419,1.936061
30.153333,19.433667,2.357573
30.002258,20.544194,2.867787
31.911935,20.876452,2.006229
32.195667,20133,2.390131
30.172581,22.042258,2.586673
35.734516,21.559355,2.036333
31125,19.085667,2.186026
31.512903,21.063548,2.853706
33.896129,20.395806,1.923454
32379,20.553333,2.210392
34.270323,20.792903,2.99442
30.367097,19.050323,1.808665
30.417333,22.327667,1.953232
28.674839,21.57871,2.216365
29.103226,16.199677,1.722335
30415,16.969333,2.01183
32.193871,21.350968,2.530244
32.760645,19.098065,1.838398
32.357667,18718,2.070563
35.179677,20.858065,2.71502
33.284194,20.150323,1.965838
33687,21.499667,2.15832
33.775161,22.799032,2.442215
31.47871,18.43129,1.845733
32433,20169,1.963666
33.074839,22.311613,2.365894
36.073871,21.069677,2.141008
32.463667,21.036333,1.908692
32.27129,21.722258,2.197253
33.306129,20.635806,2.067226
33561,21.966333,1.901134
30.528065,22.283871,1.956521
31.812581,18.160323,2.03832
33.505333,19.535333,1.882608
31.039355,20.984839,1.942201
33.659355,19.757097,3.905609
31828,19253,3.910864
31.030645,21.554194,3.709793
