@relation verao.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.449355,20.733871,3.494951
30.308214,19.240357,3.813439
31.619355,20.675484,3.599807
32.048387,21.054194,3.939029
31.696786,19.4725,3.957341
29.908065,19.704839,3.49112
32.107742,21.208387,4.032401
33.186552,21.727241,3.952075
28.674516,19.782581,3.266334
31.678065,21.334516,3.885679
29.446429,18935,3.749593
31.839355,20.638065,3.875822
31.384194,20.394516,3.960776
30.667857,21.159286,3.784709
30.884516,19.308387,3.761932
28.676452,21.631613,3.237063
29.516786,21.046071,3.555228
30.258065,19.871935,3.702209
30.036129,21.492903,3.425196
29.508276,20.887931,3.587225
29.18,20.109677,3.606421
29.316129,21.235161,3.459701
29.313571,21.279286,3.467903
29.108387,19.113548,3.652277
33.09,22.292581,4.043748
32.264643,22.389643,3.859836
30.025806,21.176129,3.58708
30.071613,21.247742,3.602169
30.6275,21.422857,3.767204
30.794839,21.356129,3.783524
34.154839,22.061935,4.067225
31.802069,21.423103,3.800686
29.199355,20.518387,3.499765
29.83,21.15,3.436624
29.219643,21.286071,3.373126
29.138387,20.617419,3.52194
31.161613,20.447419,3.624772
30.478571,20.025357,3.768292
31.121935,21.437742,3.785894
29.983871,21.919355,3.305041
29.464286,21.373929,3.431145
29.838387,20.33871,3.645422
32.468065,20.811613,3.898102
33.643793,20.804483,4.123752
33.30129,19.758387,4.283255
29.512903,21.742903,3.178229
32.696071,20.732143,4.141322
35.124839,20.628065,4.516959
31.903226,21.347419,3.599356
30.696429,20.548571,3.766895
30.98129,20.902258,3.824771
29.138387,22.292258,2.788515
28.886071,21.427857,3.275409
29.95129,19.746129,3.906131
29.977097,21.293871,3.032375
29.482069,20.271724,3.441494
28.994194,19.037742,3.712397
31.35129,20.730323,3.193344
31.213929,21.633929,3.584717
32.316452,21.121935,4.13911
29.090323,21.679032,2.718862
29.426786,22.233929,3.086011
30.358387,20.534839,3.628822
31.158065,21.790968,3.055421
28.706786,21.400714,2.986628
28.843871,20.576129,3.338452
32.262258,21.117097,3.122576
32.288966,21.524483,3.573824
31.937097,19.183871,3.971915
33.362581,20.95871,3.119309
32.572143,21.764643,3.527568
31.759677,20.491935,3.780305
30.521935,21.090645,2.703753
32.991071,21.712143,3.493811
29.483871,20.119032,3.442509
33.07,22.442258,2.846088
32.836071,22.3475,3.370295
33.506129,20.717742,4.000608
29.918387,21.733226,2.368808
30.57,22.458966,2.868275
29.917097,19.369677,3.50759
30.398065,21.086452,3.720316
29.908571,21.55,3.566976
30.857742,20.736774,3.742799
