Mês,Ano,Tmáx,Tmin,ETP
1,1990,30.3661290322581,21.4070967741935,3.65769136430402
2,1990,31.6125,20.3060714285714,3.9069784417221
3,1990,33.0283870967742,21.478064516129,3.71325110162537
4,1990,29.8593333333333,19.8653333333333,2.86278471872203
5,1990,23.6561290322581,13.3032258064516,1.85489370403844
6,1990,22.2056666666667,11835,1.53184659592044
7,1990,20.398064516129,8.90548387096774,1.27358958568477
8,1990,24.8748387096774,12.2854838709677,1.79503422953765
9,1990,25.1476666666667,12.16,2.22103434760067
10,1990,29.3187096774194,18.1177419354839,3.10436180838648
11,1990,30293,20505,3.50090874141842
12,1990,31.9725806451613,20.8848387096774,3.86934542994551
1,1991,34.1890322580645,21.4132258064516,4.25174192368034
2,1991,33.0628571428571,19.6660714285714,4.23770627422927
3,1991,32.1845161290323,20.6838709677419,3.71325447295966
4,1991,31.1666666666667,18.2326666666667,3.14464221247133
5,1991,27.5835483870968,14.6048387096774,2.26392812317084
6,1991,25.3206666666667,13.7356666666667,1.63174868853959
7,1991,24.9538709677419,10.8564516129032,1.4707312060163
8,1991,28.2409677419355,13.97,1.78341811040636
9,1991,32088,16.9606666666667,2.48898534996514
10,1991,31.3654838709677,17.7638709677419,3.22119542395811
11,1991,33.6406666666667,19889,3.9205834448933
12,1991,31.8774193548387,21.6903225806452,3.75372454541989
1,1992,35.0045161290323,22.2967741935484,4.39618669870776
2,1992,34.4679310344828,22.3403448275862,4.11883498797909
3,1992,28.6345161290323,20.3296774193548,3.22257225950209
4,1992,27.1953333333333,17.1343333333333,2.83866224222727
5,1992,24.8758064516129,16.2332258064516,2.04773598169445
6,1992,24.4206666666667,14974,1.61950906278262
7,1992,20.6958064516129,9.87354838709677,1.30247300954332
8,1992,23.7632258064516,11.8138709677419,1.6164968822915
9,1992,24.7793333333333,14071,2.05718983616207
10,1992,28.4077419354839,18.1929032258064,2.84955521484324
11,1992,28.5646666666667,18.1336666666667,3.29353816811344
12,1992,31.3987096774194,20.6532258064516,3.91505549493244
1,1993,31.5835483870968,21.8461290322581,3.89993768499364
2,1993,29.9553571428571,19.4717857142857,3.89161390218213
3,1993,31.831935483871,20.8161290322581,3.91300102686358
4,1993,30.8953333333333,18.6896666666667,3.36158882982935
5,1993,25.8058064516129,14.1322580645161,2.25562235313927
6,1993,23354,11.8523333333333,1.71688893346093
7,1993,22.6932258064516,10.8935483870968,1.39191125245168
8,1993,25.7412903225806,12.1293548387097,1.62882214085899
9,1993,28.8463333333333,15856,2.16517302221527
10,1993,30.5135483870968,18.858064516129,2.92904881686038
11,1993,30.9553333333333,17.6016666666667,3.54540421810871
12,1993,31.0551612903226,21.1983870967742,3.71274001089526
1,1994,31.7438709677419,20.4587096774194,3.95231240714707
2,1994,31.1292857142857,21.9364285714286,3.875141714508
3,1994,31.5574193548387,19.121935483871,3.84502039752952
4,1994,29.6296666666667,18.1733333333333,3.28847775000535
5,1994,27.8945161290323,16.7383870967742,2.5270170186738
6,1994,23.6933333333333,12.3213333333333,1.79482082232598
7,1994,24.2409677419355,11.5606451612903,1.4956095157565
8,1994,28.0709677419355,12.5916129032258,1.70794524818996
9,1994,32716,16.7173333333333,2.30362336046042
10,1994,31.4312903225806,19.8190322580645,2.77139105835071
11,1994,30961,19.8563333333333,3.46371520793411
12,1994,32.9674193548387,22.1651612903226,3.88166306521053
1,1995,30.1309677419355,22.2245161290323,3.58999422874849
2,1995,30.2707142857143,21.5914285714286,3.71293151482537
3,1995,29.9945161290323,20.2445161290323,3.65092707789138
4,1995,27165,15242,3.23367164150986
5,1995,25.7458064516129,13.54,2.56244116308329
6,1995,27081,13.5066666666667,1.9788485319182
7,1995,27.5074193548387,14.9329032258065,1.6182955706505
8,1995,31.7487096774194,14.9187096774194,1.69470523506286
9,1995,32.7423333333333,17.5603333333333,2.0304197462916
10,1995,28.1951612903226,16.09,2.51029075277785
11,1995,31.0413333333333,19.0603333333333,3.3352169563614
12,1995,32.4951612903226,21.0409677419355,3.94718193964434
1,1996,30.8551612903226,21.9854838709677,3.70336466273978
2,1996,29.8410344827586,21.4579310344828,3.65667055127071
3,1996,29.1177419354839,20.4748387096774,3.59631766804093
4,1996,27.7326666666667,18181,3.10117869208699
5,1996,25.3887096774193,15.3132258064516,2.5830772503057
6,1996,21.8773333333333,11.0503333333333,1.82139524975591
7,1996,22.8454838709677,9.33741935483871,1.53960551645252
8,1996,28.2654838709677,14.1974193548387,1.69274432218197
9,1996,28.5083333333333,14283,1.92181125168757
10,1996,30.0332258064516,18.4154838709677,2.59743072238963
11,1996,29373,19948,3.08373464661497
12,1996,30.0990322580645,21.3132258064516,3.39173503044567
1,1997,29.9303225806452,21.7025806451613,3.55044511176943
2,1997,29.7935714285714,22.0225,3.54114571145089
3,1997,28.5406451612903,19.0893548387097,3.58868014370703
4,1997,26524,15209,3.21848852595788
5,1997,25.1103225806452,13.6125806451613,2.67286858848629
6,1997,22.2953333333333,12.6036666666667,1.79770112207551
7,1997,24.9929032258064,12.998064516129,1.69550592576711
8,1997,25.9003225806452,12.7206451612903,1.55329330241435
9,1997,31.0573333333333,17175,2.07889808205724
10,1997,30.5532258064516,18.841935483871,2.44154824375932
11,1997,29724,21.4046666666667,2.83719410165207
12,1997,30.2816129032258,21.0783870967742,3.48063967268377
1,1998,32.5374193548387,22.5422580645161,3.92398582529142
2,1998,31.2392857142857,22.5117857142857,3.73562950637953
3,1998,30.0512903225806,21.1267741935484,3.67401225320473
4,1998,27.2783333333333,18.2893333333333,3.11618936614773
5,1998,23.4161290322581,13.2451612903226,2.63092357596458
6,1998,22.6953333333333,11.82,2.02020638104129
7,1998,24.991935483871,13.5196774193548,1.74734313059313
8,1998,25.9116129032258,15.1767741935484,1.60544830417843
9,1998,25.5756666666667,15371,1.67853209042442
10,1998,28.1832258064516,18.1987096774193,2.22514731840149
11,1998,29.7876666666667,19.0133333333333,2.99437663412209
12,1998,30.5154838709677,19.8425806451613,3.49421773925782
1,1999,31.2367741935484,21.9467741935484,3.76087230849123
2,1999,31.0503571428571,21.9989285714286,3.92557039511672
3,1999,31.3096774193548,21.6006451612903,3.90463402741832
4,1999,28501,17.1353333333333,3.49219093824594
5,1999,25.1783870967742,12.941935483871,2.79113316544339
6,1999,23.3276666666667,12.1123333333333,2.18799911781525
7,1999,24.2564516129032,12.6406451612903,1.7664114493672
8,1999,27.8977419354839,12.0787096774194,1.53908102978568
9,1999,31449,15.3646666666667,1.78523308620872
10,1999,33.6309677419355,18.1338709677419,2.34297843774084
11,1999,33438,18.0833333333333,2.97512856948576
12,1999,34.5232258064516,21.9654838709677,3.80881863544309
1,2000,34.9532258064516,22.6764516129032,4.19233697444645
2,2000,31.7696551724138,21.6810344827586,3.93008234963931
3,2000,30.1922580645161,20.6970967741935,3.67764255431328
4,2000,30.55,17465,3.86921588146308
5,2000,25.7464516129032,12.7103225806452,3.00727531457688
6,2000,25.2566666666667,14.0076666666667,2.28971812259569
7,2000,21.398064516129,7.58,1.57635905863199
8,2000,26.9612903225806,13.621935483871,1.62683849189938
9,2000,26.0176666666667,15.4826666666667,1.57877783330145
10,2000,30.3783870967742,18.4309677419355,2.34049760643909
11,2000,29.6743333333333,19.2466666666667,2.82997545574938
12,2000,29.9870967741935,19.8877419354839,3.26200872195068
1,2001,30.5945161290323,21.3787096774194,3.58203307199408
2,2001,29.3275,21.7439285714286,3.47525246969963
3,2001,29.8248387096774,20.9777419354839,3.7593754500732
4,2001,29.0713333333333,19.3623333333333,3.53423195130206
5,2001,23.3761290322581,13.2474193548387,2.70997642841697
6,2001,22.1513333333333,11.2003333333333,2.3180983600029
7,2001,24.7174193548387,11.5667741935484,1.88206138361456
8,2001,29.3364516129032,14.2187096774194,1.8028059205475
9,2001,29.3686666666667,16.0503333333333,1.72262334409033
10,2001,30.1793548387097,17.2935483870968,2.19366504454753
11,2001,30731,20.7203333333333,2.68424821262999
12,2001,29.5896774193548,19.051935483871,3.30191145999813
1,2002,31.2864516129032,20.4722580645161,3.66584914291598
2,2002,30.5607142857143,19.8782142857143,3.82713084938185
3,2002,34.0867741935484,22.4745161290323,4.29080133370928
4,2002,34.9456666666667,21561,4.24877978360457
5,2002,27.2306451612903,17.1393548387097,3.11748359026725
6,2002,25.7616666666667,14.2096666666667,2.6896548911537
7,2002,24.2461290322581,11.5541935483871,1.90597826744958
8,2002,29.6890322580645,14.7445161290323,1.78082286689091
9,2002,29.7356666666667,14.2666666666667,1.64200382024489
10,2002,35.0587096774193,21.2735483870968,2.35046147322341
11,2002,31.2953333333333,19.9763333333333,2.60506612551778
