@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

20.398065,8.905484,1.27359
24.874839,12.285484,1.795034
25.147667,12.16,2.221034
24.953871,10.856452,1.470731
28.240968,13.97,1.783418
32088,16.960667,2.488985
20.695806,9.873548,1.302473
23.763226,11.813871,1.616497
24.779333,14071,2.05719
22.693226,10.893548,1.391911
25.74129,12.129355,1.628822
28.846333,15856,2.165173
24.240968,11.560645,1.49561
28.070968,12.591613,1.707945
32716,16.717333,2.303623
27.507419,14.932903,1.618296
31.74871,14.91871,1.694705
32.742333,17.560333,2.03042
22.845484,9.337419,1.539606
28.265484,14.197419,1.692744
28.508333,14283,1.921811
24.992903,12.998065,1.695506
25.900323,12.720645,1.553293
31.057333,17175,2.078898
24.991935,13.519677,1.747343
25.911613,15.176774,1.605448
25.575667,15371,1.678532
24.256452,12.640645,1.766411
27.897742,12.07871,1.539081
31449,15.364667,1.785233
21.398065,7.58,1.576359
26.96129,13.621935,1.626838
26.017667,15.482667,1.578778
24.717419,11.566774,1.882061
29.336452,14.21871,1.802806
29.368667,16.050333,1.722623
24.246129,11.554194,1.905978
29.689032,14.744516,1.780823
29.735667,14.266667,1.642004
25.870645,12.713226,2.161035
24.566774,9.345806,1.557505
29.089333,14.561333,1.660249
22.282258,11.868387,1.934807
24.971613,11.707097,1.733478
29.480333,15.532333,1.791835
23.906774,10.287419,2.131049
29.587097,13.016452,1.860202
25.435333,13116,1.493944
27.994194,13.316774,2.517223
28.783871,13.212903,1.902982
28.167667,14244,1.580041
23.146452,10.11,2.233904
27.374194,12.691935,2.003879
33.924333,17359,1.820368
29.180323,13.463226,2.848662
27.282581,14.568387,2.103713
27926,12.439667,1.656496
21.88129,12.287742,2.237895
25.536774,13.436452,2.078045
27051,15.836333,1.723196
24.453226,12.295161,2.599848
27.209032,11.224194,2.303706
30.760333,16.281667,1.878211
24.076129,12.825161,2.639234
25.087742,12.815806,2.185937
28.573333,13.940333,1.934628
23.305806,11.611935,2.7931
28.944839,14.612581,2.598672
32246,15.615667,2.04404
23.083226,11.080968,2.805773
24.506452,10.554839,2.405839
29.090333,14531,2.024257
24.047742,11.899032,2.888581
28.966774,13.956452,2.838687
32.550667,18.138667,2.308573
24.277742,13.457742,2.91459
30.680968,14.743548,3.045299
31125,16.772667,2.354473
24.182258,11.525806,3.1492
26.338065,13.111935,2.820684
26967,12.459667,2.295173
24.113871,10.36129,3.424692
26.887742,14.158065,3.499085
33.221667,17.050667,4.283754
