@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

29.859333,19.865333,2.862785
23.656129,13.303226,1.854894
22.205667,11835,1.531847
31.166667,18.232667,3.144642
27.583548,14.604839,2.263928
25.320667,13.735667,1.631749
27.195333,17.134333,2.838662
24.875806,16.233226,2.047736
24.420667,14974,1.619509
30.895333,18.689667,3.361589
25.805806,14.132258,2.255622
23354,11.852333,1.716889
29.629667,18.173333,3.288478
27.894516,16.738387,2.527017
23.693333,12.321333,1.794821
27165,15242,3.233672
25.745806,13.54,2.562441
27081,13.506667,1.978849
27.732667,18181,3.101179
25.38871,15.313226,2.583077
21.877333,11.050333,1.821395
26524,15209,3.218489
25.110323,13.612581,2.672869
22.295333,12.603667,1.797701
27.278333,18.289333,3.116189
23.416129,13.245161,2.630924
22.695333,11.82,2.020206
28501,17.135333,3.492191
25.178387,12.941935,2.791133
23.327667,12.112333,2.187999
30.55,17465,3.869216
25.746452,12.710323,3.007275
25.256667,14.007667,2.289718
29.071333,19.362333,3.534232
23.376129,13.247419,2.709976
22.151333,11.200333,2.318098
34.945667,21561,4.24878
27.230645,17.139355,3.117484
25.761667,14.209667,2.689655
27.528333,16411,3.641507
24.689032,11.992903,3.183469
26.267667,13.900667,2.860354
30.862333,19986,3.803789
22.098065,12.843226,2.801536
22491,12.333667,2.546098
32772,20.521333,3.993801
28.310323,14.725484,3.445119
27119,15.557667,2.92499
28.137333,17.426333,3.678949
24.813871,10.848387,3.471591
26.852333,13579,3.043804
28.683667,18825,3.644372
24.256129,12.911613,3.100756
25.950667,12066,3.124735
29.884333,17.77,3.888952
26.07871,13.39129,3.437095
23.935333,12.031667,2.884068
33.953667,18.862333,4.452337
28.332581,16.067419,3.579849
22549,10.385667,2.97846
27.744667,17.263667,3.59529
23.241613,12.792903,3.090007
24.428333,12.899667,3.127697
27.949333,18.356667,3.605049
24.83,13.686452,3.424162
23.384667,11.024667,3.056258
29.826333,18.219667,3.797066
25.990968,14.557742,3.377923
23.814333,13.199333,3.058697
27.133667,16.296333,3.675309
26.111613,14.677419,3.501518
24.009667,14.680333,3.031083
29.002333,18.616333,3.707633
25.477419,14.721935,3.384523
24679,14.041667,3.082023
31.347333,19302,4.01527
26.77,15.88,3.420371
27.423667,13.843333,3.562741
31.464333,19456,4.043721
23.762581,13.81129,3.281949
21.086667,10265,3.031813
27.417333,17.125667,3.563423
25.856774,17.484839,3.232408
23.441333,12.888667,3.239719
