,MES,ANO,TMAX,TMIN,ETP
,1,1990,29.8016129032258,20.9374193548387,3.56893481707396
,2,1990,30.9789285714286,19.6692857142857,3.92903736129429
,3,1990,32.3258064516129,21.1993548387097,3.72763172214961
,4,1990,30.1883333333333,20.1173333333333,3.00622630050489
,5,1990,25.29,14.09,2.0261896563648
,6,1990,24.7803333333333,13.2216666666667,1.77359956917279
,7,1990,22.9854838709677,9.98258064516129,1.46172133454002
,8,1990,27.6964516129032,13.87,2.02441809370125
,9,1990,27373,13164,2.47712349261886
,10,1990,31.5022580645161,19.1351612903226,3.49372648021275
,11,1990,31.1983333333333,20.7216666666667,3.66745517703425
,12,1990,31.3209677419355,21.2758064516129,3.79813795639615
,1,1991,31.6329032258065,21.2348387096774,3.87690499830367
,2,1991,31.5510714285714,19.8335714285714,3.96812428783706
,3,1991,29.9190322580645,19.7248387096774,3.52029352221236
,4,1991,29.1046666666667,18.1723333333333,2.97590261945831
,5,1991,27.1761290322581,14.7451612903226,2.3436994519712
,6,1991,26.01,14465,1.78711182288114
,7,1991,25.901935483871,11.8129032258065,1.63784038104954
,8,1991,29.9561290322581,14.8961290322581,1.95655228157641
,9,1991,33.4633333333333,18.3506666666667,2.66460035163151
,10,1991,32.0929032258064,18.4929032258065,3.34962853598263
,11,1991,33.6236666666667,20364,3.98027671001585
,12,1991,31.5903225806452,21.4783870967742,3.70885816191371
,1,1992,32.6054838709677,21.2238709677419,4.10294364775927
,2,1992,32.6313793103448,21.4862068965517,3.88935253421636
,3,1992,29.6770967741935,20.1787096774194,3.41073010817637
,4,1992,28232,17966,2.93142041430712
,5,1992,26.4287096774193,16.878064516129,2.25065489705474
,6,1992,26489,15681,1.84801071603667
,7,1992,23.9422580645161,11.3838709677419,1.50352882461768
,8,1992,27.9845161290323,13.5612903225806,1.87274779834975
,9,1992,26671,15.2036666666667,2.26341154352172
,10,1992,29.8322580645161,19.3951612903226,2.99636337402604
,11,1992,30.3076666666667,18837,3.56991719776565
,12,1992,32.8983870967742,21.0358064516129,4.14085961769553
,1,1993,32.7945161290323,21.7764516129032,4.13753285617554
,2,1993,29655,19.4607142857143,3.74160933698981
,3,1993,31.511935483871,20.7506451612903,3.88066807664141
,4,1993,30.1796666666667,18.6053333333333,3.39693336952312
,5,1993,27.3735483870968,14.9325806451613,2.45361148090719
,6,1993,25.6036666666667,12.8696666666667,1.9369011333274
,7,1993,26.3883870967742,12.3222580645161,1.63669819589492
,8,1993,28.8064516129032,13.7816129032258,1.86052410699143
,9,1993,32.1746666666667,17649,2.44561278072013
,10,1993,33.5738709677419,20.0574193548387,3.27072288780119
,11,1993,34.4323333333333,19.7236666666667,3.85963146333637
,12,1993,31.5141935483871,21.7196774193548,3.73214357394478
