@relation inverno.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

1990,22.985484,9.982581
1990,27.696452,13.87
1990,27373,13164
1991,25.901935,11.812903
1991,29.956129,14.896129
1991,33.463333,18.350667
1992,23.942258,11.383871
1992,27.984516,13.56129
1992,26671,15.203667
1993,26.388387,12.322258
1993,28.806452,13.781613
1993,32.174667,17649
1994,27.119032,12.563871
1994,31.842903,14.580323
1994,35.792333,19466
1995,29.776774,15.91871
1995,33.723226,17.19871
1995,35.140667,19.180667
1996,26.318065,10.506129
1996,31.704516,16.308065
1996,30.340667,15.810667
1997,26.646129,13.646774
1997,28.004516,13.887742
1997,34765,19398
1998,28.038065,14.46129
1998,28.540323,16.078387
1998,29.092667,16.446667
1999,28.510645,14.602258
1999,31.097419,14.081613
1999,33.379667,17391
2000,24.700323,9.419355
2000,29.689677,15.326774
2000,29131,16.675333
2001,28.126774,13.19
2001,32,15.414839
2001,32.128667,17308
2002,27.960323,13.445484
2002,32.435161,16.485806
2002,31.979333,16.298667
2003,27.997419,13.901613
2003,26.583871,10.934839
2003,30.28,15919
2004,24.956774,12.936452
2004,29.873226,13.294516
2004,35.224333,17602
2005,25.010323,11.505161
2005,31.190323,14.455484
2005,28.995667,14.716667
2006,29.442903,14.590323
2006,31.384516,14.967097
2006,30.024667,15666
2007,26.625484,12.01
2007,30.379677,13.838065
2007,36.31,19.200333
2008,30.488387,14.746129
2008,31.76,15.938387
2008,31.608667,14.942333
2009,25.695806,13.904516
2009,28.275484,14.869677
2009,29.867667,17.326333
2010,28.096452,13.706129
2010,30.609032,13.175484
2010,33.284667,18.353667
2011,26.16,13.561613
2011,28.985806,14.322903
2011,32.531667,15702
2012,25.719032,12.216774
2012,31.934194,15.644194
2012,34208,17.075333
2013,25.79,11.980323
2013,28.965806,12.378065
2013,32.170667,16.538667
2014,26.662581,13.431613
2014,30.828387,15.287097
2014,34.187667,19638
2015,27.635484,15.155161
2015,34.23129,16.952258
2015,33503,18.872333
2016,27.829032,12.525161
2016,30.172581,14.45
2016,30263,13.915667
2017,26.282258,11.290968
2017,29.785806,15.327097
2017,35.639333,18.352333
