@relation outono.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

1990,30.188333,20.117333
1990,25.29,14.09
1990,24.780333,13.221667
1991,29.104667,18.172333
1991,27.176129,14.745161
1991,26.01,14465
1992,28232,17966
1992,26.42871,16.878065
1992,26489,15681
1993,30.179667,18.605333
1993,27.373548,14.932581
1993,25.603667,12.869667
1994,31.155667,18587
1994,28.976129,16.746774
1994,25.986667,13.509333
1995,29.266667,16398
1995,28.913226,14.685484
1995,29141,14.621667
1996,28604,18.259333
1996,26.616774,16.042581
1996,24.233667,12.292667
1997,28.228667,16615
1997,26.38,14.317419
1997,24.018333,13.57
1998,28616,18762
1998,24.606452,13.920968
1998,25.167333,13008
1999,28.885667,16853
1999,26.596774,13.397742
1999,26.499333,13.327667
2000,30803,17.775333
2000,27.870323,14.071613
2000,27.602667,15
2001,30.163333,19.533667
2001,25.155161,14.266774
2001,23.837667,11.615333
2002,34.02,20.773333
2002,29.242581,17.543226
2002,30.587333,15547
2003,28172,17.206667
2003,25.964516,12.95871
2003,27.556667,14.605333
2004,31.685333,20344
2004,23.587419,13.82
2004,24.258667,13017
2005,32.183667,20047
2005,28.385484,15.354516
2005,27.460667,15.378333
2006,29.147333,18.741333
2006,26.437097,11.945161
2006,27.796333,14505
2007,30.223333,19.033333
2007,26.44,13.786774
2007,28.403667,13.290667
2008,28.563333,17797
2008,25.663548,14.045484
2008,26333,13.542667
2009,32.253333,18.532667
2009,29.408387,16.554839
2009,24.986333,12.149667
2010,28.797667,17.7
2010,25.213871,13.584516
2010,27.109667,13.790333
2011,28.340667,18404
2011,25.237419,14.051935
2011,23.961667,11.641667
2012,31.174333,19.433333
2012,26.945484,15.169677
2012,25574,14.441333
2013,28.153667,17277
2013,29.319032,16.004516
2013,26804,16.180333
2014,29.771333,19246
2014,26.217742,15.365806
2014,26.45,14.512333
2015,31.757667,19.907667
2015,28.386129,16.30871
2015,28272,15196
2016,31.879667,18.846333
2016,25.925484,14.774516
2016,23.549667,11.608333
2017,27.962667,17672
2017,27.382903,18.249677
2017,25.035333,13.373667
