@relation primavera.csv-FINAL

@attribute TMAX numeric
@attribute TMIN numeric
@attribute ETP numeric

@data

1990,31.502258,19.135161
1990,31.198333,20.721667
1990,31.320968,21.275806
1991,32.092903,18.492903
1991,33.623667,20364
1991,31.590323,21.478387
1992,29.832258,19.395161
1992,30.307667,18837
1992,32.898387,21.035806
1993,33.573871,20.057419
1993,34.432333,19.723667
1993,31.514194,21.719677
1994,33.627419,21.147419
1994,32912,20716
1994,31.63871,21.672581
1995,30.740645,17.116774
1995,31.500667,19.088333
1995,32.343226,20.986129
1996,31.720968,19.672258
1996,30.176333,20152
1996,30.833548,21.370323
1997,34.597742,20.663226
1997,32.181333,21899
1997,30.711935,21.327742
1998,30.036129,18.910645
1998,31.118667,20027
1998,31.342903,20.319677
1999,35.525806,20.104516
1999,33.389333,18.223667
1999,33.738387,21.547097
2000,34.59,19.880323
2000,32.348667,20.543667
2000,31.485806,20.371613
2001,31.650968,18.720645
2001,31.101333,21149
2001,29.147742,19.687742
2002,36.527742,22.346452
2002,32679,20.715333
2002,32.736452,22.505806
2003,31.760323,18.846452
2003,32.003667,19174
2003,31.253871,21.559355
2004,31.647742,18.441613
2004,31.291667,19239
2004,31.602581,20.5
2005,31.202903,20.30871
2005,31.181667,20.075333
2005,30.350968,20.724839
2006,32.36129,21.092581
2006,33.048667,20.778333
2006,30.709032,22.274194
2007,35.75,21.716129
2007,31924,19.961333
2007,32.270968,21.337419
2008,33.477097,20.585484
2008,32.879333,20.818333
2008,33.560323,20.846129
2009,30.823226,19.524516
2009,30724,22.481333
2009,29.342581,21.767742
2010,29.79871,16.752581
2010,30.426667,17.510667
2010,31.146452,21.311935
2011,31.74871,18.987419
2011,31.857333,18697
2011,34.335484,20.943226
2012,33.548387,20.551613
2012,33.684667,21.916667
2012,33.316452,22.564839
2013,31.843871,18.894194
2013,32739,20419
2013,32.520323,22.350323
2014,35.363548,20.645484
2014,32.094667,21001
2014,30.702581,21.529032
2015,33.958387,21.219677
2015,32.685667,22.161333
2015,31.273548,22.464839
2016,32.629355,18.882581
2016,33.816667,20.092667
2016,31.070323,21.225484
2017,33.560645,19.840323
2017,31.846333,19.844333
2017,30.844194,21.526129
